episode 0, score 20.0, avg_score_total 20.000, avg_score_last_20 20.000, time_steps_per_episode 20, learning_steps 1, std_score 0.000, std_score_last_20 0.000, total_time_steps 20, total_learning_steps 1, total_terminations 1, total_truncations 0
episode 1, score 45.0, avg_score_total 32.500, avg_score_last_20 32.500, time_steps_per_episode 45, learning_steps 2, std_score 12.500, std_score_last_20 12.500, total_time_steps 65, total_learning_steps 3, total_terminations 2, total_truncations 0
episode 2, score 18.0, avg_score_total 27.667, avg_score_last_20 27.667, time_steps_per_episode 18, learning_steps 0, std_score 12.284, std_score_last_20 12.284, total_time_steps 83, total_learning_steps 3, total_terminations 3, total_truncations 0
episode 3, score 17.0, avg_score_total 25.000, avg_score_last_20 25.000, time_steps_per_episode 17, learning_steps 0, std_score 11.597, std_score_last_20 11.597, total_time_steps 100, total_learning_steps 3, total_terminations 4, total_truncations 0
episode 4, score 42.0, avg_score_total 28.400, avg_score_last_20 28.400, time_steps_per_episode 42, learning_steps 2, std_score 12.403, std_score_last_20 12.403, total_time_steps 142, total_learning_steps 5, total_terminations 5, total_truncations 0
episode 5, score 25.0, avg_score_total 27.833, avg_score_last_20 27.833, time_steps_per_episode 25, learning_steps 1, std_score 11.393, std_score_last_20 11.393, total_time_steps 167, total_learning_steps 6, total_terminations 6, total_truncations 0
episode 6, score 18.0, avg_score_total 26.429, avg_score_last_20 26.429, time_steps_per_episode 18, learning_steps 0, std_score 11.095, std_score_last_20 11.095, total_time_steps 185, total_learning_steps 6, total_terminations 7, total_truncations 0
episode 7, score 18.0, avg_score_total 25.375, avg_score_last_20 25.375, time_steps_per_episode 18, learning_steps 0, std_score 10.746, std_score_last_20 10.746, total_time_steps 203, total_learning_steps 6, total_terminations 8, total_truncations 0
episode 8, score 32.0, avg_score_total 26.111, avg_score_last_20 26.111, time_steps_per_episode 32, learning_steps 1, std_score 10.343, std_score_last_20 10.343, total_time_steps 235, total_learning_steps 7, total_terminations 9, total_truncations 0
episode 9, score 45.0, avg_score_total 28.000, avg_score_last_20 28.000, time_steps_per_episode 45, learning_steps 2, std_score 11.331, std_score_last_20 11.331, total_time_steps 280, total_learning_steps 9, total_terminations 10, total_truncations 0
episode 10, score 26.0, avg_score_total 27.818, avg_score_last_20 27.818, time_steps_per_episode 26, learning_steps 1, std_score 10.819, std_score_last_20 10.819, total_time_steps 306, total_learning_steps 10, total_terminations 11, total_truncations 0
episode 11, score 55.0, avg_score_total 30.083, avg_score_last_20 30.083, time_steps_per_episode 55, learning_steps 2, std_score 12.796, std_score_last_20 12.796, total_time_steps 361, total_learning_steps 12, total_terminations 12, total_truncations 0
episode 12, score 29.0, avg_score_total 30.000, avg_score_last_20 30.000, time_steps_per_episode 29, learning_steps 1, std_score 12.298, std_score_last_20 12.298, total_time_steps 390, total_learning_steps 13, total_terminations 13, total_truncations 0
episode 13, score 30.0, avg_score_total 30.000, avg_score_last_20 30.000, time_steps_per_episode 30, learning_steps 1, std_score 11.850, std_score_last_20 11.850, total_time_steps 420, total_learning_steps 14, total_terminations 14, total_truncations 0
episode 14, score 77.0, avg_score_total 33.133, avg_score_last_20 33.133, time_steps_per_episode 77, learning_steps 3, std_score 16.386, std_score_last_20 16.386, total_time_steps 497, total_learning_steps 17, total_terminations 15, total_truncations 0
episode 15, score 23.0, avg_score_total 32.500, avg_score_last_20 32.500, time_steps_per_episode 23, learning_steps 1, std_score 16.055, std_score_last_20 16.055, total_time_steps 520, total_learning_steps 18, total_terminations 16, total_truncations 0
episode 16, score 23.0, avg_score_total 31.941, avg_score_last_20 31.941, time_steps_per_episode 23, learning_steps 1, std_score 15.735, std_score_last_20 15.735, total_time_steps 543, total_learning_steps 19, total_terminations 17, total_truncations 0
episode 17, score 17.0, avg_score_total 31.111, avg_score_last_20 31.111, time_steps_per_episode 17, learning_steps 0, std_score 15.670, std_score_last_20 15.670, total_time_steps 560, total_learning_steps 19, total_terminations 18, total_truncations 0
episode 18, score 36.0, avg_score_total 31.368, avg_score_last_20 31.368, time_steps_per_episode 36, learning_steps 1, std_score 15.291, std_score_last_20 15.291, total_time_steps 596, total_learning_steps 20, total_terminations 19, total_truncations 0
episode 19, score 44.0, avg_score_total 32.000, avg_score_last_20 32.000, time_steps_per_episode 44, learning_steps 2, std_score 15.156, std_score_last_20 15.156, total_time_steps 640, total_learning_steps 22, total_terminations 20, total_truncations 0
episode 20, score 32.0, avg_score_total 32.000, avg_score_last_20 32.600, time_steps_per_episode 32, learning_steps 1, std_score 14.791, std_score_last_20 14.904, total_time_steps 672, total_learning_steps 23, total_terminations 21, total_truncations 0
episode 21, score 54.0, avg_score_total 33.000, avg_score_last_20 33.050, time_steps_per_episode 54, learning_steps 2, std_score 15.160, std_score_last_20 15.400, total_time_steps 726, total_learning_steps 25, total_terminations 22, total_truncations 0
episode 22, score 18.0, avg_score_total 32.348, avg_score_last_20 33.050, time_steps_per_episode 18, learning_steps 0, std_score 15.139, std_score_last_20 15.400, total_time_steps 744, total_learning_steps 25, total_terminations 23, total_truncations 0
episode 23, score 24.0, avg_score_total 32.000, avg_score_last_20 33.400, time_steps_per_episode 24, learning_steps 1, std_score 14.914, std_score_last_20 15.108, total_time_steps 768, total_learning_steps 26, total_terminations 24, total_truncations 0
episode 24, score 20.0, avg_score_total 31.520, avg_score_last_20 32.300, time_steps_per_episode 20, learning_steps 1, std_score 14.800, std_score_last_20 15.242, total_time_steps 788, total_learning_steps 27, total_terminations 25, total_truncations 0
episode 25, score 14.0, avg_score_total 30.846, avg_score_last_20 31.750, time_steps_per_episode 14, learning_steps 0, std_score 14.899, std_score_last_20 15.687, total_time_steps 802, total_learning_steps 27, total_terminations 26, total_truncations 0
episode 26, score 16.0, avg_score_total 30.296, avg_score_last_20 31.650, time_steps_per_episode 16, learning_steps 0, std_score 14.887, std_score_last_20 15.781, total_time_steps 818, total_learning_steps 27, total_terminations 27, total_truncations 0
episode 27, score 25.0, avg_score_total 30.107, avg_score_last_20 32.000, time_steps_per_episode 25, learning_steps 1, std_score 14.652, std_score_last_20 15.550, total_time_steps 843, total_learning_steps 28, total_terminations 28, total_truncations 0
episode 28, score 24.0, avg_score_total 29.897, avg_score_last_20 31.600, time_steps_per_episode 24, learning_steps 1, std_score 14.440, std_score_last_20 15.647, total_time_steps 867, total_learning_steps 29, total_terminations 29, total_truncations 0
episode 29, score 32.0, avg_score_total 29.967, avg_score_last_20 30.950, time_steps_per_episode 32, learning_steps 1, std_score 14.202, std_score_last_20 15.344, total_time_steps 899, total_learning_steps 30, total_terminations 30, total_truncations 0
episode 30, score 67.0, avg_score_total 31.161, avg_score_last_20 33.000, time_steps_per_episode 67, learning_steps 3, std_score 15.427, std_score_last_20 17.176, total_time_steps 966, total_learning_steps 33, total_terminations 31, total_truncations 0
episode 31, score 16.0, avg_score_total 30.688, avg_score_last_20 31.050, time_steps_per_episode 16, learning_steps 0, std_score 15.412, std_score_last_20 16.776, total_time_steps 982, total_learning_steps 33, total_terminations 32, total_truncations 0
episode 32, score 31.0, avg_score_total 30.697, avg_score_last_20 31.150, time_steps_per_episode 31, learning_steps 1, std_score 15.177, std_score_last_20 16.770, total_time_steps 1013, total_learning_steps 34, total_terminations 33, total_truncations 0
episode 33, score 28.0, avg_score_total 30.618, avg_score_last_20 31.050, time_steps_per_episode 28, learning_steps 1, std_score 14.959, std_score_last_20 16.782, total_time_steps 1041, total_learning_steps 35, total_terminations 34, total_truncations 0
episode 34, score 24.0, avg_score_total 30.429, avg_score_last_20 28.400, time_steps_per_episode 24, learning_steps 1, std_score 14.785, std_score_last_20 13.097, total_time_steps 1065, total_learning_steps 36, total_terminations 35, total_truncations 0
episode 35, score 15.0, avg_score_total 30.000, avg_score_last_20 28.000, time_steps_per_episode 15, learning_steps 0, std_score 14.797, std_score_last_20 13.375, total_time_steps 1080, total_learning_steps 36, total_terminations 36, total_truncations 0
episode 36, score 20.0, avg_score_total 29.730, avg_score_last_20 27.850, time_steps_per_episode 20, learning_steps 1, std_score 14.685, std_score_last_20 13.447, total_time_steps 1100, total_learning_steps 37, total_terminations 37, total_truncations 0
episode 37, score 24.0, avg_score_total 29.579, avg_score_last_20 28.200, time_steps_per_episode 24, learning_steps 1, std_score 14.520, std_score_last_20 13.250, total_time_steps 1124, total_learning_steps 38, total_terminations 38, total_truncations 0
episode 38, score 27.0, avg_score_total 29.513, avg_score_last_20 27.750, time_steps_per_episode 27, learning_steps 1, std_score 14.338, std_score_last_20 13.130, total_time_steps 1151, total_learning_steps 39, total_terminations 39, total_truncations 0
episode 39, score 34.0, avg_score_total 29.625, avg_score_last_20 27.250, time_steps_per_episode 34, learning_steps 1, std_score 14.175, std_score_last_20 12.684, total_time_steps 1185, total_learning_steps 40, total_terminations 40, total_truncations 0
episode 40, score 26.0, avg_score_total 29.537, avg_score_last_20 26.950, time_steps_per_episode 26, learning_steps 1, std_score 14.012, std_score_last_20 12.639, total_time_steps 1211, total_learning_steps 41, total_terminations 41, total_truncations 0
episode 41, score 11.0, avg_score_total 29.095, avg_score_last_20 24.800, time_steps_per_episode 11, learning_steps 0, std_score 14.130, std_score_last_20 11.457, total_time_steps 1222, total_learning_steps 41, total_terminations 42, total_truncations 0
episode 42, score 42.0, avg_score_total 29.395, avg_score_last_20 26.000, time_steps_per_episode 42, learning_steps 2, std_score 14.100, std_score_last_20 11.929, total_time_steps 1264, total_learning_steps 43, total_terminations 43, total_truncations 0
episode 43, score 35.0, avg_score_total 29.523, avg_score_last_20 26.550, time_steps_per_episode 35, learning_steps 1, std_score 13.963, std_score_last_20 12.077, total_time_steps 1299, total_learning_steps 44, total_terminations 44, total_truncations 0
episode 44, score 12.0, avg_score_total 29.133, avg_score_last_20 26.150, time_steps_per_episode 12, learning_steps 0, std_score 14.047, std_score_last_20 12.415, total_time_steps 1311, total_learning_steps 44, total_terminations 45, total_truncations 0
episode 45, score 18.0, avg_score_total 28.891, avg_score_last_20 26.350, time_steps_per_episode 18, learning_steps 0, std_score 13.988, std_score_last_20 12.249, total_time_steps 1329, total_learning_steps 44, total_terminations 46, total_truncations 0
episode 46, score 31.0, avg_score_total 28.936, avg_score_last_20 27.100, time_steps_per_episode 31, learning_steps 1, std_score 13.842, std_score_last_20 12.049, total_time_steps 1360, total_learning_steps 45, total_terminations 47, total_truncations 0
episode 47, score 11.0, avg_score_total 28.562, avg_score_last_20 26.400, time_steps_per_episode 11, learning_steps 0, std_score 13.934, std_score_last_20 12.548, total_time_steps 1371, total_learning_steps 45, total_terminations 48, total_truncations 0
episode 48, score 36.0, avg_score_total 28.714, avg_score_last_20 27.000, time_steps_per_episode 36, learning_steps 1, std_score 13.831, std_score_last_20 12.704, total_time_steps 1407, total_learning_steps 46, total_terminations 49, total_truncations 0
episode 49, score 34.0, avg_score_total 28.820, avg_score_last_20 27.100, time_steps_per_episode 34, learning_steps 1, std_score 13.712, std_score_last_20 12.751, total_time_steps 1441, total_learning_steps 47, total_terminations 50, total_truncations 0
episode 50, score 15.0, avg_score_total 28.549, avg_score_last_20 24.500, time_steps_per_episode 15, learning_steps 0, std_score 13.712, std_score_last_20 9.141, total_time_steps 1456, total_learning_steps 47, total_terminations 51, total_truncations 0
episode 51, score 13.0, avg_score_total 28.250, avg_score_last_20 24.350, time_steps_per_episode 13, learning_steps 0, std_score 13.746, std_score_last_20 9.302, total_time_steps 1469, total_learning_steps 47, total_terminations 52, total_truncations 0
episode 52, score 29.0, avg_score_total 28.264, avg_score_last_20 24.250, time_steps_per_episode 29, learning_steps 1, std_score 13.616, std_score_last_20 9.241, total_time_steps 1498, total_learning_steps 48, total_terminations 53, total_truncations 0
episode 53, score 15.0, avg_score_total 28.019, avg_score_last_20 23.600, time_steps_per_episode 15, learning_steps 0, std_score 13.608, std_score_last_20 9.410, total_time_steps 1513, total_learning_steps 48, total_terminations 54, total_truncations 0
episode 54, score 13.0, avg_score_total 27.745, avg_score_last_20 23.050, time_steps_per_episode 13, learning_steps 0, std_score 13.632, std_score_last_20 9.687, total_time_steps 1526, total_learning_steps 48, total_terminations 55, total_truncations 0
episode 55, score 12.0, avg_score_total 27.464, avg_score_last_20 22.900, time_steps_per_episode 12, learning_steps 0, std_score 13.670, std_score_last_20 9.833, total_time_steps 1538, total_learning_steps 48, total_terminations 56, total_truncations 0
episode 56, score 33.0, avg_score_total 27.561, avg_score_last_20 23.550, time_steps_per_episode 33, learning_steps 1, std_score 13.569, std_score_last_20 10.047, total_time_steps 1571, total_learning_steps 49, total_terminations 57, total_truncations 0
episode 57, score 12.0, avg_score_total 27.293, avg_score_last_20 22.950, time_steps_per_episode 12, learning_steps 0, std_score 13.603, std_score_last_20 10.356, total_time_steps 1583, total_learning_steps 49, total_terminations 58, total_truncations 0
episode 58, score 13.0, avg_score_total 27.051, avg_score_last_20 22.250, time_steps_per_episode 13, learning_steps 0, std_score 13.613, std_score_last_20 10.530, total_time_steps 1596, total_learning_steps 49, total_terminations 59, total_truncations 0
episode 59, score 27.0, avg_score_total 27.050, avg_score_last_20 21.900, time_steps_per_episode 27, learning_steps 1, std_score 13.499, std_score_last_20 10.246, total_time_steps 1623, total_learning_steps 50, total_terminations 60, total_truncations 0
episode 60, score 25.0, avg_score_total 27.016, avg_score_last_20 21.850, time_steps_per_episode 25, learning_steps 1, std_score 13.390, std_score_last_20 10.229, total_time_steps 1648, total_learning_steps 51, total_terminations 61, total_truncations 0
episode 61, score 50.0, avg_score_total 27.387, avg_score_last_20 23.800, time_steps_per_episode 50, learning_steps 2, std_score 13.594, std_score_last_20 11.600, total_time_steps 1698, total_learning_steps 53, total_terminations 62, total_truncations 0
episode 62, score 23.0, avg_score_total 27.317, avg_score_last_20 22.850, time_steps_per_episode 23, learning_steps 1, std_score 13.496, std_score_last_20 10.823, total_time_steps 1721, total_learning_steps 54, total_terminations 63, total_truncations 0
episode 63, score 14.0, avg_score_total 27.109, avg_score_last_20 21.800, time_steps_per_episode 14, learning_steps 0, std_score 13.492, std_score_last_20 10.609, total_time_steps 1735, total_learning_steps 54, total_terminations 64, total_truncations 0
episode 64, score 40.0, avg_score_total 27.308, avg_score_last_20 23.200, time_steps_per_episode 40, learning_steps 2, std_score 13.482, std_score_last_20 11.062, total_time_steps 1775, total_learning_steps 56, total_terminations 65, total_truncations 0
episode 65, score 80.0, avg_score_total 28.106, avg_score_last_20 26.300, time_steps_per_episode 80, learning_steps 4, std_score 14.847, std_score_last_20 16.514, total_time_steps 1855, total_learning_steps 60, total_terminations 66, total_truncations 0
episode 66, score 19.0, avg_score_total 27.970, avg_score_last_20 25.700, time_steps_per_episode 19, learning_steps 0, std_score 14.777, std_score_last_20 16.550, total_time_steps 1874, total_learning_steps 60, total_terminations 67, total_truncations 0
episode 67, score 50.0, avg_score_total 28.294, avg_score_last_20 27.650, time_steps_per_episode 50, learning_steps 2, std_score 14.906, std_score_last_20 16.995, total_time_steps 1924, total_learning_steps 62, total_terminations 68, total_truncations 0
episode 68, score 57.0, avg_score_total 28.710, avg_score_last_20 28.700, time_steps_per_episode 57, learning_steps 2, std_score 15.190, std_score_last_20 18.092, total_time_steps 1981, total_learning_steps 64, total_terminations 69, total_truncations 0
episode 69, score 17.0, avg_score_total 28.543, avg_score_last_20 27.850, time_steps_per_episode 17, learning_steps 0, std_score 15.145, std_score_last_20 18.222, total_time_steps 1998, total_learning_steps 64, total_terminations 70, total_truncations 0
episode 70, score 20.0, avg_score_total 28.423, avg_score_last_20 28.100, time_steps_per_episode 20, learning_steps 1, std_score 15.071, std_score_last_20 18.077, total_time_steps 2018, total_learning_steps 65, total_terminations 71, total_truncations 0
episode 71, score 74.0, avg_score_total 29.056, avg_score_last_20 31.150, time_steps_per_episode 74, learning_steps 3, std_score 15.888, std_score_last_20 20.284, total_time_steps 2092, total_learning_steps 68, total_terminations 72, total_truncations 0
episode 72, score 48.0, avg_score_total 29.315, avg_score_last_20 32.100, time_steps_per_episode 48, learning_steps 2, std_score 15.932, std_score_last_20 20.603, total_time_steps 2140, total_learning_steps 70, total_terminations 73, total_truncations 0
episode 73, score 9.0, avg_score_total 29.041, avg_score_last_20 31.800, time_steps_per_episode 9, learning_steps 0, std_score 15.997, std_score_last_20 20.892, total_time_steps 2149, total_learning_steps 70, total_terminations 74, total_truncations 0
episode 74, score 56.0, avg_score_total 29.400, avg_score_last_20 33.950, time_steps_per_episode 56, learning_steps 2, std_score 16.188, std_score_last_20 21.058, total_time_steps 2205, total_learning_steps 72, total_terminations 75, total_truncations 0
