episode 29, score 19.0, avg_score_total 19.633, avg_score_last_20 18.900, time_steps_per_episode 19, learning_steps 0, std_score 10.566, std_score_last_20 8.055, total_time_steps 589, total_learning_steps 13, total_terminations 30, total_truncations 0
episode 30, score 14.0, avg_score_total 19.452, avg_score_last_20 18.450, time_steps_per_episode 14, learning_steps 0, std_score 10.441, std_score_last_20 8.065, total_time_steps 603, total_learning_steps 13, total_terminations 31, total_truncations 0
episode 31, score 23.0, avg_score_total 19.562, avg_score_last_20 18.650, time_steps_per_episode 23, learning_steps 1, std_score 10.295, std_score_last_20 8.126, total_time_steps 626, total_learning_steps 14, total_terminations 32, total_truncations 0
episode 32, score 16.0, avg_score_total 19.455, avg_score_last_20 18.150, time_steps_per_episode 16, learning_steps 0, std_score 10.157, std_score_last_20 7.964, total_time_steps 642, total_learning_steps 14, total_terminations 33, total_truncations 0
episode 33, score 19.0, avg_score_total 19.441, avg_score_last_20 17.650, time_steps_per_episode 19, learning_steps 0, std_score 10.006, std_score_last_20 7.571, total_time_steps 661, total_learning_steps 14, total_terminations 34, total_truncations 0
episode 34, score 9.0, avg_score_total 19.143, avg_score_last_20 17.400, time_steps_per_episode 9, learning_steps 0, std_score 10.015, std_score_last_20 7.768, total_time_steps 670, total_learning_steps 14, total_terminations 35, total_truncations 0
episode 35, score 33.0, avg_score_total 19.528, avg_score_last_20 17.950, time_steps_per_episode 33, learning_steps 1, std_score 10.134, std_score_last_20 8.435, total_time_steps 703, total_learning_steps 15, total_terminations 36, total_truncations 0
episode 36, score 19.0, avg_score_total 19.514, avg_score_last_20 18.200, time_steps_per_episode 19, learning_steps 0, std_score 9.996, std_score_last_20 8.388, total_time_steps 722, total_learning_steps 15, total_terminations 37, total_truncations 0
episode 37, score 14.0, avg_score_total 19.368, avg_score_last_20 18.250, time_steps_per_episode 14, learning_steps 0, std_score 9.903, std_score_last_20 8.360, total_time_steps 736, total_learning_steps 15, total_terminations 38, total_truncations 0
episode 38, score 10.0, avg_score_total 19.128, avg_score_last_20 18.250, time_steps_per_episode 10, learning_steps 0, std_score 9.887, std_score_last_20 8.360, total_time_steps 746, total_learning_steps 15, total_terminations 39, total_truncations 0
episode 39, score 21.0, avg_score_total 19.175, avg_score_last_20 18.000, time_steps_per_episode 21, learning_steps 1, std_score 9.767, std_score_last_20 8.198, total_time_steps 767, total_learning_steps 16, total_terminations 40, total_truncations 0
episode 40, score 16.0, avg_score_total 19.098, avg_score_last_20 18.050, time_steps_per_episode 16, learning_steps 0, std_score 9.660, std_score_last_20 8.182, total_time_steps 783, total_learning_steps 16, total_terminations 41, total_truncations 0
episode 41, score 23.0, avg_score_total 19.190, avg_score_last_20 18.650, time_steps_per_episode 23, learning_steps 1, std_score 9.562, std_score_last_20 8.083, total_time_steps 806, total_learning_steps 17, total_terminations 42, total_truncations 0
episode 42, score 10.0, avg_score_total 18.977, avg_score_last_20 18.550, time_steps_per_episode 10, learning_steps 0, std_score 9.552, std_score_last_20 8.176, total_time_steps 816, total_learning_steps 17, total_terminations 43, total_truncations 0
episode 43, score 10.0, avg_score_total 18.773, avg_score_last_20 18.050, time_steps_per_episode 10, learning_steps 0, std_score 9.537, std_score_last_20 8.375, total_time_steps 826, total_learning_steps 17, total_terminations 44, total_truncations 0
episode 44, score 14.0, avg_score_total 18.667, avg_score_last_20 17.900, time_steps_per_episode 14, learning_steps 0, std_score 9.456, std_score_last_20 8.420, total_time_steps 840, total_learning_steps 17, total_terminations 45, total_truncations 0
episode 45, score 18.0, avg_score_total 18.652, avg_score_last_20 16.550, time_steps_per_episode 18, learning_steps 0, std_score 9.353, std_score_last_20 5.687, total_time_steps 858, total_learning_steps 17, total_terminations 46, total_truncations 0
episode 46, score 12.0, avg_score_total 18.511, avg_score_last_20 16.550, time_steps_per_episode 12, learning_steps 0, std_score 9.303, std_score_last_20 5.687, total_time_steps 870, total_learning_steps 17, total_terminations 47, total_truncations 0
episode 47, score 12.0, avg_score_total 18.375, avg_score_last_20 16.200, time_steps_per_episode 12, learning_steps 0, std_score 9.253, std_score_last_20 5.741, total_time_steps 882, total_learning_steps 17, total_terminations 48, total_truncations 0
episode 48, score 22.0, avg_score_total 18.449, avg_score_last_20 16.700, time_steps_per_episode 22, learning_steps 1, std_score 9.172, std_score_last_20 5.789, total_time_steps 904, total_learning_steps 18, total_terminations 49, total_truncations 0
episode 49, score 14.0, avg_score_total 18.360, avg_score_last_20 16.450, time_steps_per_episode 14, learning_steps 0, std_score 9.101, std_score_last_20 5.792, total_time_steps 918, total_learning_steps 18, total_terminations 50, total_truncations 0
episode 50, score 9.0, avg_score_total 18.176, avg_score_last_20 16.200, time_steps_per_episode 9, learning_steps 0, std_score 9.104, std_score_last_20 5.997, total_time_steps 927, total_learning_steps 18, total_terminations 51, total_truncations 0
episode 51, score 12.0, avg_score_total 18.058, avg_score_last_20 15.650, time_steps_per_episode 12, learning_steps 0, std_score 9.056, std_score_last_20 5.850, total_time_steps 939, total_learning_steps 18, total_terminations 52, total_truncations 0
episode 52, score 21.0, avg_score_total 18.113, avg_score_last_20 15.900, time_steps_per_episode 21, learning_steps 1, std_score 8.979, std_score_last_20 5.966, total_time_steps 960, total_learning_steps 19, total_terminations 53, total_truncations 0
episode 53, score 10.0, avg_score_total 17.963, avg_score_last_20 15.450, time_steps_per_episode 10, learning_steps 0, std_score 8.963, std_score_last_20 6.054, total_time_steps 970, total_learning_steps 19, total_terminations 54, total_truncations 0
episode 54, score 12.0, avg_score_total 17.855, avg_score_last_20 15.600, time_steps_per_episode 12, learning_steps 0, std_score 8.917, std_score_last_20 5.928, total_time_steps 982, total_learning_steps 19, total_terminations 55, total_truncations 0
episode 55, score 13.0, avg_score_total 17.768, avg_score_last_20 14.600, time_steps_per_episode 13, learning_steps 0, std_score 8.860, std_score_last_20 4.398, total_time_steps 995, total_learning_steps 19, total_terminations 56, total_truncations 0
episode 56, score 25.0, avg_score_total 17.895, avg_score_last_20 14.900, time_steps_per_episode 25, learning_steps 1, std_score 8.833, std_score_last_20 4.867, total_time_steps 1020, total_learning_steps 20, total_terminations 57, total_truncations 0
episode 57, score 13.0, avg_score_total 17.810, avg_score_last_20 14.850, time_steps_per_episode 13, learning_steps 0, std_score 8.780, std_score_last_20 4.881, total_time_steps 1033, total_learning_steps 20, total_terminations 58, total_truncations 0
episode 58, score 16.0, avg_score_total 17.780, avg_score_last_20 15.150, time_steps_per_episode 16, learning_steps 0, std_score 8.708, std_score_last_20 4.757, total_time_steps 1049, total_learning_steps 20, total_terminations 59, total_truncations 0
episode 59, score 9.0, avg_score_total 17.633, avg_score_last_20 14.550, time_steps_per_episode 9, learning_steps 0, std_score 8.708, std_score_last_20 4.738, total_time_steps 1058, total_learning_steps 20, total_terminations 60, total_truncations 0
episode 60, score 17.0, avg_score_total 17.623, avg_score_last_20 14.600, time_steps_per_episode 17, learning_steps 0, std_score 8.637, std_score_last_20 4.758, total_time_steps 1075, total_learning_steps 20, total_terminations 61, total_truncations 0
episode 61, score 12.0, avg_score_total 17.532, avg_score_last_20 14.050, time_steps_per_episode 12, learning_steps 0, std_score 8.596, std_score_last_20 4.376, total_time_steps 1087, total_learning_steps 20, total_terminations 62, total_truncations 0
episode 62, score 13.0, avg_score_total 17.460, avg_score_last_20 14.200, time_steps_per_episode 13, learning_steps 0, std_score 8.546, std_score_last_20 4.285, total_time_steps 1100, total_learning_steps 20, total_terminations 63, total_truncations 0
episode 63, score 10.0, avg_score_total 17.344, avg_score_last_20 14.200, time_steps_per_episode 10, learning_steps 0, std_score 8.530, std_score_last_20 4.285, total_time_steps 1110, total_learning_steps 20, total_terminations 64, total_truncations 0
episode 64, score 35.0, avg_score_total 17.615, avg_score_last_20 15.250, time_steps_per_episode 35, learning_steps 1, std_score 8.738, std_score_last_20 6.236, total_time_steps 1145, total_learning_steps 21, total_terminations 65, total_truncations 0
episode 65, score 10.0, avg_score_total 17.500, avg_score_last_20 14.850, time_steps_per_episode 10, learning_steps 0, std_score 8.722, std_score_last_20 6.303, total_time_steps 1155, total_learning_steps 21, total_terminations 66, total_truncations 0
episode 66, score 37.0, avg_score_total 17.791, avg_score_last_20 16.100, time_steps_per_episode 37, learning_steps 1, std_score 8.973, std_score_last_20 7.892, total_time_steps 1192, total_learning_steps 22, total_terminations 67, total_truncations 0
episode 67, score 55.0, avg_score_total 18.338, avg_score_last_20 18.250, time_steps_per_episode 55, learning_steps 2, std_score 9.970, std_score_last_20 11.510, total_time_steps 1247, total_learning_steps 24, total_terminations 68, total_truncations 0
episode 68, score 22.0, avg_score_total 18.391, avg_score_last_20 18.250, time_steps_per_episode 22, learning_steps 1, std_score 9.907, std_score_last_20 11.510, total_time_steps 1269, total_learning_steps 25, total_terminations 69, total_truncations 0
episode 69, score 23.0, avg_score_total 18.457, avg_score_last_20 18.700, time_steps_per_episode 23, learning_steps 1, std_score 9.851, std_score_last_20 11.511, total_time_steps 1292, total_learning_steps 26, total_terminations 70, total_truncations 0
episode 70, score 28.0, avg_score_total 18.592, avg_score_last_20 19.650, time_steps_per_episode 28, learning_steps 1, std_score 9.846, std_score_last_20 11.455, total_time_steps 1320, total_learning_steps 27, total_terminations 71, total_truncations 0
episode 71, score 15.0, avg_score_total 18.542, avg_score_last_20 19.800, time_steps_per_episode 15, learning_steps 0, std_score 9.787, std_score_last_20 11.374, total_time_steps 1335, total_learning_steps 27, total_terminations 72, total_truncations 0
episode 72, score 20.0, avg_score_total 18.562, avg_score_last_20 19.750, time_steps_per_episode 20, learning_steps 1, std_score 9.721, std_score_last_20 11.370, total_time_steps 1355, total_learning_steps 28, total_terminations 73, total_truncations 0
episode 73, score 21.0, avg_score_total 18.595, avg_score_last_20 20.300, time_steps_per_episode 21, learning_steps 1, std_score 9.659, std_score_last_20 11.149, total_time_steps 1376, total_learning_steps 29, total_terminations 74, total_truncations 0
episode 74, score 13.0, avg_score_total 18.520, avg_score_last_20 20.350, time_steps_per_episode 13, learning_steps 0, std_score 9.616, std_score_last_20 11.114, total_time_steps 1389, total_learning_steps 29, total_terminations 75, total_truncations 0
episode 75, score 13.0, avg_score_total 18.447, avg_score_last_20 20.350, time_steps_per_episode 13, learning_steps 0, std_score 9.573, std_score_last_20 11.114, total_time_steps 1402, total_learning_steps 29, total_terminations 76, total_truncations 0
episode 76, score 19.0, avg_score_total 18.455, avg_score_last_20 20.050, time_steps_per_episode 19, learning_steps 0, std_score 9.511, std_score_last_20 11.066, total_time_steps 1421, total_learning_steps 29, total_terminations 77, total_truncations 0
episode 77, score 14.0, avg_score_total 18.397, avg_score_last_20 20.100, time_steps_per_episode 14, learning_steps 0, std_score 9.463, std_score_last_20 11.036, total_time_steps 1435, total_learning_steps 29, total_terminations 78, total_truncations 0
episode 78, score 27.0, avg_score_total 18.506, avg_score_last_20 20.650, time_steps_per_episode 27, learning_steps 1, std_score 9.452, std_score_last_20 11.092, total_time_steps 1462, total_learning_steps 30, total_terminations 79, total_truncations 0
episode 79, score 11.0, avg_score_total 18.413, avg_score_last_20 20.750, time_steps_per_episode 11, learning_steps 0, std_score 9.430, std_score_last_20 10.995, total_time_steps 1473, total_learning_steps 30, total_terminations 80, total_truncations 0
episode 80, score 16.0, avg_score_total 18.383, avg_score_last_20 20.700, time_steps_per_episode 16, learning_steps 0, std_score 9.375, std_score_last_20 11.014, total_time_steps 1489, total_learning_steps 30, total_terminations 81, total_truncations 0
episode 81, score 18.0, avg_score_total 18.378, avg_score_last_20 21.000, time_steps_per_episode 18, learning_steps 0, std_score 9.318, std_score_last_20 10.854, total_time_steps 1507, total_learning_steps 30, total_terminations 82, total_truncations 0
episode 82, score 21.0, avg_score_total 18.410, avg_score_last_20 21.400, time_steps_per_episode 21, learning_steps 1, std_score 9.266, std_score_last_20 10.698, total_time_steps 1528, total_learning_steps 31, total_terminations 83, total_truncations 0
episode 83, score 10.0, avg_score_total 18.310, avg_score_last_20 21.400, time_steps_per_episode 10, learning_steps 0, std_score 9.256, std_score_last_20 10.698, total_time_steps 1538, total_learning_steps 31, total_terminations 84, total_truncations 0
episode 84, score 29.0, avg_score_total 18.435, avg_score_last_20 21.100, time_steps_per_episode 29, learning_steps 1, std_score 9.273, std_score_last_20 10.392, total_time_steps 1567, total_learning_steps 32, total_terminations 85, total_truncations 0
episode 85, score 21.0, avg_score_total 18.465, avg_score_last_20 21.650, time_steps_per_episode 21, learning_steps 1, std_score 9.223, std_score_last_20 10.076, total_time_steps 1588, total_learning_steps 33, total_terminations 86, total_truncations 0
