episode 0, score 18.0, avg_score_total 18.000, avg_score_last_20 18.000, time_steps_per_episode 18, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 18, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 30.0, avg_score_total 24.000, avg_score_last_20 24.000, time_steps_per_episode 30, learning_steps 1, std_score 6.000, std_score_last_20 6.000, total_time_steps 48, total_learning_steps 1, total_terminations 2, total_truncations 0
episode 2, score 26.0, avg_score_total 24.667, avg_score_last_20 24.667, time_steps_per_episode 26, learning_steps 1, std_score 4.989, std_score_last_20 4.989, total_time_steps 74, total_learning_steps 2, total_terminations 3, total_truncations 0
episode 3, score 13.0, avg_score_total 21.750, avg_score_last_20 21.750, time_steps_per_episode 13, learning_steps 0, std_score 6.647, std_score_last_20 6.647, total_time_steps 87, total_learning_steps 2, total_terminations 4, total_truncations 0
episode 4, score 33.0, avg_score_total 24.000, avg_score_last_20 24.000, time_steps_per_episode 33, learning_steps 1, std_score 7.457, std_score_last_20 7.457, total_time_steps 120, total_learning_steps 3, total_terminations 5, total_truncations 0
episode 5, score 31.0, avg_score_total 25.167, avg_score_last_20 25.167, time_steps_per_episode 31, learning_steps 1, std_score 7.290, std_score_last_20 7.290, total_time_steps 151, total_learning_steps 4, total_terminations 6, total_truncations 0
episode 6, score 33.0, avg_score_total 26.286, avg_score_last_20 26.286, time_steps_per_episode 33, learning_steps 1, std_score 7.284, std_score_last_20 7.284, total_time_steps 184, total_learning_steps 5, total_terminations 7, total_truncations 0
episode 7, score 15.0, avg_score_total 24.875, avg_score_last_20 24.875, time_steps_per_episode 15, learning_steps 0, std_score 7.769, std_score_last_20 7.769, total_time_steps 199, total_learning_steps 5, total_terminations 8, total_truncations 0
episode 8, score 13.0, avg_score_total 23.556, avg_score_last_20 23.556, time_steps_per_episode 13, learning_steps 0, std_score 8.221, std_score_last_20 8.221, total_time_steps 212, total_learning_steps 5, total_terminations 9, total_truncations 0
episode 9, score 16.0, avg_score_total 22.800, avg_score_last_20 22.800, time_steps_per_episode 16, learning_steps 0, std_score 8.122, std_score_last_20 8.122, total_time_steps 228, total_learning_steps 5, total_terminations 10, total_truncations 0
episode 10, score 12.0, avg_score_total 21.818, avg_score_last_20 21.818, time_steps_per_episode 12, learning_steps 0, std_score 8.343, std_score_last_20 8.343, total_time_steps 240, total_learning_steps 5, total_terminations 11, total_truncations 0
episode 11, score 20.0, avg_score_total 21.667, avg_score_last_20 21.667, time_steps_per_episode 20, learning_steps 1, std_score 8.003, std_score_last_20 8.003, total_time_steps 260, total_learning_steps 6, total_terminations 12, total_truncations 0
episode 12, score 16.0, avg_score_total 21.231, avg_score_last_20 21.231, time_steps_per_episode 16, learning_steps 0, std_score 7.836, std_score_last_20 7.836, total_time_steps 276, total_learning_steps 6, total_terminations 13, total_truncations 0
episode 13, score 19.0, avg_score_total 21.071, avg_score_last_20 21.071, time_steps_per_episode 19, learning_steps 0, std_score 7.573, std_score_last_20 7.573, total_time_steps 295, total_learning_steps 6, total_terminations 14, total_truncations 0
episode 14, score 30.0, avg_score_total 21.667, avg_score_last_20 21.667, time_steps_per_episode 30, learning_steps 1, std_score 7.648, std_score_last_20 7.648, total_time_steps 325, total_learning_steps 7, total_terminations 15, total_truncations 0
episode 15, score 18.0, avg_score_total 21.438, avg_score_last_20 21.438, time_steps_per_episode 18, learning_steps 0, std_score 7.458, std_score_last_20 7.458, total_time_steps 343, total_learning_steps 7, total_terminations 16, total_truncations 0
episode 16, score 12.0, avg_score_total 20.882, avg_score_last_20 20.882, time_steps_per_episode 12, learning_steps 0, std_score 7.568, std_score_last_20 7.568, total_time_steps 355, total_learning_steps 7, total_terminations 17, total_truncations 0
episode 17, score 29.0, avg_score_total 21.333, avg_score_last_20 21.333, time_steps_per_episode 29, learning_steps 1, std_score 7.587, std_score_last_20 7.587, total_time_steps 384, total_learning_steps 8, total_terminations 18, total_truncations 0
episode 18, score 12.0, avg_score_total 20.842, avg_score_last_20 20.842, time_steps_per_episode 12, learning_steps 0, std_score 7.673, std_score_last_20 7.673, total_time_steps 396, total_learning_steps 8, total_terminations 19, total_truncations 0
episode 19, score 15.0, avg_score_total 20.550, avg_score_last_20 20.550, time_steps_per_episode 15, learning_steps 0, std_score 7.586, std_score_last_20 7.586, total_time_steps 411, total_learning_steps 8, total_terminations 20, total_truncations 0
episode 20, score 29.0, avg_score_total 20.952, avg_score_last_20 21.100, time_steps_per_episode 29, learning_steps 1, std_score 7.619, std_score_last_20 7.778, total_time_steps 440, total_learning_steps 9, total_terminations 21, total_truncations 0
episode 21, score 25.0, avg_score_total 21.136, avg_score_last_20 20.850, time_steps_per_episode 25, learning_steps 1, std_score 7.491, std_score_last_20 7.565, total_time_steps 465, total_learning_steps 10, total_terminations 22, total_truncations 0
episode 22, score 36.0, avg_score_total 21.783, avg_score_last_20 21.350, time_steps_per_episode 36, learning_steps 1, std_score 7.929, std_score_last_20 8.193, total_time_steps 501, total_learning_steps 11, total_terminations 23, total_truncations 0
episode 23, score 52.0, avg_score_total 23.042, avg_score_last_20 23.300, time_steps_per_episode 52, learning_steps 2, std_score 9.834, std_score_last_20 10.335, total_time_steps 553, total_learning_steps 13, total_terminations 24, total_truncations 0
episode 24, score 15.0, avg_score_total 22.720, avg_score_last_20 22.400, time_steps_per_episode 15, learning_steps 0, std_score 9.763, std_score_last_20 10.234, total_time_steps 568, total_learning_steps 13, total_terminations 25, total_truncations 0
episode 25, score 25.0, avg_score_total 22.808, avg_score_last_20 22.100, time_steps_per_episode 25, learning_steps 1, std_score 9.584, std_score_last_20 10.064, total_time_steps 593, total_learning_steps 14, total_terminations 26, total_truncations 0
episode 26, score 47.0, avg_score_total 23.704, avg_score_last_20 22.800, time_steps_per_episode 47, learning_steps 2, std_score 10.456, std_score_last_20 11.219, total_time_steps 640, total_learning_steps 16, total_terminations 27, total_truncations 0
episode 27, score 19.0, avg_score_total 23.536, avg_score_last_20 23.000, time_steps_per_episode 19, learning_steps 0, std_score 10.304, std_score_last_20 11.113, total_time_steps 659, total_learning_steps 16, total_terminations 28, total_truncations 0
episode 28, score 18.0, avg_score_total 23.345, avg_score_last_20 23.250, time_steps_per_episode 18, learning_steps 0, std_score 10.175, std_score_last_20 10.940, total_time_steps 677, total_learning_steps 16, total_terminations 29, total_truncations 0
episode 29, score 60.0, avg_score_total 24.567, avg_score_last_20 25.450, time_steps_per_episode 60, learning_steps 3, std_score 11.974, std_score_last_20 13.407, total_time_steps 737, total_learning_steps 19, total_terminations 30, total_truncations 0
episode 30, score 14.0, avg_score_total 24.226, avg_score_last_20 25.550, time_steps_per_episode 14, learning_steps 0, std_score 11.926, std_score_last_20 13.313, total_time_steps 751, total_learning_steps 19, total_terminations 31, total_truncations 0
episode 31, score 22.0, avg_score_total 24.156, avg_score_last_20 25.650, time_steps_per_episode 22, learning_steps 1, std_score 11.745, std_score_last_20 13.279, total_time_steps 773, total_learning_steps 20, total_terminations 32, total_truncations 0
episode 32, score 37.0, avg_score_total 24.545, avg_score_last_20 26.700, time_steps_per_episode 37, learning_steps 1, std_score 11.773, std_score_last_20 13.305, total_time_steps 810, total_learning_steps 21, total_terminations 33, total_truncations 0
