episode 28, score -85.35, avg_score_total -96.18, avg_score_last_20 -94.26, time_steps_per_episode 1600, learning_steps 80, std_score 15.97, std_score_last_20 16.05, total_time_steps 24895, total_learning_steps 1239, total_terminations 14, total_truncations 15
episode 29, score -85.61, avg_score_total -95.83, avg_score_last_20 -92.98, time_steps_per_episode 1600, learning_steps 80, std_score 15.81, std_score_last_20 15.67, total_time_steps 26495, total_learning_steps 1319, total_terminations 14, total_truncations 16
episode 30, score -100.17, avg_score_total -95.97, avg_score_last_20 -92.61, time_steps_per_episode 64, learning_steps 3, std_score 15.58, std_score_last_20 15.41, total_time_steps 26559, total_learning_steps 1322, total_terminations 15, total_truncations 16
episode 31, score -111.53, avg_score_total -96.46, avg_score_last_20 -94.18, time_steps_per_episode 49, learning_steps 2, std_score 15.57, std_score_last_20 15.65, total_time_steps 26608, total_learning_steps 1324, total_terminations 16, total_truncations 16
episode 32, score -87.27, avg_score_total -96.18, avg_score_last_20 -94.16, time_steps_per_episode 1600, learning_steps 80, std_score 15.41, std_score_last_20 15.66, total_time_steps 28208, total_learning_steps 1404, total_terminations 16, total_truncations 17
episode 33, score -87.78, avg_score_total -95.93, avg_score_last_20 -94.31, time_steps_per_episode 1600, learning_steps 80, std_score 15.25, std_score_last_20 15.59, total_time_steps 29808, total_learning_steps 1484, total_terminations 16, total_truncations 18
episode 34, score -80.25, avg_score_total -95.48, avg_score_last_20 -92.39, time_steps_per_episode 1600, learning_steps 80, std_score 15.26, std_score_last_20 14.82, total_time_steps 31408, total_learning_steps 1564, total_terminations 16, total_truncations 19
episode 35, score -90.01, avg_score_total -95.33, avg_score_last_20 -91.47, time_steps_per_episode 1600, learning_steps 80, std_score 15.07, std_score_last_20 14.36, total_time_steps 33008, total_learning_steps 1644, total_terminations 16, total_truncations 20
episode 36, score -119.46, avg_score_total -95.98, avg_score_last_20 -91.77, time_steps_per_episode 90, learning_steps 4, std_score 15.37, std_score_last_20 14.88, total_time_steps 33098, total_learning_steps 1648, total_terminations 17, total_truncations 20
episode 37, score -95.11, avg_score_total -95.96, avg_score_last_20 -91.14, time_steps_per_episode 1600, learning_steps 80, std_score 15.17, std_score_last_20 14.45, total_time_steps 34698, total_learning_steps 1728, total_terminations 17, total_truncations 21
episode 38, score -97.45, avg_score_total -96.00, avg_score_last_20 -92.13, time_steps_per_episode 1600, learning_steps 80, std_score 14.97, std_score_last_20 14.16, total_time_steps 36298, total_learning_steps 1808, total_terminations 17, total_truncations 22
episode 39, score -94.72, avg_score_total -95.97, avg_score_last_20 -92.56, time_steps_per_episode 1600, learning_steps 80, std_score 14.79, std_score_last_20 14.10, total_time_steps 37898, total_learning_steps 1888, total_terminations 17, total_truncations 23
episode 40, score -100.49, avg_score_total -96.08, avg_score_last_20 -93.28, time_steps_per_episode 1600, learning_steps 80, std_score 14.62, std_score_last_20 14.12, total_time_steps 39498, total_learning_steps 1968, total_terminations 17, total_truncations 24
episode 41, score -89.91, avg_score_total -95.93, avg_score_last_20 -93.82, time_steps_per_episode 1600, learning_steps 80, std_score 14.48, std_score_last_20 13.77, total_time_steps 41098, total_learning_steps 2048, total_terminations 17, total_truncations 25
episode 42, score -97.95, avg_score_total -95.98, avg_score_last_20 -95.28, time_steps_per_episode 1600, learning_steps 80, std_score 14.31, std_score_last_20 12.54, total_time_steps 42698, total_learning_steps 2128, total_terminations 17, total_truncations 26
episode 43, score -90.87, avg_score_total -95.86, avg_score_last_20 -94.44, time_steps_per_episode 1600, learning_steps 80, std_score 14.17, std_score_last_20 12.24, total_time_steps 44298, total_learning_steps 2208, total_terminations 17, total_truncations 27
episode 44, score -104.71, avg_score_total -96.06, avg_score_last_20 -95.90, time_steps_per_episode 60, learning_steps 3, std_score 14.07, std_score_last_20 11.62, total_time_steps 44358, total_learning_steps 2211, total_terminations 18, total_truncations 27
episode 45, score -101.03, avg_score_total -96.17, avg_score_last_20 -95.47, time_steps_per_episode 1600, learning_steps 80, std_score 13.94, std_score_last_20 11.25, total_time_steps 45958, total_learning_steps 2291, total_terminations 18, total_truncations 28
episode 46, score -90.22, avg_score_total -96.04, avg_score_last_20 -94.18, time_steps_per_episode 1600, learning_steps 80, std_score 13.81, std_score_last_20 10.27, total_time_steps 47558, total_learning_steps 2371, total_terminations 18, total_truncations 29
episode 47, score -94.92, avg_score_total -96.02, avg_score_last_20 -95.24, time_steps_per_episode 1600, learning_steps 80, std_score 13.67, std_score_last_20 9.15, total_time_steps 49158, total_learning_steps 2451, total_terminations 18, total_truncations 30
