episode 0, score -44.64, avg_score_total -44.64, avg_score_last_20 -44.64, time_steps_per_episode 999, learning_steps 49, std_score 0.00, std_score_last_20 0.00, total_time_steps 999, total_learning_steps 49, total_terminations 0, total_truncations 1
episode 1, score -44.42, avg_score_total -44.53, avg_score_last_20 -44.53, time_steps_per_episode 999, learning_steps 49, std_score 0.11, std_score_last_20 0.11, total_time_steps 1998, total_learning_steps 98, total_terminations 0, total_truncations 2
episode 2, score -42.39, avg_score_total -43.82, avg_score_last_20 -43.82, time_steps_per_episode 999, learning_steps 49, std_score 1.01, std_score_last_20 1.01, total_time_steps 2997, total_learning_steps 147, total_terminations 0, total_truncations 3
episode 3, score -40.81, avg_score_total -43.07, avg_score_last_20 -43.07, time_steps_per_episode 999, learning_steps 49, std_score 1.57, std_score_last_20 1.57, total_time_steps 3996, total_learning_steps 196, total_terminations 0, total_truncations 4
episode 4, score -34.97, avg_score_total -41.45, avg_score_last_20 -41.45, time_steps_per_episode 999, learning_steps 49, std_score 3.53, std_score_last_20 3.53, total_time_steps 4995, total_learning_steps 245, total_terminations 0, total_truncations 5
episode 5, score -33.83, avg_score_total -40.18, avg_score_last_20 -40.18, time_steps_per_episode 999, learning_steps 49, std_score 4.29, std_score_last_20 4.29, total_time_steps 5994, total_learning_steps 294, total_terminations 0, total_truncations 6
episode 6, score -28.18, avg_score_total -38.46, avg_score_last_20 -38.46, time_steps_per_episode 999, learning_steps 49, std_score 5.78, std_score_last_20 5.78, total_time_steps 6993, total_learning_steps 343, total_terminations 0, total_truncations 7
episode 7, score -22.81, avg_score_total -36.51, avg_score_last_20 -36.51, time_steps_per_episode 999, learning_steps 49, std_score 7.49, std_score_last_20 7.49, total_time_steps 7992, total_learning_steps 392, total_terminations 0, total_truncations 8
episode 8, score -22.06, avg_score_total -34.90, avg_score_last_20 -34.90, time_steps_per_episode 999, learning_steps 49, std_score 8.39, std_score_last_20 8.39, total_time_steps 8991, total_learning_steps 441, total_terminations 0, total_truncations 9
episode 9, score -19.81, avg_score_total -33.39, avg_score_last_20 -33.39, time_steps_per_episode 999, learning_steps 49, std_score 9.16, std_score_last_20 9.16, total_time_steps 9990, total_learning_steps 490, total_terminations 0, total_truncations 10
episode 10, score -17.47, avg_score_total -31.94, avg_score_last_20 -31.94, time_steps_per_episode 999, learning_steps 49, std_score 9.86, std_score_last_20 9.86, total_time_steps 10989, total_learning_steps 539, total_terminations 0, total_truncations 11
episode 11, score -16.39, avg_score_total -30.65, avg_score_last_20 -30.65, time_steps_per_episode 999, learning_steps 49, std_score 10.37, std_score_last_20 10.37, total_time_steps 11988, total_learning_steps 588, total_terminations 0, total_truncations 12
episode 12, score -14.31, avg_score_total -29.39, avg_score_last_20 -29.39, time_steps_per_episode 999, learning_steps 49, std_score 10.88, std_score_last_20 10.88, total_time_steps 12987, total_learning_steps 637, total_terminations 0, total_truncations 13
episode 13, score -11.83, avg_score_total -28.14, avg_score_last_20 -28.14, time_steps_per_episode 999, learning_steps 49, std_score 11.41, std_score_last_20 11.41, total_time_steps 13986, total_learning_steps 686, total_terminations 0, total_truncations 14
episode 14, score -11.59, avg_score_total -27.03, avg_score_last_20 -27.03, time_steps_per_episode 999, learning_steps 49, std_score 11.78, std_score_last_20 11.78, total_time_steps 14985, total_learning_steps 735, total_terminations 0, total_truncations 15
episode 15, score -10.93, avg_score_total -26.03, avg_score_last_20 -26.03, time_steps_per_episode 999, learning_steps 49, std_score 12.05, std_score_last_20 12.05, total_time_steps 15984, total_learning_steps 784, total_terminations 0, total_truncations 16
episode 16, score -9.24, avg_score_total -25.04, avg_score_last_20 -25.04, time_steps_per_episode 999, learning_steps 49, std_score 12.34, std_score_last_20 12.34, total_time_steps 16983, total_learning_steps 833, total_terminations 0, total_truncations 17
episode 17, score -8.15, avg_score_total -24.10, avg_score_last_20 -24.10, time_steps_per_episode 999, learning_steps 49, std_score 12.60, std_score_last_20 12.60, total_time_steps 17982, total_learning_steps 882, total_terminations 0, total_truncations 18
episode 18, score -7.57, avg_score_total -23.23, avg_score_last_20 -23.23, time_steps_per_episode 999, learning_steps 49, std_score 12.81, std_score_last_20 12.81, total_time_steps 18981, total_learning_steps 931, total_terminations 0, total_truncations 19
episode 19, score -6.66, avg_score_total -22.40, avg_score_last_20 -22.40, time_steps_per_episode 999, learning_steps 49, std_score 12.99, std_score_last_20 12.99, total_time_steps 19980, total_learning_steps 980, total_terminations 0, total_truncations 20
episode 20, score -5.54, avg_score_total -21.60, avg_score_last_20 -20.45, time_steps_per_episode 999, learning_steps 49, std_score 13.18, std_score_last_20 12.43, total_time_steps 20979, total_learning_steps 1029, total_terminations 0, total_truncations 21
episode 21, score -4.97, avg_score_total -20.84, avg_score_last_20 -18.48, time_steps_per_episode 999, learning_steps 49, std_score 13.33, std_score_last_20 11.57, total_time_steps 21978, total_learning_steps 1078, total_terminations 0, total_truncations 22
episode 22, score -4.75, avg_score_total -20.14, avg_score_last_20 -16.59, time_steps_per_episode 999, learning_steps 49, std_score 13.45, std_score_last_20 10.54, total_time_steps 22977, total_learning_steps 1127, total_terminations 0, total_truncations 23
episode 23, score -3.78, avg_score_total -19.46, avg_score_last_20 -14.74, time_steps_per_episode 999, learning_steps 49, std_score 13.57, std_score_last_20 9.31, total_time_steps 23976, total_learning_steps 1176, total_terminations 0, total_truncations 24
episode 24, score -3.99, avg_score_total -18.84, avg_score_last_20 -13.19, time_steps_per_episode 999, learning_steps 49, std_score 13.63, std_score_last_20 8.34, total_time_steps 24975, total_learning_steps 1225, total_terminations 0, total_truncations 25
episode 25, score -3.36, avg_score_total -18.25, avg_score_last_20 -11.67, time_steps_per_episode 999, learning_steps 49, std_score 13.70, std_score_last_20 7.12, total_time_steps 25974, total_learning_steps 1274, total_terminations 0, total_truncations 26
episode 26, score -2.82, avg_score_total -17.68, avg_score_last_20 -10.40, time_steps_per_episode 999, learning_steps 49, std_score 13.75, std_score_last_20 6.28, total_time_steps 26973, total_learning_steps 1323, total_terminations 0, total_truncations 27
episode 27, score -2.57, avg_score_total -17.14, avg_score_last_20 -9.39, time_steps_per_episode 999, learning_steps 49, std_score 13.79, std_score_last_20 5.81, total_time_steps 27972, total_learning_steps 1372, total_terminations 0, total_truncations 28
episode 28, score -2.50, avg_score_total -16.63, avg_score_last_20 -8.41, time_steps_per_episode 999, learning_steps 49, std_score 13.81, std_score_last_20 5.21, total_time_steps 28971, total_learning_steps 1421, total_terminations 0, total_truncations 29
episode 29, score -2.25, avg_score_total -16.15, avg_score_last_20 -7.53, time_steps_per_episode 999, learning_steps 49, std_score 13.82, std_score_last_20 4.67, total_time_steps 29970, total_learning_steps 1470, total_terminations 0, total_truncations 30
episode 30, score -2.04, avg_score_total -15.70, avg_score_last_20 -6.76, time_steps_per_episode 999, learning_steps 49, std_score 13.83, std_score_last_20 4.22, total_time_steps 30969, total_learning_steps 1519, total_terminations 0, total_truncations 31
episode 31, score -1.75, avg_score_total -15.26, avg_score_last_20 -6.03, time_steps_per_episode 999, learning_steps 49, std_score 13.82, std_score_last_20 3.72, total_time_steps 31968, total_learning_steps 1568, total_terminations 0, total_truncations 32
episode 32, score -1.67, avg_score_total -14.85, avg_score_last_20 -5.40, time_steps_per_episode 999, learning_steps 49, std_score 13.81, std_score_last_20 3.32, total_time_steps 32967, total_learning_steps 1617, total_terminations 0, total_truncations 33
episode 33, score -1.46, avg_score_total -14.46, avg_score_last_20 -4.88, time_steps_per_episode 999, learning_steps 49, std_score 13.79, std_score_last_20 3.07, total_time_steps 33966, total_learning_steps 1666, total_terminations 0, total_truncations 34
episode 34, score -1.34, avg_score_total -14.08, avg_score_last_20 -4.37, time_steps_per_episode 999, learning_steps 49, std_score 13.77, std_score_last_20 2.75, total_time_steps 34965, total_learning_steps 1715, total_terminations 0, total_truncations 35
episode 35, score -1.33, avg_score_total -13.73, avg_score_last_20 -3.89, time_steps_per_episode 999, learning_steps 49, std_score 13.74, std_score_last_20 2.37, total_time_steps 35964, total_learning_steps 1764, total_terminations 0, total_truncations 36
episode 36, score -1.18, avg_score_total -13.39, avg_score_last_20 -3.48, time_steps_per_episode 999, learning_steps 49, std_score 13.70, std_score_last_20 2.09, total_time_steps 36963, total_learning_steps 1813, total_terminations 0, total_truncations 37
episode 37, score -1.01, avg_score_total -13.06, avg_score_last_20 -3.13, time_steps_per_episode 999, learning_steps 49, std_score 13.66, std_score_last_20 1.86, total_time_steps 37962, total_learning_steps 1862, total_terminations 0, total_truncations 38
episode 38, score -1.06, avg_score_total -12.75, avg_score_last_20 -2.80, time_steps_per_episode 999, learning_steps 49, std_score 13.62, std_score_last_20 1.61, total_time_steps 38961, total_learning_steps 1911, total_terminations 0, total_truncations 39
episode 39, score -1.01, avg_score_total -12.46, avg_score_last_20 -2.52, time_steps_per_episode 999, learning_steps 49, std_score 13.57, std_score_last_20 1.39, total_time_steps 39960, total_learning_steps 1960, total_terminations 0, total_truncations 40
episode 40, score -0.88, avg_score_total -12.18, avg_score_last_20 -2.29, time_steps_per_episode 999, learning_steps 49, std_score 13.53, std_score_last_20 1.25, total_time_steps 40959, total_learning_steps 2009, total_terminations 0, total_truncations 41
episode 41, score -0.82, avg_score_total -11.91, avg_score_last_20 -2.08, time_steps_per_episode 999, learning_steps 49, std_score 13.48, std_score_last_20 1.12, total_time_steps 41958, total_learning_steps 2058, total_terminations 0, total_truncations 42
episode 42, score -0.82, avg_score_total -11.65, avg_score_last_20 -1.88, time_steps_per_episode 999, learning_steps 49, std_score 13.42, std_score_last_20 0.97, total_time_steps 42957, total_learning_steps 2107, total_terminations 0, total_truncations 43
episode 43, score -0.76, avg_score_total -11.40, avg_score_last_20 -1.73, time_steps_per_episode 999, learning_steps 49, std_score 13.37, std_score_last_20 0.90, total_time_steps 43956, total_learning_steps 2156, total_terminations 0, total_truncations 44
episode 44, score -0.67, avg_score_total -11.16, avg_score_last_20 -1.57, time_steps_per_episode 999, learning_steps 49, std_score 13.31, std_score_last_20 0.76, total_time_steps 44955, total_learning_steps 2205, total_terminations 0, total_truncations 45
episode 45, score -0.69, avg_score_total -10.94, avg_score_last_20 -1.43, time_steps_per_episode 999, learning_steps 49, std_score 13.26, std_score_last_20 0.66, total_time_steps 45954, total_learning_steps 2254, total_terminations 0, total_truncations 46
episode 46, score -0.60, avg_score_total -10.72, avg_score_last_20 -1.32, time_steps_per_episode 999, learning_steps 49, std_score 13.20, std_score_last_20 0.60, total_time_steps 46953, total_learning_steps 2303, total_terminations 0, total_truncations 47
episode 47, score -0.51, avg_score_total -10.50, avg_score_last_20 -1.22, time_steps_per_episode 999, learning_steps 49, std_score 13.14, std_score_last_20 0.56, total_time_steps 47952, total_learning_steps 2352, total_terminations 0, total_truncations 48
episode 48, score -0.57, avg_score_total -10.30, avg_score_last_20 -1.12, time_steps_per_episode 999, learning_steps 49, std_score 13.08, std_score_last_20 0.49, total_time_steps 48951, total_learning_steps 2401, total_terminations 0, total_truncations 49
episode 49, score -0.57, avg_score_total -10.11, avg_score_last_20 -1.04, time_steps_per_episode 999, learning_steps 49, std_score 13.02, std_score_last_20 0.43, total_time_steps 49950, total_learning_steps 2450, total_terminations 0, total_truncations 50
episode 50, score -0.55, avg_score_total -9.92, avg_score_last_20 -0.96, time_steps_per_episode 999, learning_steps 49, std_score 12.96, std_score_last_20 0.37, total_time_steps 50949, total_learning_steps 2499, total_terminations 0, total_truncations 51
episode 51, score -0.44, avg_score_total -9.74, avg_score_last_20 -0.90, time_steps_per_episode 999, learning_steps 49, std_score 12.90, std_score_last_20 0.34, total_time_steps 51948, total_learning_steps 2548, total_terminations 0, total_truncations 52
episode 52, score -0.43, avg_score_total -9.56, avg_score_last_20 -0.84, time_steps_per_episode 999, learning_steps 49, std_score 12.84, std_score_last_20 0.31, total_time_steps 52947, total_learning_steps 2597, total_terminations 0, total_truncations 53
episode 53, score -0.45, avg_score_total -9.39, avg_score_last_20 -0.78, time_steps_per_episode 999, learning_steps 49, std_score 12.78, std_score_last_20 0.28, total_time_steps 53946, total_learning_steps 2646, total_terminations 0, total_truncations 54
episode 54, score -0.42, avg_score_total -9.23, avg_score_last_20 -0.74, time_steps_per_episode 999, learning_steps 49, std_score 12.72, std_score_last_20 0.26, total_time_steps 54945, total_learning_steps 2695, total_terminations 0, total_truncations 55
episode 55, score -0.51, avg_score_total -9.07, avg_score_last_20 -0.70, time_steps_per_episode 999, learning_steps 49, std_score 12.66, std_score_last_20 0.23, total_time_steps 55944, total_learning_steps 2744, total_terminations 0, total_truncations 56
episode 56, score -0.53, avg_score_total -8.92, avg_score_last_20 -0.67, time_steps_per_episode 999, learning_steps 49, std_score 12.60, std_score_last_20 0.20, total_time_steps 56943, total_learning_steps 2793, total_terminations 0, total_truncations 57
