episode 0, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 500, total_learning_steps 25, total_terminations 0, total_truncations 1
episode 1, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 1000, total_learning_steps 50, total_terminations 0, total_truncations 2
episode 2, score -242.0, avg_score_total -414.000, avg_score_last_20 -414.000, time_steps_per_episode 243, learning_steps 12, std_score 121.622, std_score_last_20 121.622, total_time_steps 1243, total_learning_steps 62, total_terminations 1, total_truncations 2
episode 3, score -262.0, avg_score_total -376.000, avg_score_last_20 -376.000, time_steps_per_episode 263, learning_steps 13, std_score 124.201, std_score_last_20 124.201, total_time_steps 1506, total_learning_steps 75, total_terminations 2, total_truncations 2
episode 4, score -203.0, avg_score_total -341.400, avg_score_last_20 -341.400, time_steps_per_episode 204, learning_steps 10, std_score 130.879, std_score_last_20 130.879, total_time_steps 1710, total_learning_steps 85, total_terminations 3, total_truncations 2
episode 5, score -221.0, avg_score_total -321.333, avg_score_last_20 -321.333, time_steps_per_episode 222, learning_steps 11, std_score 127.624, std_score_last_20 127.624, total_time_steps 1932, total_learning_steps 96, total_terminations 4, total_truncations 2
episode 6, score -333.0, avg_score_total -323.000, avg_score_last_20 -323.000, time_steps_per_episode 334, learning_steps 16, std_score 118.227, std_score_last_20 118.227, total_time_steps 2266, total_learning_steps 112, total_terminations 5, total_truncations 2
episode 7, score -186.0, avg_score_total -305.875, avg_score_last_20 -305.875, time_steps_per_episode 187, learning_steps 9, std_score 119.513, std_score_last_20 119.513, total_time_steps 2453, total_learning_steps 121, total_terminations 6, total_truncations 2
episode 8, score -386.0, avg_score_total -314.778, avg_score_last_20 -314.778, time_steps_per_episode 387, learning_steps 19, std_score 115.457, std_score_last_20 115.457, total_time_steps 2840, total_learning_steps 140, total_terminations 7, total_truncations 2
episode 9, score -500.0, avg_score_total -333.300, avg_score_last_20 -333.300, time_steps_per_episode 500, learning_steps 25, std_score 122.821, std_score_last_20 122.821, total_time_steps 3340, total_learning_steps 165, total_terminations 7, total_truncations 3
episode 10, score -208.0, avg_score_total -321.909, avg_score_last_20 -321.909, time_steps_per_episode 209, learning_steps 10, std_score 122.520, std_score_last_20 122.520, total_time_steps 3549, total_learning_steps 175, total_terminations 8, total_truncations 3
episode 11, score -347.0, avg_score_total -324.000, avg_score_last_20 -324.000, time_steps_per_episode 348, learning_steps 17, std_score 117.509, std_score_last_20 117.509, total_time_steps 3897, total_learning_steps 192, total_terminations 9, total_truncations 3
episode 12, score -241.0, avg_score_total -317.615, avg_score_last_20 -317.615, time_steps_per_episode 242, learning_steps 12, std_score 115.045, std_score_last_20 115.045, total_time_steps 4139, total_learning_steps 204, total_terminations 10, total_truncations 3
episode 13, score -267.0, avg_score_total -314.000, avg_score_last_20 -314.000, time_steps_per_episode 268, learning_steps 13, std_score 111.624, std_score_last_20 111.624, total_time_steps 4407, total_learning_steps 217, total_terminations 11, total_truncations 3
episode 14, score -388.0, avg_score_total -318.933, avg_score_last_20 -318.933, time_steps_per_episode 389, learning_steps 19, std_score 109.407, std_score_last_20 109.407, total_time_steps 4796, total_learning_steps 236, total_terminations 12, total_truncations 3
episode 15, score -223.0, avg_score_total -312.938, avg_score_last_20 -312.938, time_steps_per_episode 224, learning_steps 11, std_score 108.448, std_score_last_20 108.448, total_time_steps 5020, total_learning_steps 247, total_terminations 13, total_truncations 3
