episode 0, score 26.0, avg_score_total 26.000, avg_score_last_20 26.000, time_steps_per_episode 26, learning_steps 1, std_score 0.000, std_score_last_20 0.000, total_time_steps 26, total_learning_steps 1, total_terminations 1, total_truncations 0
episode 1, score 17.0, avg_score_total 21.500, avg_score_last_20 21.500, time_steps_per_episode 17, learning_steps 0, std_score 4.500, std_score_last_20 4.500, total_time_steps 43, total_learning_steps 1, total_terminations 2, total_truncations 0
episode 2, score 46.0, avg_score_total 29.667, avg_score_last_20 29.667, time_steps_per_episode 46, learning_steps 2, std_score 12.120, std_score_last_20 12.120, total_time_steps 89, total_learning_steps 3, total_terminations 3, total_truncations 0
episode 3, score 11.0, avg_score_total 25.000, avg_score_last_20 25.000, time_steps_per_episode 11, learning_steps 0, std_score 13.248, std_score_last_20 13.248, total_time_steps 100, total_learning_steps 3, total_terminations 4, total_truncations 0
episode 4, score 10.0, avg_score_total 22.000, avg_score_last_20 22.000, time_steps_per_episode 10, learning_steps 0, std_score 13.282, std_score_last_20 13.282, total_time_steps 110, total_learning_steps 3, total_terminations 5, total_truncations 0
episode 5, score 12.0, avg_score_total 20.333, avg_score_last_20 20.333, time_steps_per_episode 12, learning_steps 0, std_score 12.684, std_score_last_20 12.684, total_time_steps 122, total_learning_steps 3, total_terminations 6, total_truncations 0
episode 6, score 46.0, avg_score_total 24.000, avg_score_last_20 24.000, time_steps_per_episode 46, learning_steps 2, std_score 14.784, std_score_last_20 14.784, total_time_steps 168, total_learning_steps 5, total_terminations 7, total_truncations 0
episode 7, score 48.0, avg_score_total 27.000, avg_score_last_20 27.000, time_steps_per_episode 48, learning_steps 2, std_score 15.945, std_score_last_20 15.945, total_time_steps 216, total_learning_steps 7, total_terminations 8, total_truncations 0
episode 8, score 43.0, avg_score_total 28.778, avg_score_last_20 28.778, time_steps_per_episode 43, learning_steps 2, std_score 15.852, std_score_last_20 15.852, total_time_steps 259, total_learning_steps 9, total_terminations 9, total_truncations 0
episode 9, score 14.0, avg_score_total 27.300, avg_score_last_20 27.300, time_steps_per_episode 14, learning_steps 0, std_score 15.678, std_score_last_20 15.678, total_time_steps 273, total_learning_steps 9, total_terminations 10, total_truncations 0
episode 10, score 11.0, avg_score_total 25.818, avg_score_last_20 25.818, time_steps_per_episode 11, learning_steps 0, std_score 15.666, std_score_last_20 15.666, total_time_steps 284, total_learning_steps 9, total_terminations 11, total_truncations 0
episode 11, score 20.0, avg_score_total 25.333, avg_score_last_20 25.333, time_steps_per_episode 20, learning_steps 1, std_score 15.085, std_score_last_20 15.085, total_time_steps 304, total_learning_steps 10, total_terminations 12, total_truncations 0
episode 12, score 20.0, avg_score_total 24.923, avg_score_last_20 24.923, time_steps_per_episode 20, learning_steps 1, std_score 14.563, std_score_last_20 14.563, total_time_steps 324, total_learning_steps 11, total_terminations 13, total_truncations 0
episode 13, score 16.0, avg_score_total 24.286, avg_score_last_20 24.286, time_steps_per_episode 16, learning_steps 0, std_score 14.220, std_score_last_20 14.220, total_time_steps 340, total_learning_steps 11, total_terminations 14, total_truncations 0
episode 14, score 25.0, avg_score_total 24.333, avg_score_last_20 24.333, time_steps_per_episode 25, learning_steps 1, std_score 13.739, std_score_last_20 13.739, total_time_steps 365, total_learning_steps 12, total_terminations 15, total_truncations 0
episode 15, score 27.0, avg_score_total 24.500, avg_score_last_20 24.500, time_steps_per_episode 27, learning_steps 1, std_score 13.318, std_score_last_20 13.318, total_time_steps 392, total_learning_steps 13, total_terminations 16, total_truncations 0
episode 16, score 17.0, avg_score_total 24.059, avg_score_last_20 24.059, time_steps_per_episode 17, learning_steps 0, std_score 13.041, std_score_last_20 13.041, total_time_steps 409, total_learning_steps 13, total_terminations 17, total_truncations 0
episode 17, score 14.0, avg_score_total 23.500, avg_score_last_20 23.500, time_steps_per_episode 14, learning_steps 0, std_score 12.881, std_score_last_20 12.881, total_time_steps 423, total_learning_steps 13, total_terminations 18, total_truncations 0
episode 18, score 20.0, avg_score_total 23.316, avg_score_last_20 23.316, time_steps_per_episode 20, learning_steps 1, std_score 12.562, std_score_last_20 12.562, total_time_steps 443, total_learning_steps 14, total_terminations 19, total_truncations 0
episode 19, score 23.0, avg_score_total 23.300, avg_score_last_20 23.300, time_steps_per_episode 23, learning_steps 1, std_score 12.244, std_score_last_20 12.244, total_time_steps 466, total_learning_steps 15, total_terminations 20, total_truncations 0
episode 20, score 10.0, avg_score_total 22.667, avg_score_last_20 22.500, time_steps_per_episode 10, learning_steps 0, std_score 12.280, std_score_last_20 12.560, total_time_steps 476, total_learning_steps 15, total_terminations 21, total_truncations 0
episode 21, score 27.0, avg_score_total 22.864, avg_score_last_20 23.000, time_steps_per_episode 27, learning_steps 1, std_score 12.031, std_score_last_20 12.530, total_time_steps 503, total_learning_steps 16, total_terminations 22, total_truncations 0
episode 22, score 10.0, avg_score_total 22.304, avg_score_last_20 21.200, time_steps_per_episode 10, learning_steps 0, std_score 12.056, std_score_last_20 11.652, total_time_steps 513, total_learning_steps 16, total_terminations 23, total_truncations 0
episode 23, score 42.0, avg_score_total 23.125, avg_score_last_20 22.750, time_steps_per_episode 42, learning_steps 2, std_score 12.441, std_score_last_20 12.239, total_time_steps 555, total_learning_steps 18, total_terminations 24, total_truncations 0
episode 24, score 16.0, avg_score_total 22.840, avg_score_last_20 23.050, time_steps_per_episode 16, learning_steps 0, std_score 12.269, std_score_last_20 11.994, total_time_steps 571, total_learning_steps 18, total_terminations 25, total_truncations 0
episode 25, score 13.0, avg_score_total 22.462, avg_score_last_20 23.100, time_steps_per_episode 13, learning_steps 0, std_score 12.179, std_score_last_20 11.949, total_time_steps 584, total_learning_steps 18, total_terminations 26, total_truncations 0
episode 26, score 22.0, avg_score_total 22.444, avg_score_last_20 21.900, time_steps_per_episode 22, learning_steps 1, std_score 11.952, std_score_last_20 10.733, total_time_steps 606, total_learning_steps 19, total_terminations 27, total_truncations 0
episode 27, score 12.0, avg_score_total 22.071, avg_score_last_20 20.100, time_steps_per_episode 12, learning_steps 0, std_score 11.895, std_score_last_20 9.099, total_time_steps 618, total_learning_steps 19, total_terminations 28, total_truncations 0
episode 28, score 32.0, avg_score_total 22.414, avg_score_last_20 19.550, time_steps_per_episode 32, learning_steps 1, std_score 11.828, std_score_last_20 7.959, total_time_steps 650, total_learning_steps 20, total_terminations 29, total_truncations 0
episode 29, score 30.0, avg_score_total 22.667, avg_score_last_20 20.350, time_steps_per_episode 30, learning_steps 1, std_score 11.708, std_score_last_20 8.163, total_time_steps 680, total_learning_steps 21, total_terminations 30, total_truncations 0
episode 30, score 16.0, avg_score_total 22.452, avg_score_last_20 20.600, time_steps_per_episode 16, learning_steps 0, std_score 11.578, std_score_last_20 7.946, total_time_steps 696, total_learning_steps 21, total_terminations 31, total_truncations 0
episode 31, score 27.0, avg_score_total 22.594, avg_score_last_20 20.950, time_steps_per_episode 27, learning_steps 1, std_score 11.423, std_score_last_20 8.065, total_time_steps 723, total_learning_steps 22, total_terminations 32, total_truncations 0
episode 32, score 13.0, avg_score_total 22.303, avg_score_last_20 20.600, time_steps_per_episode 13, learning_steps 0, std_score 11.368, std_score_last_20 8.249, total_time_steps 736, total_learning_steps 22, total_terminations 33, total_truncations 0
episode 33, score 29.0, avg_score_total 22.500, avg_score_last_20 21.250, time_steps_per_episode 29, learning_steps 1, std_score 11.257, std_score_last_20 8.372, total_time_steps 765, total_learning_steps 23, total_terminations 34, total_truncations 0
episode 34, score 15.0, avg_score_total 22.286, avg_score_last_20 20.750, time_steps_per_episode 15, learning_steps 0, std_score 11.165, std_score_last_20 8.431, total_time_steps 780, total_learning_steps 23, total_terminations 35, total_truncations 0
episode 35, score 43.0, avg_score_total 22.861, avg_score_last_20 21.550, time_steps_per_episode 43, learning_steps 2, std_score 11.523, std_score_last_20 9.656, total_time_steps 823, total_learning_steps 25, total_terminations 36, total_truncations 0
episode 36, score 15.0, avg_score_total 22.649, avg_score_last_20 21.450, time_steps_per_episode 15, learning_steps 0, std_score 11.438, std_score_last_20 9.713, total_time_steps 838, total_learning_steps 25, total_terminations 37, total_truncations 0
episode 37, score 17.0, avg_score_total 22.500, avg_score_last_20 21.600, time_steps_per_episode 17, learning_steps 0, std_score 11.322, std_score_last_20 9.620, total_time_steps 855, total_learning_steps 25, total_terminations 38, total_truncations 0
episode 38, score 26.0, avg_score_total 22.590, avg_score_last_20 21.900, time_steps_per_episode 26, learning_steps 1, std_score 11.190, std_score_last_20 9.659, total_time_steps 881, total_learning_steps 26, total_terminations 39, total_truncations 0
episode 39, score 24.0, avg_score_total 22.625, avg_score_last_20 21.950, time_steps_per_episode 24, learning_steps 1, std_score 11.051, std_score_last_20 9.667, total_time_steps 905, total_learning_steps 27, total_terminations 40, total_truncations 0
