episode 0, score 10.0, avg_score_total 10.000, avg_score_last_20 10.000, time_steps_per_episode 10, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 10, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 14.0, avg_score_total 12.000, avg_score_last_20 12.000, time_steps_per_episode 14, learning_steps 0, std_score 2.000, std_score_last_20 2.000, total_time_steps 24, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 12.0, avg_score_total 12.000, avg_score_last_20 12.000, time_steps_per_episode 12, learning_steps 0, std_score 1.633, std_score_last_20 1.633, total_time_steps 36, total_learning_steps 0, total_terminations 3, total_truncations 0
episode 3, score 10.0, avg_score_total 11.500, avg_score_last_20 11.500, time_steps_per_episode 10, learning_steps 0, std_score 1.658, std_score_last_20 1.658, total_time_steps 46, total_learning_steps 0, total_terminations 4, total_truncations 0
episode 4, score 34.0, avg_score_total 16.000, avg_score_last_20 16.000, time_steps_per_episode 34, learning_steps 1, std_score 9.121, std_score_last_20 9.121, total_time_steps 80, total_learning_steps 1, total_terminations 5, total_truncations 0
episode 5, score 26.0, avg_score_total 17.667, avg_score_last_20 17.667, time_steps_per_episode 26, learning_steps 1, std_score 9.123, std_score_last_20 9.123, total_time_steps 106, total_learning_steps 2, total_terminations 6, total_truncations 0
episode 6, score 25.0, avg_score_total 18.714, avg_score_last_20 18.714, time_steps_per_episode 25, learning_steps 1, std_score 8.827, std_score_last_20 8.827, total_time_steps 131, total_learning_steps 3, total_terminations 7, total_truncations 0
episode 7, score 34.0, avg_score_total 20.625, avg_score_last_20 20.625, time_steps_per_episode 34, learning_steps 1, std_score 9.682, std_score_last_20 9.682, total_time_steps 165, total_learning_steps 4, total_terminations 8, total_truncations 0
episode 8, score 13.0, avg_score_total 19.778, avg_score_last_20 19.778, time_steps_per_episode 13, learning_steps 0, std_score 9.437, std_score_last_20 9.437, total_time_steps 178, total_learning_steps 4, total_terminations 9, total_truncations 0
episode 9, score 33.0, avg_score_total 21.100, avg_score_last_20 21.100, time_steps_per_episode 33, learning_steps 1, std_score 9.792, std_score_last_20 9.792, total_time_steps 211, total_learning_steps 5, total_terminations 10, total_truncations 0
episode 10, score 15.0, avg_score_total 20.545, avg_score_last_20 20.545, time_steps_per_episode 15, learning_steps 0, std_score 9.500, std_score_last_20 9.500, total_time_steps 226, total_learning_steps 5, total_terminations 11, total_truncations 0
episode 11, score 44.0, avg_score_total 22.500, avg_score_last_20 22.500, time_steps_per_episode 44, learning_steps 2, std_score 11.169, std_score_last_20 11.169, total_time_steps 270, total_learning_steps 7, total_terminations 12, total_truncations 0
episode 12, score 18.0, avg_score_total 22.154, avg_score_last_20 22.154, time_steps_per_episode 18, learning_steps 0, std_score 10.798, std_score_last_20 10.798, total_time_steps 288, total_learning_steps 7, total_terminations 13, total_truncations 0
episode 13, score 17.0, avg_score_total 21.786, avg_score_last_20 21.786, time_steps_per_episode 17, learning_steps 0, std_score 10.489, std_score_last_20 10.489, total_time_steps 305, total_learning_steps 7, total_terminations 14, total_truncations 0
episode 14, score 20.0, avg_score_total 21.667, avg_score_last_20 21.667, time_steps_per_episode 20, learning_steps 1, std_score 10.143, std_score_last_20 10.143, total_time_steps 325, total_learning_steps 8, total_terminations 15, total_truncations 0
episode 15, score 44.0, avg_score_total 23.062, avg_score_last_20 23.062, time_steps_per_episode 44, learning_steps 2, std_score 11.211, std_score_last_20 11.211, total_time_steps 369, total_learning_steps 10, total_terminations 16, total_truncations 0
