episode 0, score 9.0, avg_score_total 9.000, avg_score_last_20 9.000, time_steps_per_episode 9, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 9, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 19.0, avg_score_total 14.000, avg_score_last_20 14.000, time_steps_per_episode 19, learning_steps 0, std_score 5.000, std_score_last_20 5.000, total_time_steps 28, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 11.0, avg_score_total 13.000, avg_score_last_20 13.000, time_steps_per_episode 11, learning_steps 0, std_score 4.320, std_score_last_20 4.320, total_time_steps 39, total_learning_steps 0, total_terminations 3, total_truncations 0
episode 3, score 16.0, avg_score_total 13.750, avg_score_last_20 13.750, time_steps_per_episode 16, learning_steps 0, std_score 3.961, std_score_last_20 3.961, total_time_steps 55, total_learning_steps 0, total_terminations 4, total_truncations 0
episode 4, score 19.0, avg_score_total 14.800, avg_score_last_20 14.800, time_steps_per_episode 19, learning_steps 0, std_score 4.118, std_score_last_20 4.118, total_time_steps 74, total_learning_steps 0, total_terminations 5, total_truncations 0
episode 5, score 13.0, avg_score_total 14.500, avg_score_last_20 14.500, time_steps_per_episode 13, learning_steps 0, std_score 3.819, std_score_last_20 3.819, total_time_steps 87, total_learning_steps 0, total_terminations 6, total_truncations 0
episode 6, score 25.0, avg_score_total 16.000, avg_score_last_20 16.000, time_steps_per_episode 25, learning_steps 1, std_score 5.099, std_score_last_20 5.099, total_time_steps 112, total_learning_steps 1, total_terminations 7, total_truncations 0
episode 7, score 12.0, avg_score_total 15.500, avg_score_last_20 15.500, time_steps_per_episode 12, learning_steps 0, std_score 4.950, std_score_last_20 4.950, total_time_steps 124, total_learning_steps 1, total_terminations 8, total_truncations 0
episode 8, score 28.0, avg_score_total 16.889, avg_score_last_20 16.889, time_steps_per_episode 28, learning_steps 1, std_score 6.100, std_score_last_20 6.100, total_time_steps 152, total_learning_steps 2, total_terminations 9, total_truncations 0
episode 9, score 13.0, avg_score_total 16.500, avg_score_last_20 16.500, time_steps_per_episode 13, learning_steps 0, std_score 5.903, std_score_last_20 5.903, total_time_steps 165, total_learning_steps 2, total_terminations 10, total_truncations 0
episode 10, score 42.0, avg_score_total 18.818, avg_score_last_20 18.818, time_steps_per_episode 42, learning_steps 2, std_score 9.242, std_score_last_20 9.242, total_time_steps 207, total_learning_steps 4, total_terminations 11, total_truncations 0
episode 11, score 20.0, avg_score_total 18.917, avg_score_last_20 18.917, time_steps_per_episode 20, learning_steps 1, std_score 8.855, std_score_last_20 8.855, total_time_steps 227, total_learning_steps 5, total_terminations 12, total_truncations 0
