episode 0, score 10.0, avg_score_total 10.000, avg_score_last_20 10.000, time_steps_per_episode 10, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 10, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 16.0, avg_score_total 13.000, avg_score_last_20 13.000, time_steps_per_episode 16, learning_steps 0, std_score 3.000, std_score_last_20 3.000, total_time_steps 26, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 35.0, avg_score_total 20.333, avg_score_last_20 20.333, time_steps_per_episode 35, learning_steps 1, std_score 10.656, std_score_last_20 10.656, total_time_steps 61, total_learning_steps 1, total_terminations 3, total_truncations 0
episode 3, score 14.0, avg_score_total 18.750, avg_score_last_20 18.750, time_steps_per_episode 14, learning_steps 0, std_score 9.627, std_score_last_20 9.627, total_time_steps 75, total_learning_steps 1, total_terminations 4, total_truncations 0
episode 4, score 32.0, avg_score_total 21.400, avg_score_last_20 21.400, time_steps_per_episode 32, learning_steps 1, std_score 10.111, std_score_last_20 10.111, total_time_steps 107, total_learning_steps 2, total_terminations 5, total_truncations 0
episode 5, score 17.0, avg_score_total 20.667, avg_score_last_20 20.667, time_steps_per_episode 17, learning_steps 0, std_score 9.375, std_score_last_20 9.375, total_time_steps 124, total_learning_steps 2, total_terminations 6, total_truncations 0
episode 6, score 30.0, avg_score_total 22.000, avg_score_last_20 22.000, time_steps_per_episode 30, learning_steps 1, std_score 9.274, std_score_last_20 9.274, total_time_steps 154, total_learning_steps 3, total_terminations 7, total_truncations 0
episode 7, score 13.0, avg_score_total 20.875, avg_score_last_20 20.875, time_steps_per_episode 13, learning_steps 0, std_score 9.171, std_score_last_20 9.171, total_time_steps 167, total_learning_steps 3, total_terminations 8, total_truncations 0
episode 8, score 39.0, avg_score_total 22.889, avg_score_last_20 22.889, time_steps_per_episode 39, learning_steps 1, std_score 10.354, std_score_last_20 10.354, total_time_steps 206, total_learning_steps 4, total_terminations 9, total_truncations 0
episode 9, score 19.0, avg_score_total 22.500, avg_score_last_20 22.500, time_steps_per_episode 19, learning_steps 0, std_score 9.892, std_score_last_20 9.892, total_time_steps 225, total_learning_steps 4, total_terminations 10, total_truncations 0
episode 10, score 33.0, avg_score_total 23.455, avg_score_last_20 23.455, time_steps_per_episode 33, learning_steps 1, std_score 9.903, std_score_last_20 9.903, total_time_steps 258, total_learning_steps 5, total_terminations 11, total_truncations 0
episode 11, score 13.0, avg_score_total 22.583, avg_score_last_20 22.583, time_steps_per_episode 13, learning_steps 0, std_score 9.912, std_score_last_20 9.912, total_time_steps 271, total_learning_steps 5, total_terminations 12, total_truncations 0
episode 12, score 16.0, avg_score_total 22.077, avg_score_last_20 22.077, time_steps_per_episode 16, learning_steps 0, std_score 9.683, std_score_last_20 9.683, total_time_steps 287, total_learning_steps 5, total_terminations 13, total_truncations 0
episode 13, score 13.0, avg_score_total 21.429, avg_score_last_20 21.429, time_steps_per_episode 13, learning_steps 0, std_score 9.619, std_score_last_20 9.619, total_time_steps 300, total_learning_steps 5, total_terminations 14, total_truncations 0
episode 14, score 28.0, avg_score_total 21.867, avg_score_last_20 21.867, time_steps_per_episode 28, learning_steps 1, std_score 9.437, std_score_last_20 9.437, total_time_steps 328, total_learning_steps 6, total_terminations 15, total_truncations 0
episode 15, score 17.0, avg_score_total 21.562, avg_score_last_20 21.562, time_steps_per_episode 17, learning_steps 0, std_score 9.213, std_score_last_20 9.213, total_time_steps 345, total_learning_steps 6, total_terminations 16, total_truncations 0
episode 16, score 17.0, avg_score_total 21.294, avg_score_last_20 21.294, time_steps_per_episode 17, learning_steps 0, std_score 9.002, std_score_last_20 9.002, total_time_steps 362, total_learning_steps 6, total_terminations 17, total_truncations 0
episode 17, score 21.0, avg_score_total 21.278, avg_score_last_20 21.278, time_steps_per_episode 21, learning_steps 1, std_score 8.748, std_score_last_20 8.748, total_time_steps 383, total_learning_steps 7, total_terminations 18, total_truncations 0
episode 18, score 20.0, avg_score_total 21.211, avg_score_last_20 21.211, time_steps_per_episode 20, learning_steps 1, std_score 8.520, std_score_last_20 8.520, total_time_steps 403, total_learning_steps 8, total_terminations 19, total_truncations 0
episode 19, score 19.0, avg_score_total 21.100, avg_score_last_20 21.100, time_steps_per_episode 19, learning_steps 0, std_score 8.318, std_score_last_20 8.318, total_time_steps 422, total_learning_steps 8, total_terminations 20, total_truncations 0
episode 20, score 29.0, avg_score_total 21.476, avg_score_last_20 22.050, time_steps_per_episode 29, learning_steps 1, std_score 8.290, std_score_last_20 8.078, total_time_steps 451, total_learning_steps 9, total_terminations 21, total_truncations 0
episode 21, score 17.0, avg_score_total 21.273, avg_score_last_20 22.100, time_steps_per_episode 17, learning_steps 0, std_score 8.153, std_score_last_20 8.043, total_time_steps 468, total_learning_steps 9, total_terminations 22, total_truncations 0
episode 22, score 27.0, avg_score_total 21.522, avg_score_last_20 21.700, time_steps_per_episode 27, learning_steps 1, std_score 8.059, std_score_last_20 7.577, total_time_steps 495, total_learning_steps 10, total_terminations 23, total_truncations 0
episode 23, score 30.0, avg_score_total 21.875, avg_score_last_20 22.500, time_steps_per_episode 30, learning_steps 1, std_score 8.069, std_score_last_20 7.566, total_time_steps 525, total_learning_steps 11, total_terminations 24, total_truncations 0
episode 24, score 31.0, avg_score_total 22.240, avg_score_last_20 22.450, time_steps_per_episode 31, learning_steps 1, std_score 8.106, std_score_last_20 7.506, total_time_steps 556, total_learning_steps 12, total_terminations 25, total_truncations 0
episode 25, score 23.0, avg_score_total 22.269, avg_score_last_20 22.750, time_steps_per_episode 23, learning_steps 1, std_score 7.950, std_score_last_20 7.402, total_time_steps 579, total_learning_steps 13, total_terminations 26, total_truncations 0
episode 26, score 18.0, avg_score_total 22.111, avg_score_last_20 22.150, time_steps_per_episode 18, learning_steps 0, std_score 7.843, std_score_last_20 7.275, total_time_steps 597, total_learning_steps 13, total_terminations 27, total_truncations 0
episode 27, score 30.0, avg_score_total 22.393, avg_score_last_20 23.000, time_steps_per_episode 30, learning_steps 1, std_score 7.839, std_score_last_20 7.148, total_time_steps 627, total_learning_steps 14, total_terminations 28, total_truncations 0
episode 28, score 11.0, avg_score_total 22.000, avg_score_last_20 21.600, time_steps_per_episode 11, learning_steps 0, std_score 7.978, std_score_last_20 6.598, total_time_steps 638, total_learning_steps 14, total_terminations 29, total_truncations 0
episode 29, score 12.0, avg_score_total 21.667, avg_score_last_20 21.250, time_steps_per_episode 12, learning_steps 0, std_score 8.047, std_score_last_20 6.906, total_time_steps 650, total_learning_steps 14, total_terminations 30, total_truncations 0
episode 30, score 17.0, avg_score_total 21.516, avg_score_last_20 20.450, time_steps_per_episode 17, learning_steps 0, std_score 7.959, std_score_last_20 6.407, total_time_steps 667, total_learning_steps 14, total_terminations 31, total_truncations 0
episode 31, score 25.0, avg_score_total 21.625, avg_score_last_20 21.050, time_steps_per_episode 25, learning_steps 1, std_score 7.857, std_score_last_20 6.241, total_time_steps 692, total_learning_steps 15, total_terminations 32, total_truncations 0
episode 32, score 44.0, avg_score_total 22.303, avg_score_last_20 22.450, time_steps_per_episode 44, learning_steps 2, std_score 8.636, std_score_last_20 7.877, total_time_steps 736, total_learning_steps 17, total_terminations 33, total_truncations 0
episode 33, score 44.0, avg_score_total 22.941, avg_score_last_20 24.000, time_steps_per_episode 44, learning_steps 2, std_score 9.264, std_score_last_20 8.854, total_time_steps 780, total_learning_steps 19, total_terminations 34, total_truncations 0
episode 34, score 17.0, avg_score_total 22.771, avg_score_last_20 23.450, time_steps_per_episode 17, learning_steps 0, std_score 9.184, std_score_last_20 8.930, total_time_steps 797, total_learning_steps 19, total_terminations 35, total_truncations 0
episode 35, score 48.0, avg_score_total 23.472, avg_score_last_20 25.000, time_steps_per_episode 48, learning_steps 2, std_score 9.960, std_score_last_20 10.266, total_time_steps 845, total_learning_steps 21, total_terminations 36, total_truncations 0
episode 36, score 21.0, avg_score_total 23.405, avg_score_last_20 25.200, time_steps_per_episode 21, learning_steps 1, std_score 9.832, std_score_last_20 10.147, total_time_steps 866, total_learning_steps 22, total_terminations 37, total_truncations 0
episode 37, score 18.0, avg_score_total 23.263, avg_score_last_20 25.050, time_steps_per_episode 18, learning_steps 0, std_score 9.741, std_score_last_20 10.230, total_time_steps 884, total_learning_steps 22, total_terminations 38, total_truncations 0
episode 38, score 10.0, avg_score_total 22.923, avg_score_last_20 24.550, time_steps_per_episode 10, learning_steps 0, std_score 9.841, std_score_last_20 10.698, total_time_steps 894, total_learning_steps 22, total_terminations 39, total_truncations 0
episode 39, score 52.0, avg_score_total 23.650, avg_score_last_20 26.200, time_steps_per_episode 52, learning_steps 2, std_score 10.725, std_score_last_20 12.160, total_time_steps 946, total_learning_steps 24, total_terminations 40, total_truncations 0
episode 40, score 15.0, avg_score_total 23.439, avg_score_last_20 25.500, time_steps_per_episode 15, learning_steps 0, std_score 10.677, std_score_last_20 12.379, total_time_steps 961, total_learning_steps 24, total_terminations 41, total_truncations 0
episode 41, score 22.0, avg_score_total 23.405, avg_score_last_20 25.750, time_steps_per_episode 22, learning_steps 1, std_score 10.552, std_score_last_20 12.255, total_time_steps 983, total_learning_steps 25, total_terminations 42, total_truncations 0
episode 42, score 15.0, avg_score_total 23.209, avg_score_last_20 25.150, time_steps_per_episode 15, learning_steps 0, std_score 10.505, std_score_last_20 12.471, total_time_steps 998, total_learning_steps 25, total_terminations 43, total_truncations 0
episode 43, score 30.0, avg_score_total 23.364, avg_score_last_20 25.150, time_steps_per_episode 30, learning_steps 1, std_score 10.434, std_score_last_20 12.471, total_time_steps 1028, total_learning_steps 26, total_terminations 44, total_truncations 0
episode 44, score 15.0, avg_score_total 23.178, avg_score_last_20 24.350, time_steps_per_episode 15, learning_steps 0, std_score 10.391, std_score_last_20 12.583, total_time_steps 1043, total_learning_steps 26, total_terminations 45, total_truncations 0
episode 45, score 14.0, avg_score_total 22.978, avg_score_last_20 23.900, time_steps_per_episode 14, learning_steps 0, std_score 10.364, std_score_last_20 12.782, total_time_steps 1057, total_learning_steps 26, total_terminations 46, total_truncations 0
episode 46, score 14.0, avg_score_total 22.787, avg_score_last_20 23.700, time_steps_per_episode 14, learning_steps 0, std_score 10.335, std_score_last_20 12.904, total_time_steps 1071, total_learning_steps 26, total_terminations 47, total_truncations 0
episode 47, score 13.0, avg_score_total 22.583, avg_score_last_20 22.850, time_steps_per_episode 13, learning_steps 0, std_score 10.322, std_score_last_20 13.020, total_time_steps 1084, total_learning_steps 26, total_terminations 48, total_truncations 0
episode 48, score 22.0, avg_score_total 22.571, avg_score_last_20 23.400, time_steps_per_episode 22, learning_steps 1, std_score 10.216, std_score_last_20 12.737, total_time_steps 1106, total_learning_steps 27, total_terminations 49, total_truncations 0
