episode 0, score 11.0, avg_score_total 11.000, avg_score_last_20 11.000, time_steps_per_episode 11, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 11, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 12.0, avg_score_total 11.500, avg_score_last_20 11.500, time_steps_per_episode 12, learning_steps 0, std_score 0.500, std_score_last_20 0.500, total_time_steps 23, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 15.0, avg_score_total 12.667, avg_score_last_20 12.667, time_steps_per_episode 15, learning_steps 0, std_score 1.700, std_score_last_20 1.700, total_time_steps 38, total_learning_steps 0, total_terminations 3, total_truncations 0
episode 3, score 9.0, avg_score_total 11.750, avg_score_last_20 11.750, time_steps_per_episode 9, learning_steps 0, std_score 2.165, std_score_last_20 2.165, total_time_steps 47, total_learning_steps 0, total_terminations 4, total_truncations 0
episode 4, score 18.0, avg_score_total 13.000, avg_score_last_20 13.000, time_steps_per_episode 18, learning_steps 0, std_score 3.162, std_score_last_20 3.162, total_time_steps 65, total_learning_steps 0, total_terminations 5, total_truncations 0
episode 5, score 24.0, avg_score_total 14.833, avg_score_last_20 14.833, time_steps_per_episode 24, learning_steps 1, std_score 5.014, std_score_last_20 5.014, total_time_steps 89, total_learning_steps 1, total_terminations 6, total_truncations 0
episode 6, score 38.0, avg_score_total 18.143, avg_score_last_20 18.143, time_steps_per_episode 38, learning_steps 1, std_score 9.342, std_score_last_20 9.342, total_time_steps 127, total_learning_steps 2, total_terminations 7, total_truncations 0
episode 7, score 11.0, avg_score_total 17.250, avg_score_last_20 17.250, time_steps_per_episode 11, learning_steps 0, std_score 9.052, std_score_last_20 9.052, total_time_steps 138, total_learning_steps 2, total_terminations 8, total_truncations 0
episode 8, score 29.0, avg_score_total 18.556, avg_score_last_20 18.556, time_steps_per_episode 29, learning_steps 1, std_score 9.299, std_score_last_20 9.299, total_time_steps 167, total_learning_steps 3, total_terminations 9, total_truncations 0
episode 9, score 24.0, avg_score_total 19.100, avg_score_last_20 19.100, time_steps_per_episode 24, learning_steps 1, std_score 8.972, std_score_last_20 8.972, total_time_steps 191, total_learning_steps 4, total_terminations 10, total_truncations 0
episode 10, score 32.0, avg_score_total 20.273, avg_score_last_20 20.273, time_steps_per_episode 32, learning_steps 1, std_score 9.323, std_score_last_20 9.323, total_time_steps 223, total_learning_steps 5, total_terminations 11, total_truncations 0
episode 11, score 11.0, avg_score_total 19.500, avg_score_last_20 19.500, time_steps_per_episode 11, learning_steps 0, std_score 9.287, std_score_last_20 9.287, total_time_steps 234, total_learning_steps 5, total_terminations 12, total_truncations 0
