episode 0, score 18.0, avg_score_total 18.000, avg_score_last_20 18.000, time_steps_per_episode 18, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 18, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 12.0, avg_score_total 15.000, avg_score_last_20 15.000, time_steps_per_episode 12, learning_steps 0, std_score 3.000, std_score_last_20 3.000, total_time_steps 30, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 43.0, avg_score_total 24.333, avg_score_last_20 24.333, time_steps_per_episode 43, learning_steps 2, std_score 13.425, std_score_last_20 13.425, total_time_steps 73, total_learning_steps 2, total_terminations 3, total_truncations 0
episode 3, score 11.0, avg_score_total 21.000, avg_score_last_20 21.000, time_steps_per_episode 11, learning_steps 0, std_score 12.981, std_score_last_20 12.981, total_time_steps 84, total_learning_steps 2, total_terminations 4, total_truncations 0
episode 4, score 22.0, avg_score_total 21.200, avg_score_last_20 21.200, time_steps_per_episode 22, learning_steps 1, std_score 11.617, std_score_last_20 11.617, total_time_steps 106, total_learning_steps 3, total_terminations 5, total_truncations 0
episode 5, score 22.0, avg_score_total 21.333, avg_score_last_20 21.333, time_steps_per_episode 22, learning_steps 1, std_score 10.609, std_score_last_20 10.609, total_time_steps 128, total_learning_steps 4, total_terminations 6, total_truncations 0
episode 6, score 13.0, avg_score_total 20.143, avg_score_last_20 20.143, time_steps_per_episode 13, learning_steps 0, std_score 10.246, std_score_last_20 10.246, total_time_steps 141, total_learning_steps 4, total_terminations 7, total_truncations 0
episode 7, score 36.0, avg_score_total 22.125, avg_score_last_20 22.125, time_steps_per_episode 36, learning_steps 1, std_score 10.925, std_score_last_20 10.925, total_time_steps 177, total_learning_steps 5, total_terminations 8, total_truncations 0
episode 8, score 22.0, avg_score_total 22.111, avg_score_last_20 22.111, time_steps_per_episode 22, learning_steps 1, std_score 10.300, std_score_last_20 10.300, total_time_steps 199, total_learning_steps 6, total_terminations 9, total_truncations 0
episode 9, score 28.0, avg_score_total 22.700, avg_score_last_20 22.700, time_steps_per_episode 28, learning_steps 1, std_score 9.930, std_score_last_20 9.930, total_time_steps 227, total_learning_steps 7, total_terminations 10, total_truncations 0
episode 10, score 24.0, avg_score_total 22.818, avg_score_last_20 22.818, time_steps_per_episode 24, learning_steps 1, std_score 9.476, std_score_last_20 9.476, total_time_steps 251, total_learning_steps 8, total_terminations 11, total_truncations 0
episode 11, score 22.0, avg_score_total 22.750, avg_score_last_20 22.750, time_steps_per_episode 22, learning_steps 1, std_score 9.075, std_score_last_20 9.075, total_time_steps 273, total_learning_steps 9, total_terminations 12, total_truncations 0
episode 12, score 18.0, avg_score_total 22.385, avg_score_last_20 22.385, time_steps_per_episode 18, learning_steps 0, std_score 8.810, std_score_last_20 8.810, total_time_steps 291, total_learning_steps 9, total_terminations 13, total_truncations 0
episode 13, score 14.0, avg_score_total 21.786, avg_score_last_20 21.786, time_steps_per_episode 14, learning_steps 0, std_score 8.760, std_score_last_20 8.760, total_time_steps 305, total_learning_steps 9, total_terminations 14, total_truncations 0
episode 14, score 25.0, avg_score_total 22.000, avg_score_last_20 22.000, time_steps_per_episode 25, learning_steps 1, std_score 8.501, std_score_last_20 8.501, total_time_steps 330, total_learning_steps 10, total_terminations 15, total_truncations 0
episode 15, score 13.0, avg_score_total 21.438, avg_score_last_20 21.438, time_steps_per_episode 13, learning_steps 0, std_score 8.514, std_score_last_20 8.514, total_time_steps 343, total_learning_steps 10, total_terminations 16, total_truncations 0
episode 16, score 22.0, avg_score_total 21.471, avg_score_last_20 21.471, time_steps_per_episode 22, learning_steps 1, std_score 8.261, std_score_last_20 8.261, total_time_steps 365, total_learning_steps 11, total_terminations 17, total_truncations 0
episode 17, score 25.0, avg_score_total 21.667, avg_score_last_20 21.667, time_steps_per_episode 25, learning_steps 1, std_score 8.069, std_score_last_20 8.069, total_time_steps 390, total_learning_steps 12, total_terminations 18, total_truncations 0
episode 18, score 39.0, avg_score_total 22.579, avg_score_last_20 22.579, time_steps_per_episode 39, learning_steps 1, std_score 8.756, std_score_last_20 8.756, total_time_steps 429, total_learning_steps 13, total_terminations 19, total_truncations 0
episode 19, score 13.0, avg_score_total 22.100, avg_score_last_20 22.100, time_steps_per_episode 13, learning_steps 0, std_score 8.786, std_score_last_20 8.786, total_time_steps 442, total_learning_steps 13, total_terminations 20, total_truncations 0
episode 20, score 13.0, avg_score_total 21.667, avg_score_last_20 21.850, time_steps_per_episode 13, learning_steps 0, std_score 8.790, std_score_last_20 8.968, total_time_steps 455, total_learning_steps 13, total_terminations 21, total_truncations 0
episode 21, score 41.0, avg_score_total 22.545, avg_score_last_20 23.300, time_steps_per_episode 41, learning_steps 2, std_score 9.486, std_score_last_20 9.582, total_time_steps 496, total_learning_steps 15, total_terminations 22, total_truncations 0
episode 22, score 18.0, avg_score_total 22.348, avg_score_last_20 22.050, time_steps_per_episode 18, learning_steps 0, std_score 9.323, std_score_last_20 8.500, total_time_steps 514, total_learning_steps 15, total_terminations 23, total_truncations 0
episode 23, score 26.0, avg_score_total 22.500, avg_score_last_20 22.800, time_steps_per_episode 26, learning_steps 1, std_score 9.156, std_score_last_20 8.146, total_time_steps 540, total_learning_steps 16, total_terminations 24, total_truncations 0
episode 24, score 21.0, avg_score_total 22.440, avg_score_last_20 22.750, time_steps_per_episode 21, learning_steps 1, std_score 8.976, std_score_last_20 8.154, total_time_steps 561, total_learning_steps 17, total_terminations 25, total_truncations 0
episode 25, score 11.0, avg_score_total 22.000, avg_score_last_20 22.200, time_steps_per_episode 11, learning_steps 0, std_score 9.072, std_score_last_20 8.548, total_time_steps 572, total_learning_steps 17, total_terminations 26, total_truncations 0
episode 26, score 25.0, avg_score_total 22.111, avg_score_last_20 22.800, time_steps_per_episode 25, learning_steps 1, std_score 8.921, std_score_last_20 8.298, total_time_steps 597, total_learning_steps 18, total_terminations 27, total_truncations 0
episode 27, score 13.0, avg_score_total 21.786, avg_score_last_20 21.650, time_steps_per_episode 13, learning_steps 0, std_score 8.922, std_score_last_20 7.977, total_time_steps 610, total_learning_steps 18, total_terminations 28, total_truncations 0
episode 28, score 22.0, avg_score_total 21.793, avg_score_last_20 21.650, time_steps_per_episode 22, learning_steps 1, std_score 8.767, std_score_last_20 7.977, total_time_steps 632, total_learning_steps 19, total_terminations 29, total_truncations 0
episode 29, score 13.0, avg_score_total 21.500, avg_score_last_20 20.900, time_steps_per_episode 13, learning_steps 0, std_score 8.763, std_score_last_20 8.049, total_time_steps 645, total_learning_steps 19, total_terminations 30, total_truncations 0
