episode 28, score -6.96, avg_score_total -7.83, avg_score_last_20 -5.85, time_steps_per_episode 999, learning_steps 49, std_score 5.50, std_score_last_20 0.68, total_time_steps 28971, total_learning_steps 1421, total_terminations 0, total_truncations 29
episode 29, score -5.81, avg_score_total -7.76, avg_score_last_20 -5.87, time_steps_per_episode 999, learning_steps 49, std_score 5.42, std_score_last_20 0.67, total_time_steps 29970, total_learning_steps 1470, total_terminations 0, total_truncations 30
episode 30, score -6.19, avg_score_total -7.71, avg_score_last_20 -5.94, time_steps_per_episode 999, learning_steps 49, std_score 5.34, std_score_last_20 0.61, total_time_steps 30969, total_learning_steps 1519, total_terminations 0, total_truncations 31
episode 31, score -5.33, avg_score_total -7.63, avg_score_last_20 -5.94, time_steps_per_episode 999, learning_steps 49, std_score 5.27, std_score_last_20 0.62, total_time_steps 31968, total_learning_steps 1568, total_terminations 0, total_truncations 32
episode 32, score -5.06, avg_score_total -7.56, avg_score_last_20 -5.91, time_steps_per_episode 999, learning_steps 49, std_score 5.21, std_score_last_20 0.64, total_time_steps 32967, total_learning_steps 1617, total_terminations 0, total_truncations 33
episode 33, score -4.84, avg_score_total -7.48, avg_score_last_20 -5.88, time_steps_per_episode 999, learning_steps 49, std_score 5.15, std_score_last_20 0.68, total_time_steps 33966, total_learning_steps 1666, total_terminations 0, total_truncations 34
episode 34, score -5.60, avg_score_total -7.42, avg_score_last_20 -5.83, time_steps_per_episode 999, learning_steps 49, std_score 5.09, std_score_last_20 0.66, total_time_steps 34965, total_learning_steps 1715, total_terminations 0, total_truncations 35
episode 35, score -5.91, avg_score_total -7.38, avg_score_last_20 -5.77, time_steps_per_episode 999, learning_steps 49, std_score 5.02, std_score_last_20 0.59, total_time_steps 35964, total_learning_steps 1764, total_terminations 0, total_truncations 36
episode 36, score -4.13, avg_score_total -7.29, avg_score_last_20 -5.69, time_steps_per_episode 999, learning_steps 49, std_score 4.98, std_score_last_20 0.69, total_time_steps 36963, total_learning_steps 1813, total_terminations 0, total_truncations 37
episode 37, score -5.03, avg_score_total -7.23, avg_score_last_20 -5.68, time_steps_per_episode 999, learning_steps 49, std_score 4.93, std_score_last_20 0.70, total_time_steps 37962, total_learning_steps 1862, total_terminations 0, total_truncations 38
episode 38, score -6.58, avg_score_total -7.22, avg_score_last_20 -5.69, time_steps_per_episode 999, learning_steps 49, std_score 4.87, std_score_last_20 0.71, total_time_steps 38961, total_learning_steps 1911, total_terminations 0, total_truncations 39
episode 39, score -5.50, avg_score_total -7.17, avg_score_last_20 -5.69, time_steps_per_episode 999, learning_steps 49, std_score 4.81, std_score_last_20 0.71, total_time_steps 39960, total_learning_steps 1960, total_terminations 0, total_truncations 40
episode 40, score -5.02, avg_score_total -7.12, avg_score_last_20 -5.68, time_steps_per_episode 999, learning_steps 49, std_score 4.76, std_score_last_20 0.72, total_time_steps 40959, total_learning_steps 2009, total_terminations 0, total_truncations 41
episode 41, score -5.92, avg_score_total -7.09, avg_score_last_20 -5.68, time_steps_per_episode 999, learning_steps 49, std_score 4.71, std_score_last_20 0.72, total_time_steps 41958, total_learning_steps 2058, total_terminations 0, total_truncations 42
episode 42, score -6.06, avg_score_total -7.07, avg_score_last_20 -5.68, time_steps_per_episode 999, learning_steps 49, std_score 4.66, std_score_last_20 0.72, total_time_steps 42957, total_learning_steps 2107, total_terminations 0, total_truncations 43
episode 43, score -6.32, avg_score_total -7.05, avg_score_last_20 -5.75, time_steps_per_episode 999, learning_steps 49, std_score 4.61, std_score_last_20 0.70, total_time_steps 43956, total_learning_steps 2156, total_terminations 0, total_truncations 44
episode 44, score -6.42, avg_score_total -7.04, avg_score_last_20 -5.74, time_steps_per_episode 999, learning_steps 49, std_score 4.56, std_score_last_20 0.68, total_time_steps 44955, total_learning_steps 2205, total_terminations 0, total_truncations 45
episode 45, score -6.87, avg_score_total -7.03, avg_score_last_20 -5.75, time_steps_per_episode 999, learning_steps 49, std_score 4.51, std_score_last_20 0.70, total_time_steps 45954, total_learning_steps 2254, total_terminations 0, total_truncations 46
episode 46, score -6.06, avg_score_total -7.01, avg_score_last_20 -5.76, time_steps_per_episode 999, learning_steps 49, std_score 4.46, std_score_last_20 0.70, total_time_steps 46953, total_learning_steps 2303, total_terminations 0, total_truncations 47
episode 47, score -5.11, avg_score_total -6.97, avg_score_last_20 -5.74, time_steps_per_episode 999, learning_steps 49, std_score 4.42, std_score_last_20 0.72, total_time_steps 47952, total_learning_steps 2352, total_terminations 0, total_truncations 48
episode 48, score -5.60, avg_score_total -6.94, avg_score_last_20 -5.67, time_steps_per_episode 999, learning_steps 49, std_score 4.38, std_score_last_20 0.66, total_time_steps 48951, total_learning_steps 2401, total_terminations 0, total_truncations 49
episode 49, score -6.14, avg_score_total -6.93, avg_score_last_20 -5.68, time_steps_per_episode 999, learning_steps 49, std_score 4.34, std_score_last_20 0.67, total_time_steps 49950, total_learning_steps 2450, total_terminations 0, total_truncations 50
episode 50, score -6.32, avg_score_total -6.92, avg_score_last_20 -5.69, time_steps_per_episode 999, learning_steps 49, std_score 4.30, std_score_last_20 0.67, total_time_steps 50949, total_learning_steps 2499, total_terminations 0, total_truncations 51
episode 51, score -6.03, avg_score_total -6.90, avg_score_last_20 -5.73, time_steps_per_episode 999, learning_steps 49, std_score 4.26, std_score_last_20 0.67, total_time_steps 51948, total_learning_steps 2548, total_terminations 0, total_truncations 52
episode 52, score -6.69, avg_score_total -6.90, avg_score_last_20 -5.81, time_steps_per_episode 999, learning_steps 49, std_score 4.22, std_score_last_20 0.69, total_time_steps 52947, total_learning_steps 2597, total_terminations 0, total_truncations 53
episode 53, score -8.62, avg_score_total -6.93, avg_score_last_20 -6.00, time_steps_per_episode 999, learning_steps 49, std_score 4.18, std_score_last_20 0.88, total_time_steps 53946, total_learning_steps 2646, total_terminations 0, total_truncations 54
episode 54, score -5.00, avg_score_total -6.89, avg_score_last_20 -5.97, time_steps_per_episode 999, learning_steps 49, std_score 4.15, std_score_last_20 0.91, total_time_steps 54945, total_learning_steps 2695, total_terminations 0, total_truncations 55
episode 55, score -4.69, avg_score_total -6.85, avg_score_last_20 -5.91, time_steps_per_episode 999, learning_steps 49, std_score 4.13, std_score_last_20 0.95, total_time_steps 55944, total_learning_steps 2744, total_terminations 0, total_truncations 56
episode 56, score -4.48, avg_score_total -6.81, avg_score_last_20 -5.92, time_steps_per_episode 999, learning_steps 49, std_score 4.10, std_score_last_20 0.92, total_time_steps 56943, total_learning_steps 2793, total_terminations 0, total_truncations 57
episode 57, score -4.70, avg_score_total -6.78, avg_score_last_20 -5.91, time_steps_per_episode 999, learning_steps 49, std_score 4.08, std_score_last_20 0.94, total_time_steps 57942, total_learning_steps 2842, total_terminations 0, total_truncations 58
episode 58, score -4.92, avg_score_total -6.74, avg_score_last_20 -5.82, time_steps_per_episode 999, learning_steps 49, std_score 4.05, std_score_last_20 0.95, total_time_steps 58941, total_learning_steps 2891, total_terminations 0, total_truncations 59
episode 59, score -5.21, avg_score_total -6.72, avg_score_last_20 -5.81, time_steps_per_episode 999, learning_steps 49, std_score 4.02, std_score_last_20 0.95, total_time_steps 59940, total_learning_steps 2940, total_terminations 0, total_truncations 60
episode 60, score -5.17, avg_score_total -6.69, avg_score_last_20 -5.82, time_steps_per_episode 999, learning_steps 49, std_score 3.99, std_score_last_20 0.95, total_time_steps 60939, total_learning_steps 2989, total_terminations 0, total_truncations 61
episode 61, score -5.85, avg_score_total -6.68, avg_score_last_20 -5.81, time_steps_per_episode 999, learning_steps 49, std_score 3.96, std_score_last_20 0.95, total_time_steps 61938, total_learning_steps 3038, total_terminations 0, total_truncations 62
episode 62, score -4.42, avg_score_total -6.64, avg_score_last_20 -5.73, time_steps_per_episode 999, learning_steps 49, std_score 3.94, std_score_last_20 0.99, total_time_steps 62937, total_learning_steps 3087, total_terminations 0, total_truncations 63
episode 63, score -3.77, avg_score_total -6.60, avg_score_last_20 -5.60, time_steps_per_episode 999, learning_steps 49, std_score 3.92, std_score_last_20 1.07, total_time_steps 63936, total_learning_steps 3136, total_terminations 0, total_truncations 64
episode 64, score -4.15, avg_score_total -6.56, avg_score_last_20 -5.49, time_steps_per_episode 999, learning_steps 49, std_score 3.91, std_score_last_20 1.10, total_time_steps 64935, total_learning_steps 3185, total_terminations 0, total_truncations 65
episode 65, score -5.16, avg_score_total -6.54, avg_score_last_20 -5.40, time_steps_per_episode 999, learning_steps 49, std_score 3.88, std_score_last_20 1.05, total_time_steps 65934, total_learning_steps 3234, total_terminations 0, total_truncations 66
