episode 0, score 17.0, avg_score_total 17.000, avg_score_last_20 17.000, time_steps_per_episode 17, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 17, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 12.0, avg_score_total 14.500, avg_score_last_20 14.500, time_steps_per_episode 12, learning_steps 0, std_score 2.500, std_score_last_20 2.500, total_time_steps 29, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 35.0, avg_score_total 21.333, avg_score_last_20 21.333, time_steps_per_episode 35, learning_steps 1, std_score 9.877, std_score_last_20 9.877, total_time_steps 64, total_learning_steps 1, total_terminations 3, total_truncations 0
episode 3, score 21.0, avg_score_total 21.250, avg_score_last_20 21.250, time_steps_per_episode 21, learning_steps 1, std_score 8.555, std_score_last_20 8.555, total_time_steps 85, total_learning_steps 2, total_terminations 4, total_truncations 0
episode 4, score 27.0, avg_score_total 22.400, avg_score_last_20 22.400, time_steps_per_episode 27, learning_steps 1, std_score 7.990, std_score_last_20 7.990, total_time_steps 112, total_learning_steps 3, total_terminations 5, total_truncations 0
episode 5, score 28.0, avg_score_total 23.333, avg_score_last_20 23.333, time_steps_per_episode 28, learning_steps 1, std_score 7.587, std_score_last_20 7.587, total_time_steps 140, total_learning_steps 4, total_terminations 6, total_truncations 0
episode 6, score 60.0, avg_score_total 28.571, avg_score_last_20 28.571, time_steps_per_episode 60, learning_steps 3, std_score 14.627, std_score_last_20 14.627, total_time_steps 200, total_learning_steps 7, total_terminations 7, total_truncations 0
episode 7, score 40.0, avg_score_total 30.000, avg_score_last_20 30.000, time_steps_per_episode 40, learning_steps 2, std_score 14.195, std_score_last_20 14.195, total_time_steps 240, total_learning_steps 9, total_terminations 8, total_truncations 0
episode 8, score 14.0, avg_score_total 28.222, avg_score_last_20 28.222, time_steps_per_episode 14, learning_steps 0, std_score 14.297, std_score_last_20 14.297, total_time_steps 254, total_learning_steps 9, total_terminations 9, total_truncations 0
episode 9, score 21.0, avg_score_total 27.500, avg_score_last_20 27.500, time_steps_per_episode 21, learning_steps 1, std_score 13.735, std_score_last_20 13.735, total_time_steps 275, total_learning_steps 10, total_terminations 10, total_truncations 0
episode 10, score 13.0, avg_score_total 26.182, avg_score_last_20 26.182, time_steps_per_episode 13, learning_steps 0, std_score 13.743, std_score_last_20 13.743, total_time_steps 288, total_learning_steps 10, total_terminations 11, total_truncations 0
episode 11, score 22.0, avg_score_total 25.833, avg_score_last_20 25.833, time_steps_per_episode 22, learning_steps 1, std_score 13.209, std_score_last_20 13.209, total_time_steps 310, total_learning_steps 11, total_terminations 12, total_truncations 0
episode 12, score 13.0, avg_score_total 24.846, avg_score_last_20 24.846, time_steps_per_episode 13, learning_steps 0, std_score 13.143, std_score_last_20 13.143, total_time_steps 323, total_learning_steps 11, total_terminations 13, total_truncations 0
episode 13, score 10.0, avg_score_total 23.786, avg_score_last_20 23.786, time_steps_per_episode 10, learning_steps 0, std_score 13.230, std_score_last_20 13.230, total_time_steps 333, total_learning_steps 11, total_terminations 14, total_truncations 0
episode 14, score 30.0, avg_score_total 24.200, avg_score_last_20 24.200, time_steps_per_episode 30, learning_steps 1, std_score 12.875, std_score_last_20 12.875, total_time_steps 363, total_learning_steps 12, total_terminations 15, total_truncations 0
episode 15, score 19.0, avg_score_total 23.875, avg_score_last_20 23.875, time_steps_per_episode 19, learning_steps 0, std_score 12.529, std_score_last_20 12.529, total_time_steps 382, total_learning_steps 12, total_terminations 16, total_truncations 0
episode 16, score 42.0, avg_score_total 24.941, avg_score_last_20 24.941, time_steps_per_episode 42, learning_steps 2, std_score 12.882, std_score_last_20 12.882, total_time_steps 424, total_learning_steps 14, total_terminations 17, total_truncations 0
