episode 27, score -1796.20, avg_score_total -1623.33, avg_score_last_20 -1628.63, time_steps_per_episode 200, learning_steps 10, std_score 188.51, std_score_last_20 173.59, total_time_steps 5600, total_learning_steps 280, total_terminations 0, total_truncations 28
episode 28, score -1682.54, avg_score_total -1625.37, avg_score_last_20 -1640.32, time_steps_per_episode 200, learning_steps 10, std_score 185.55, std_score_last_20 168.89, total_time_steps 5800, total_learning_steps 290, total_terminations 0, total_truncations 29
episode 29, score -1468.22, avg_score_total -1620.13, avg_score_last_20 -1623.99, time_steps_per_episode 200, learning_steps 10, std_score 184.60, std_score_last_20 168.95, total_time_steps 6000, total_learning_steps 300, total_terminations 0, total_truncations 30
episode 30, score -1310.35, avg_score_total -1610.14, avg_score_last_20 -1616.91, time_steps_per_episode 200, learning_steps 10, std_score 189.67, std_score_last_20 178.69, total_time_steps 6200, total_learning_steps 310, total_terminations 0, total_truncations 31
episode 31, score -1529.70, avg_score_total -1607.63, avg_score_last_20 -1603.08, time_steps_per_episode 200, learning_steps 10, std_score 187.20, std_score_last_20 174.14, total_time_steps 6400, total_learning_steps 320, total_terminations 0, total_truncations 32
episode 32, score -1763.58, avg_score_total -1612.35, avg_score_last_20 -1600.82, time_steps_per_episode 200, learning_steps 10, std_score 186.27, std_score_last_20 171.73, total_time_steps 6600, total_learning_steps 330, total_terminations 0, total_truncations 33
episode 33, score -1795.72, avg_score_total -1617.74, avg_score_last_20 -1616.62, time_steps_per_episode 200, learning_steps 10, std_score 186.11, std_score_last_20 174.37, total_time_steps 6800, total_learning_steps 340, total_terminations 0, total_truncations 34
episode 34, score -1398.99, avg_score_total -1611.49, avg_score_last_20 -1613.19, time_steps_per_episode 200, learning_steps 10, std_score 187.02, std_score_last_20 177.90, total_time_steps 7000, total_learning_steps 350, total_terminations 0, total_truncations 35
episode 35, score -1858.28, avg_score_total -1618.35, avg_score_last_20 -1634.65, time_steps_per_episode 200, learning_steps 10, std_score 188.81, std_score_last_20 180.27, total_time_steps 7200, total_learning_steps 360, total_terminations 0, total_truncations 36
episode 36, score -1397.90, avg_score_total -1612.39, avg_score_last_20 -1615.72, time_steps_per_episode 200, learning_steps 10, std_score 189.64, std_score_last_20 184.21, total_time_steps 7400, total_learning_steps 370, total_terminations 0, total_truncations 37
