episode 0, score 21.0, avg_score_total 21.000, avg_score_last_20 21.000, time_steps_per_episode 21, learning_steps 1, std_score 0.000, std_score_last_20 0.000, total_time_steps 21, total_learning_steps 1, total_terminations 1, total_truncations 0
episode 1, score 13.0, avg_score_total 17.000, avg_score_last_20 17.000, time_steps_per_episode 13, learning_steps 0, std_score 4.000, std_score_last_20 4.000, total_time_steps 34, total_learning_steps 1, total_terminations 2, total_truncations 0
episode 2, score 20.0, avg_score_total 18.000, avg_score_last_20 18.000, time_steps_per_episode 20, learning_steps 1, std_score 3.559, std_score_last_20 3.559, total_time_steps 54, total_learning_steps 2, total_terminations 3, total_truncations 0
episode 3, score 18.0, avg_score_total 18.000, avg_score_last_20 18.000, time_steps_per_episode 18, learning_steps 0, std_score 3.082, std_score_last_20 3.082, total_time_steps 72, total_learning_steps 2, total_terminations 4, total_truncations 0
episode 4, score 18.0, avg_score_total 18.000, avg_score_last_20 18.000, time_steps_per_episode 18, learning_steps 0, std_score 2.757, std_score_last_20 2.757, total_time_steps 90, total_learning_steps 2, total_terminations 5, total_truncations 0
episode 5, score 12.0, avg_score_total 17.000, avg_score_last_20 17.000, time_steps_per_episode 12, learning_steps 0, std_score 3.367, std_score_last_20 3.367, total_time_steps 102, total_learning_steps 2, total_terminations 6, total_truncations 0
episode 6, score 10.0, avg_score_total 16.000, avg_score_last_20 16.000, time_steps_per_episode 10, learning_steps 0, std_score 3.964, std_score_last_20 3.964, total_time_steps 112, total_learning_steps 2, total_terminations 7, total_truncations 0
episode 7, score 11.0, avg_score_total 15.375, avg_score_last_20 15.375, time_steps_per_episode 11, learning_steps 0, std_score 4.060, std_score_last_20 4.060, total_time_steps 123, total_learning_steps 2, total_terminations 8, total_truncations 0
episode 8, score 16.0, avg_score_total 15.444, avg_score_last_20 15.444, time_steps_per_episode 16, learning_steps 0, std_score 3.833, std_score_last_20 3.833, total_time_steps 139, total_learning_steps 2, total_terminations 9, total_truncations 0
episode 9, score 37.0, avg_score_total 17.600, avg_score_last_20 17.600, time_steps_per_episode 37, learning_steps 1, std_score 7.419, std_score_last_20 7.419, total_time_steps 176, total_learning_steps 3, total_terminations 10, total_truncations 0
episode 10, score 32.0, avg_score_total 18.909, avg_score_last_20 18.909, time_steps_per_episode 32, learning_steps 1, std_score 8.196, std_score_last_20 8.196, total_time_steps 208, total_learning_steps 4, total_terminations 11, total_truncations 0
episode 11, score 20.0, avg_score_total 19.000, avg_score_last_20 19.000, time_steps_per_episode 20, learning_steps 1, std_score 7.853, std_score_last_20 7.853, total_time_steps 228, total_learning_steps 5, total_terminations 12, total_truncations 0
episode 12, score 31.0, avg_score_total 19.923, avg_score_last_20 19.923, time_steps_per_episode 31, learning_steps 1, std_score 8.194, std_score_last_20 8.194, total_time_steps 259, total_learning_steps 6, total_terminations 13, total_truncations 0
episode 13, score 12.0, avg_score_total 19.357, avg_score_last_20 19.357, time_steps_per_episode 12, learning_steps 0, std_score 8.156, std_score_last_20 8.156, total_time_steps 271, total_learning_steps 6, total_terminations 14, total_truncations 0
episode 14, score 40.0, avg_score_total 20.733, avg_score_last_20 20.733, time_steps_per_episode 40, learning_steps 2, std_score 9.413, std_score_last_20 9.413, total_time_steps 311, total_learning_steps 8, total_terminations 15, total_truncations 0
episode 15, score 21.0, avg_score_total 20.750, avg_score_last_20 20.750, time_steps_per_episode 21, learning_steps 1, std_score 9.114, std_score_last_20 9.114, total_time_steps 332, total_learning_steps 9, total_terminations 16, total_truncations 0
episode 16, score 17.0, avg_score_total 20.529, avg_score_last_20 20.529, time_steps_per_episode 17, learning_steps 0, std_score 8.886, std_score_last_20 8.886, total_time_steps 349, total_learning_steps 9, total_terminations 17, total_truncations 0
episode 17, score 40.0, avg_score_total 21.611, avg_score_last_20 21.611, time_steps_per_episode 40, learning_steps 2, std_score 9.719, std_score_last_20 9.719, total_time_steps 389, total_learning_steps 11, total_terminations 18, total_truncations 0
episode 18, score 55.0, avg_score_total 23.368, avg_score_last_20 23.368, time_steps_per_episode 55, learning_steps 2, std_score 12.045, std_score_last_20 12.045, total_time_steps 444, total_learning_steps 13, total_terminations 19, total_truncations 0
episode 19, score 30.0, avg_score_total 23.700, avg_score_last_20 23.700, time_steps_per_episode 30, learning_steps 1, std_score 11.828, std_score_last_20 11.828, total_time_steps 474, total_learning_steps 14, total_terminations 20, total_truncations 0
episode 20, score 12.0, avg_score_total 23.143, avg_score_last_20 23.250, time_steps_per_episode 12, learning_steps 0, std_score 11.809, std_score_last_20 12.091, total_time_steps 486, total_learning_steps 14, total_terminations 21, total_truncations 0
episode 21, score 18.0, avg_score_total 22.909, avg_score_last_20 23.500, time_steps_per_episode 18, learning_steps 0, std_score 11.587, std_score_last_20 11.927, total_time_steps 504, total_learning_steps 14, total_terminations 22, total_truncations 0
