episode 0, score 17.0, avg_score_total 17.000, avg_score_last_20 17.000, time_steps_per_episode 17, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 17, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 19.0, avg_score_total 18.000, avg_score_last_20 18.000, time_steps_per_episode 19, learning_steps 0, std_score 1.000, std_score_last_20 1.000, total_time_steps 36, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 13.0, avg_score_total 16.333, avg_score_last_20 16.333, time_steps_per_episode 13, learning_steps 0, std_score 2.494, std_score_last_20 2.494, total_time_steps 49, total_learning_steps 0, total_terminations 3, total_truncations 0
episode 3, score 18.0, avg_score_total 16.750, avg_score_last_20 16.750, time_steps_per_episode 18, learning_steps 0, std_score 2.278, std_score_last_20 2.278, total_time_steps 67, total_learning_steps 0, total_terminations 4, total_truncations 0
episode 4, score 9.0, avg_score_total 15.200, avg_score_last_20 15.200, time_steps_per_episode 9, learning_steps 0, std_score 3.709, std_score_last_20 3.709, total_time_steps 76, total_learning_steps 0, total_terminations 5, total_truncations 0
episode 5, score 10.0, avg_score_total 14.333, avg_score_last_20 14.333, time_steps_per_episode 10, learning_steps 0, std_score 3.902, std_score_last_20 3.902, total_time_steps 86, total_learning_steps 0, total_terminations 6, total_truncations 0
episode 6, score 22.0, avg_score_total 15.429, avg_score_last_20 15.429, time_steps_per_episode 22, learning_steps 1, std_score 4.499, std_score_last_20 4.499, total_time_steps 108, total_learning_steps 1, total_terminations 7, total_truncations 0
episode 7, score 16.0, avg_score_total 15.500, avg_score_last_20 15.500, time_steps_per_episode 16, learning_steps 0, std_score 4.213, std_score_last_20 4.213, total_time_steps 124, total_learning_steps 1, total_terminations 8, total_truncations 0
episode 8, score 27.0, avg_score_total 16.778, avg_score_last_20 16.778, time_steps_per_episode 27, learning_steps 1, std_score 5.370, std_score_last_20 5.370, total_time_steps 151, total_learning_steps 2, total_terminations 9, total_truncations 0
episode 9, score 29.0, avg_score_total 18.000, avg_score_last_20 18.000, time_steps_per_episode 29, learning_steps 1, std_score 6.277, std_score_last_20 6.277, total_time_steps 180, total_learning_steps 3, total_terminations 10, total_truncations 0
episode 10, score 12.0, avg_score_total 17.455, avg_score_last_20 17.455, time_steps_per_episode 12, learning_steps 0, std_score 6.228, std_score_last_20 6.228, total_time_steps 192, total_learning_steps 3, total_terminations 11, total_truncations 0
episode 11, score 28.0, avg_score_total 18.333, avg_score_last_20 18.333, time_steps_per_episode 28, learning_steps 1, std_score 6.637, std_score_last_20 6.637, total_time_steps 220, total_learning_steps 4, total_terminations 12, total_truncations 0
episode 12, score 14.0, avg_score_total 18.000, avg_score_last_20 18.000, time_steps_per_episode 14, learning_steps 0, std_score 6.481, std_score_last_20 6.481, total_time_steps 234, total_learning_steps 4, total_terminations 13, total_truncations 0
episode 13, score 26.0, avg_score_total 18.571, avg_score_last_20 18.571, time_steps_per_episode 26, learning_steps 1, std_score 6.576, std_score_last_20 6.576, total_time_steps 260, total_learning_steps 5, total_terminations 14, total_truncations 0
episode 14, score 23.0, avg_score_total 18.867, avg_score_last_20 18.867, time_steps_per_episode 23, learning_steps 1, std_score 6.448, std_score_last_20 6.448, total_time_steps 283, total_learning_steps 6, total_terminations 15, total_truncations 0
episode 15, score 12.0, avg_score_total 18.438, avg_score_last_20 18.438, time_steps_per_episode 12, learning_steps 0, std_score 6.461, std_score_last_20 6.461, total_time_steps 295, total_learning_steps 6, total_terminations 16, total_truncations 0
episode 16, score 12.0, avg_score_total 18.059, avg_score_last_20 18.059, time_steps_per_episode 12, learning_steps 0, std_score 6.449, std_score_last_20 6.449, total_time_steps 307, total_learning_steps 6, total_terminations 17, total_truncations 0
episode 17, score 39.0, avg_score_total 19.222, avg_score_last_20 19.222, time_steps_per_episode 39, learning_steps 1, std_score 7.892, std_score_last_20 7.892, total_time_steps 346, total_learning_steps 7, total_terminations 18, total_truncations 0
episode 18, score 16.0, avg_score_total 19.053, avg_score_last_20 19.053, time_steps_per_episode 16, learning_steps 0, std_score 7.715, std_score_last_20 7.715, total_time_steps 362, total_learning_steps 7, total_terminations 19, total_truncations 0
episode 19, score 22.0, avg_score_total 19.200, avg_score_last_20 19.200, time_steps_per_episode 22, learning_steps 1, std_score 7.547, std_score_last_20 7.547, total_time_steps 384, total_learning_steps 8, total_terminations 20, total_truncations 0
episode 20, score 19.0, avg_score_total 19.190, avg_score_last_20 19.300, time_steps_per_episode 19, learning_steps 0, std_score 7.365, std_score_last_20 7.531, total_time_steps 403, total_learning_steps 8, total_terminations 21, total_truncations 0
episode 21, score 21.0, avg_score_total 19.273, avg_score_last_20 19.400, time_steps_per_episode 21, learning_steps 1, std_score 7.206, std_score_last_20 7.539, total_time_steps 424, total_learning_steps 9, total_terminations 22, total_truncations 0
episode 22, score 10.0, avg_score_total 18.870, avg_score_last_20 19.250, time_steps_per_episode 10, learning_steps 0, std_score 7.297, std_score_last_20 7.693, total_time_steps 434, total_learning_steps 9, total_terminations 23, total_truncations 0
episode 23, score 46.0, avg_score_total 20.000, avg_score_last_20 20.650, time_steps_per_episode 46, learning_steps 2, std_score 8.968, std_score_last_20 9.640, total_time_steps 480, total_learning_steps 11, total_terminations 24, total_truncations 0
episode 24, score 27.0, avg_score_total 20.280, avg_score_last_20 21.550, time_steps_per_episode 27, learning_steps 1, std_score 8.893, std_score_last_20 9.346, total_time_steps 507, total_learning_steps 12, total_terminations 25, total_truncations 0
episode 25, score 26.0, avg_score_total 20.500, avg_score_last_20 22.350, time_steps_per_episode 26, learning_steps 1, std_score 8.789, std_score_last_20 9.002, total_time_steps 533, total_learning_steps 13, total_terminations 26, total_truncations 0
episode 26, score 16.0, avg_score_total 20.333, avg_score_last_20 22.050, time_steps_per_episode 16, learning_steps 0, std_score 8.667, std_score_last_20 9.108, total_time_steps 549, total_learning_steps 13, total_terminations 27, total_truncations 0
episode 27, score 11.0, avg_score_total 20.000, avg_score_last_20 21.800, time_steps_per_episode 11, learning_steps 0, std_score 8.685, std_score_last_20 9.336, total_time_steps 560, total_learning_steps 13, total_terminations 28, total_truncations 0
