episode 0, score 17.0, avg_score_total 17.000, avg_score_last_20 17.000, time_steps_per_episode 17, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 17, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 17.0, avg_score_total 17.000, avg_score_last_20 17.000, time_steps_per_episode 17, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 34, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 20.0, avg_score_total 18.000, avg_score_last_20 18.000, time_steps_per_episode 20, learning_steps 1, std_score 1.414, std_score_last_20 1.414, total_time_steps 54, total_learning_steps 1, total_terminations 3, total_truncations 0
episode 3, score 21.0, avg_score_total 18.750, avg_score_last_20 18.750, time_steps_per_episode 21, learning_steps 1, std_score 1.785, std_score_last_20 1.785, total_time_steps 75, total_learning_steps 2, total_terminations 4, total_truncations 0
episode 4, score 20.0, avg_score_total 19.000, avg_score_last_20 19.000, time_steps_per_episode 20, learning_steps 1, std_score 1.673, std_score_last_20 1.673, total_time_steps 95, total_learning_steps 3, total_terminations 5, total_truncations 0
episode 5, score 52.0, avg_score_total 24.500, avg_score_last_20 24.500, time_steps_per_episode 52, learning_steps 2, std_score 12.393, std_score_last_20 12.393, total_time_steps 147, total_learning_steps 5, total_terminations 6, total_truncations 0
episode 6, score 21.0, avg_score_total 24.000, avg_score_last_20 24.000, time_steps_per_episode 21, learning_steps 1, std_score 11.539, std_score_last_20 11.539, total_time_steps 168, total_learning_steps 6, total_terminations 7, total_truncations 0
episode 7, score 48.0, avg_score_total 27.000, avg_score_last_20 27.000, time_steps_per_episode 48, learning_steps 2, std_score 13.398, std_score_last_20 13.398, total_time_steps 216, total_learning_steps 8, total_terminations 8, total_truncations 0
episode 8, score 15.0, avg_score_total 25.667, avg_score_last_20 25.667, time_steps_per_episode 15, learning_steps 0, std_score 13.182, std_score_last_20 13.182, total_time_steps 231, total_learning_steps 8, total_terminations 9, total_truncations 0
episode 9, score 18.0, avg_score_total 24.900, avg_score_last_20 24.900, time_steps_per_episode 18, learning_steps 0, std_score 12.716, std_score_last_20 12.716, total_time_steps 249, total_learning_steps 8, total_terminations 10, total_truncations 0
episode 10, score 9.0, avg_score_total 23.455, avg_score_last_20 23.455, time_steps_per_episode 9, learning_steps 0, std_score 12.957, std_score_last_20 12.957, total_time_steps 258, total_learning_steps 8, total_terminations 11, total_truncations 0
episode 11, score 16.0, avg_score_total 22.833, avg_score_last_20 22.833, time_steps_per_episode 16, learning_steps 0, std_score 12.575, std_score_last_20 12.575, total_time_steps 274, total_learning_steps 8, total_terminations 12, total_truncations 0
episode 12, score 13.0, avg_score_total 22.077, avg_score_last_20 22.077, time_steps_per_episode 13, learning_steps 0, std_score 12.363, std_score_last_20 12.363, total_time_steps 287, total_learning_steps 8, total_terminations 13, total_truncations 0
episode 13, score 11.0, avg_score_total 21.286, avg_score_last_20 21.286, time_steps_per_episode 11, learning_steps 0, std_score 12.250, std_score_last_20 12.250, total_time_steps 298, total_learning_steps 8, total_terminations 14, total_truncations 0
episode 14, score 31.0, avg_score_total 21.933, avg_score_last_20 21.933, time_steps_per_episode 31, learning_steps 1, std_score 12.080, std_score_last_20 12.080, total_time_steps 329, total_learning_steps 9, total_terminations 15, total_truncations 0
episode 15, score 19.0, avg_score_total 21.750, avg_score_last_20 21.750, time_steps_per_episode 19, learning_steps 0, std_score 11.718, std_score_last_20 11.718, total_time_steps 348, total_learning_steps 9, total_terminations 16, total_truncations 0
episode 16, score 17.0, avg_score_total 21.471, avg_score_last_20 21.471, time_steps_per_episode 17, learning_steps 0, std_score 11.423, std_score_last_20 11.423, total_time_steps 365, total_learning_steps 9, total_terminations 17, total_truncations 0
episode 17, score 23.0, avg_score_total 21.556, avg_score_last_20 21.556, time_steps_per_episode 23, learning_steps 1, std_score 11.107, std_score_last_20 11.107, total_time_steps 388, total_learning_steps 10, total_terminations 18, total_truncations 0
episode 18, score 16.0, avg_score_total 21.263, avg_score_last_20 21.263, time_steps_per_episode 16, learning_steps 0, std_score 10.881, std_score_last_20 10.881, total_time_steps 404, total_learning_steps 10, total_terminations 19, total_truncations 0
episode 19, score 17.0, avg_score_total 21.050, avg_score_last_20 21.050, time_steps_per_episode 17, learning_steps 0, std_score 10.646, std_score_last_20 10.646, total_time_steps 421, total_learning_steps 10, total_terminations 20, total_truncations 0
episode 20, score 42.0, avg_score_total 22.048, avg_score_last_20 22.300, time_steps_per_episode 42, learning_steps 2, std_score 11.307, std_score_last_20 11.529, total_time_steps 463, total_learning_steps 12, total_terminations 21, total_truncations 0
episode 21, score 15.0, avg_score_total 21.727, avg_score_last_20 22.200, time_steps_per_episode 15, learning_steps 0, std_score 11.144, std_score_last_20 11.583, total_time_steps 478, total_learning_steps 12, total_terminations 22, total_truncations 0
episode 22, score 9.0, avg_score_total 21.174, avg_score_last_20 21.650, time_steps_per_episode 9, learning_steps 0, std_score 11.204, std_score_last_20 11.930, total_time_steps 487, total_learning_steps 12, total_terminations 23, total_truncations 0
episode 23, score 17.0, avg_score_total 21.000, avg_score_last_20 21.450, time_steps_per_episode 17, learning_steps 0, std_score 11.000, std_score_last_20 11.973, total_time_steps 504, total_learning_steps 12, total_terminations 24, total_truncations 0
episode 24, score 15.0, avg_score_total 20.760, avg_score_last_20 21.200, time_steps_per_episode 15, learning_steps 0, std_score 10.842, std_score_last_20 12.052, total_time_steps 519, total_learning_steps 12, total_terminations 25, total_truncations 0
episode 25, score 22.0, avg_score_total 20.808, avg_score_last_20 19.700, time_steps_per_episode 22, learning_steps 1, std_score 10.634, std_score_last_20 9.778, total_time_steps 541, total_learning_steps 13, total_terminations 26, total_truncations 0
episode 26, score 26.0, avg_score_total 21.000, avg_score_last_20 19.950, time_steps_per_episode 26, learning_steps 1, std_score 10.481, std_score_last_20 9.872, total_time_steps 567, total_learning_steps 14, total_terminations 27, total_truncations 0
episode 27, score 19.0, avg_score_total 20.929, avg_score_last_20 18.500, time_steps_per_episode 19, learning_steps 0, std_score 10.299, std_score_last_20 7.487, total_time_steps 586, total_learning_steps 14, total_terminations 28, total_truncations 0
episode 28, score 21.0, avg_score_total 20.931, avg_score_last_20 18.800, time_steps_per_episode 21, learning_steps 1, std_score 10.120, std_score_last_20 7.461, total_time_steps 607, total_learning_steps 15, total_terminations 29, total_truncations 0
episode 29, score 25.0, avg_score_total 21.067, avg_score_last_20 19.150, time_steps_per_episode 25, learning_steps 1, std_score 9.976, std_score_last_20 7.578, total_time_steps 632, total_learning_steps 16, total_terminations 30, total_truncations 0
episode 30, score 22.0, avg_score_total 21.097, avg_score_last_20 19.800, time_steps_per_episode 22, learning_steps 1, std_score 9.816, std_score_last_20 7.229, total_time_steps 654, total_learning_steps 17, total_terminations 31, total_truncations 0
episode 31, score 29.0, avg_score_total 21.344, avg_score_last_20 20.450, time_steps_per_episode 29, learning_steps 1, std_score 9.758, std_score_last_20 7.440, total_time_steps 683, total_learning_steps 18, total_terminations 32, total_truncations 0
episode 32, score 17.0, avg_score_total 21.212, avg_score_last_20 20.650, time_steps_per_episode 17, learning_steps 0, std_score 9.638, std_score_last_20 7.289, total_time_steps 700, total_learning_steps 18, total_terminations 33, total_truncations 0
episode 33, score 13.0, avg_score_total 20.971, avg_score_last_20 20.750, time_steps_per_episode 13, learning_steps 0, std_score 9.596, std_score_last_20 7.169, total_time_steps 713, total_learning_steps 18, total_terminations 34, total_truncations 0
episode 34, score 18.0, avg_score_total 20.886, avg_score_last_20 20.100, time_steps_per_episode 18, learning_steps 0, std_score 9.471, std_score_last_20 6.789, total_time_steps 731, total_learning_steps 18, total_terminations 35, total_truncations 0
episode 35, score 19.0, avg_score_total 20.833, avg_score_last_20 20.100, time_steps_per_episode 19, learning_steps 0, std_score 9.344, std_score_last_20 6.789, total_time_steps 750, total_learning_steps 18, total_terminations 36, total_truncations 0
episode 36, score 17.0, avg_score_total 20.730, avg_score_last_20 20.100, time_steps_per_episode 17, learning_steps 0, std_score 9.238, std_score_last_20 6.789, total_time_steps 767, total_learning_steps 18, total_terminations 37, total_truncations 0
episode 37, score 19.0, avg_score_total 20.684, avg_score_last_20 19.900, time_steps_per_episode 19, learning_steps 0, std_score 9.119, std_score_last_20 6.759, total_time_steps 786, total_learning_steps 18, total_terminations 38, total_truncations 0
episode 38, score 9.0, avg_score_total 20.385, avg_score_last_20 19.550, time_steps_per_episode 9, learning_steps 0, std_score 9.189, std_score_last_20 7.124, total_time_steps 795, total_learning_steps 18, total_terminations 39, total_truncations 0
episode 39, score 13.0, avg_score_total 20.200, avg_score_last_20 19.350, time_steps_per_episode 13, learning_steps 0, std_score 9.147, std_score_last_20 7.248, total_time_steps 808, total_learning_steps 18, total_terminations 40, total_truncations 0
episode 40, score 18.0, avg_score_total 20.146, avg_score_last_20 18.150, time_steps_per_episode 18, learning_steps 0, std_score 9.041, std_score_last_20 5.052, total_time_steps 826, total_learning_steps 18, total_terminations 41, total_truncations 0
episode 41, score 10.0, avg_score_total 19.905, avg_score_last_20 17.900, time_steps_per_episode 10, learning_steps 0, std_score 9.065, std_score_last_20 5.319, total_time_steps 836, total_learning_steps 18, total_terminations 42, total_truncations 0
episode 42, score 11.0, avg_score_total 19.698, avg_score_last_20 18.000, time_steps_per_episode 11, learning_steps 0, std_score 9.059, std_score_last_20 5.167, total_time_steps 847, total_learning_steps 18, total_terminations 43, total_truncations 0
episode 43, score 14.0, avg_score_total 19.568, avg_score_last_20 17.850, time_steps_per_episode 14, learning_steps 0, std_score 8.996, std_score_last_20 5.237, total_time_steps 861, total_learning_steps 18, total_terminations 44, total_truncations 0
episode 44, score 25.0, avg_score_total 19.689, avg_score_last_20 18.350, time_steps_per_episode 25, learning_steps 1, std_score 8.931, std_score_last_20 5.415, total_time_steps 886, total_learning_steps 19, total_terminations 45, total_truncations 0
episode 45, score 55.0, avg_score_total 20.457, avg_score_last_20 20.000, time_steps_per_episode 55, learning_steps 2, std_score 10.225, std_score_last_20 9.649, total_time_steps 941, total_learning_steps 21, total_terminations 46, total_truncations 0
episode 46, score 12.0, avg_score_total 20.277, avg_score_last_20 19.300, time_steps_per_episode 12, learning_steps 0, std_score 10.189, std_score_last_20 9.696, total_time_steps 953, total_learning_steps 21, total_terminations 47, total_truncations 0
episode 47, score 16.0, avg_score_total 20.188, avg_score_last_20 19.150, time_steps_per_episode 16, learning_steps 0, std_score 10.101, std_score_last_20 9.723, total_time_steps 969, total_learning_steps 21, total_terminations 48, total_truncations 0
episode 48, score 39.0, avg_score_total 20.571, avg_score_last_20 20.050, time_steps_per_episode 39, learning_steps 1, std_score 10.345, std_score_last_20 10.642, total_time_steps 1008, total_learning_steps 22, total_terminations 49, total_truncations 0
episode 49, score 19.0, avg_score_total 20.540, avg_score_last_20 19.750, time_steps_per_episode 19, learning_steps 0, std_score 10.243, std_score_last_20 10.582, total_time_steps 1027, total_learning_steps 22, total_terminations 50, total_truncations 0
episode 50, score 19.0, avg_score_total 20.510, avg_score_last_20 19.600, time_steps_per_episode 19, learning_steps 0, std_score 10.145, std_score_last_20 10.571, total_time_steps 1046, total_learning_steps 22, total_terminations 51, total_truncations 0
episode 51, score 16.0, avg_score_total 20.423, avg_score_last_20 18.950, time_steps_per_episode 16, learning_steps 0, std_score 10.066, std_score_last_20 10.371, total_time_steps 1062, total_learning_steps 22, total_terminations 52, total_truncations 0
episode 52, score 42.0, avg_score_total 20.830, avg_score_last_20 20.200, time_steps_per_episode 42, learning_steps 2, std_score 10.394, std_score_last_20 11.505, total_time_steps 1104, total_learning_steps 24, total_terminations 53, total_truncations 0
episode 53, score 21.0, avg_score_total 20.833, avg_score_last_20 20.600, time_steps_per_episode 21, learning_steps 1, std_score 10.297, std_score_last_20 11.386, total_time_steps 1125, total_learning_steps 25, total_terminations 54, total_truncations 0
episode 54, score 32.0, avg_score_total 21.036, avg_score_last_20 21.300, time_steps_per_episode 32, learning_steps 1, std_score 10.311, std_score_last_20 11.632, total_time_steps 1157, total_learning_steps 26, total_terminations 55, total_truncations 0
episode 55, score 28.0, avg_score_total 21.161, avg_score_last_20 21.750, time_steps_per_episode 28, learning_steps 1, std_score 10.260, std_score_last_20 11.708, total_time_steps 1185, total_learning_steps 27, total_terminations 56, total_truncations 0
episode 56, score 13.0, avg_score_total 21.018, avg_score_last_20 21.550, time_steps_per_episode 13, learning_steps 0, std_score 10.226, std_score_last_20 11.821, total_time_steps 1198, total_learning_steps 27, total_terminations 57, total_truncations 0
episode 57, score 13.0, avg_score_total 20.879, avg_score_last_20 21.250, time_steps_per_episode 13, learning_steps 0, std_score 10.191, std_score_last_20 11.958, total_time_steps 1211, total_learning_steps 27, total_terminations 58, total_truncations 0
episode 58, score 22.0, avg_score_total 20.898, avg_score_last_20 21.900, time_steps_per_episode 22, learning_steps 1, std_score 10.106, std_score_last_20 11.623, total_time_steps 1233, total_learning_steps 28, total_terminations 59, total_truncations 0
episode 59, score 25.0, avg_score_total 20.967, avg_score_last_20 22.500, time_steps_per_episode 25, learning_steps 1, std_score 10.035, std_score_last_20 11.456, total_time_steps 1258, total_learning_steps 29, total_terminations 60, total_truncations 0
episode 60, score 40.0, avg_score_total 21.279, avg_score_last_20 23.600, time_steps_per_episode 40, learning_steps 2, std_score 10.242, std_score_last_20 12.014, total_time_steps 1298, total_learning_steps 31, total_terminations 61, total_truncations 0
episode 61, score 13.0, avg_score_total 21.145, avg_score_last_20 23.750, time_steps_per_episode 13, learning_steps 0, std_score 10.212, std_score_last_20 11.861, total_time_steps 1311, total_learning_steps 31, total_terminations 62, total_truncations 0
episode 62, score 15.0, avg_score_total 21.048, avg_score_last_20 23.950, time_steps_per_episode 15, learning_steps 0, std_score 10.160, std_score_last_20 11.677, total_time_steps 1326, total_learning_steps 31, total_terminations 63, total_truncations 0
episode 63, score 32.0, avg_score_total 21.219, avg_score_last_20 24.850, time_steps_per_episode 32, learning_steps 1, std_score 10.171, std_score_last_20 11.568, total_time_steps 1358, total_learning_steps 32, total_terminations 64, total_truncations 0
episode 64, score 10.0, avg_score_total 21.046, avg_score_last_20 24.100, time_steps_per_episode 10, learning_steps 0, std_score 10.187, std_score_last_20 12.012, total_time_steps 1368, total_learning_steps 32, total_terminations 65, total_truncations 0
episode 65, score 48.0, avg_score_total 21.455, avg_score_last_20 23.750, time_steps_per_episode 48, learning_steps 2, std_score 10.632, std_score_last_20 11.180, total_time_steps 1416, total_learning_steps 34, total_terminations 66, total_truncations 0
episode 66, score 25.0, avg_score_total 21.507, avg_score_last_20 24.400, time_steps_per_episode 25, learning_steps 1, std_score 10.561, std_score_last_20 10.851, total_time_steps 1441, total_learning_steps 35, total_terminations 67, total_truncations 0
episode 67, score 20.0, avg_score_total 21.485, avg_score_last_20 24.600, time_steps_per_episode 20, learning_steps 1, std_score 10.485, std_score_last_20 10.730, total_time_steps 1461, total_learning_steps 36, total_terminations 68, total_truncations 0
episode 68, score 44.0, avg_score_total 21.812, avg_score_last_20 24.850, time_steps_per_episode 44, learning_steps 2, std_score 10.750, std_score_last_20 11.114, total_time_steps 1505, total_learning_steps 38, total_terminations 69, total_truncations 0
episode 69, score 30.0, avg_score_total 21.929, avg_score_last_20 25.400, time_steps_per_episode 30, learning_steps 1, std_score 10.718, std_score_last_20 11.083, total_time_steps 1535, total_learning_steps 39, total_terminations 70, total_truncations 0
episode 70, score 35.0, avg_score_total 22.113, avg_score_last_20 26.200, time_steps_per_episode 35, learning_steps 1, std_score 10.753, std_score_last_20 11.170, total_time_steps 1570, total_learning_steps 40, total_terminations 71, total_truncations 0
episode 71, score 19.0, avg_score_total 22.069, avg_score_last_20 26.350, time_steps_per_episode 19, learning_steps 0, std_score 10.684, std_score_last_20 11.051, total_time_steps 1589, total_learning_steps 40, total_terminations 72, total_truncations 0
episode 72, score 21.0, avg_score_total 22.055, avg_score_last_20 25.300, time_steps_per_episode 21, learning_steps 1, std_score 10.611, std_score_last_20 10.498, total_time_steps 1610, total_learning_steps 41, total_terminations 73, total_truncations 0
episode 73, score 12.0, avg_score_total 21.919, avg_score_last_20 24.850, time_steps_per_episode 12, learning_steps 0, std_score 10.603, std_score_last_20 10.859, total_time_steps 1622, total_learning_steps 41, total_terminations 74, total_truncations 0
episode 74, score 27.0, avg_score_total 21.987, avg_score_last_20 24.600, time_steps_per_episode 27, learning_steps 1, std_score 10.548, std_score_last_20 10.749, total_time_steps 1649, total_learning_steps 42, total_terminations 75, total_truncations 0
episode 75, score 42.0, avg_score_total 22.250, avg_score_last_20 25.300, time_steps_per_episode 42, learning_steps 2, std_score 10.724, std_score_last_20 11.385, total_time_steps 1691, total_learning_steps 44, total_terminations 76, total_truncations 0
episode 76, score 29.0, avg_score_total 22.338, avg_score_last_20 26.100, time_steps_per_episode 29, learning_steps 1, std_score 10.681, std_score_last_20 11.049, total_time_steps 1720, total_learning_steps 45, total_terminations 77, total_truncations 0
