episode 0, score 13.0, avg_score_total 13.000, avg_score_last_20 13.000, time_steps_per_episode 13, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 13, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 18.0, avg_score_total 15.500, avg_score_last_20 15.500, time_steps_per_episode 18, learning_steps 0, std_score 2.500, std_score_last_20 2.500, total_time_steps 31, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 20.0, avg_score_total 17.000, avg_score_last_20 17.000, time_steps_per_episode 20, learning_steps 1, std_score 2.944, std_score_last_20 2.944, total_time_steps 51, total_learning_steps 1, total_terminations 3, total_truncations 0
episode 3, score 35.0, avg_score_total 21.500, avg_score_last_20 21.500, time_steps_per_episode 35, learning_steps 1, std_score 8.201, std_score_last_20 8.201, total_time_steps 86, total_learning_steps 2, total_terminations 4, total_truncations 0
episode 4, score 19.0, avg_score_total 21.000, avg_score_last_20 21.000, time_steps_per_episode 19, learning_steps 0, std_score 7.403, std_score_last_20 7.403, total_time_steps 105, total_learning_steps 2, total_terminations 5, total_truncations 0
episode 5, score 11.0, avg_score_total 19.333, avg_score_last_20 19.333, time_steps_per_episode 11, learning_steps 0, std_score 7.717, std_score_last_20 7.717, total_time_steps 116, total_learning_steps 2, total_terminations 6, total_truncations 0
episode 6, score 20.0, avg_score_total 19.429, avg_score_last_20 19.429, time_steps_per_episode 20, learning_steps 1, std_score 7.149, std_score_last_20 7.149, total_time_steps 136, total_learning_steps 3, total_terminations 7, total_truncations 0
episode 7, score 32.0, avg_score_total 21.000, avg_score_last_20 21.000, time_steps_per_episode 32, learning_steps 1, std_score 7.874, std_score_last_20 7.874, total_time_steps 168, total_learning_steps 4, total_terminations 8, total_truncations 0
episode 8, score 38.0, avg_score_total 22.889, avg_score_last_20 22.889, time_steps_per_episode 38, learning_steps 1, std_score 9.146, std_score_last_20 9.146, total_time_steps 206, total_learning_steps 5, total_terminations 9, total_truncations 0
episode 9, score 36.0, avg_score_total 24.200, avg_score_last_20 24.200, time_steps_per_episode 36, learning_steps 1, std_score 9.527, std_score_last_20 9.527, total_time_steps 242, total_learning_steps 6, total_terminations 10, total_truncations 0
episode 10, score 17.0, avg_score_total 23.545, avg_score_last_20 23.545, time_steps_per_episode 17, learning_steps 0, std_score 9.316, std_score_last_20 9.316, total_time_steps 259, total_learning_steps 6, total_terminations 11, total_truncations 0
episode 11, score 41.0, avg_score_total 25.000, avg_score_last_20 25.000, time_steps_per_episode 41, learning_steps 2, std_score 10.141, std_score_last_20 10.141, total_time_steps 300, total_learning_steps 8, total_terminations 12, total_truncations 0
episode 12, score 30.0, avg_score_total 25.385, avg_score_last_20 25.385, time_steps_per_episode 30, learning_steps 1, std_score 9.834, std_score_last_20 9.834, total_time_steps 330, total_learning_steps 9, total_terminations 13, total_truncations 0
episode 13, score 24.0, avg_score_total 25.286, avg_score_last_20 25.286, time_steps_per_episode 24, learning_steps 1, std_score 9.483, std_score_last_20 9.483, total_time_steps 354, total_learning_steps 10, total_terminations 14, total_truncations 0
episode 14, score 18.0, avg_score_total 24.800, avg_score_last_20 24.800, time_steps_per_episode 18, learning_steps 0, std_score 9.340, std_score_last_20 9.340, total_time_steps 372, total_learning_steps 10, total_terminations 15, total_truncations 0
episode 15, score 16.0, avg_score_total 24.250, avg_score_last_20 24.250, time_steps_per_episode 16, learning_steps 0, std_score 9.290, std_score_last_20 9.290, total_time_steps 388, total_learning_steps 10, total_terminations 16, total_truncations 0
episode 16, score 40.0, avg_score_total 25.176, avg_score_last_20 25.176, time_steps_per_episode 40, learning_steps 2, std_score 9.745, std_score_last_20 9.745, total_time_steps 428, total_learning_steps 12, total_terminations 17, total_truncations 0
episode 17, score 48.0, avg_score_total 26.444, avg_score_last_20 26.444, time_steps_per_episode 48, learning_steps 2, std_score 10.818, std_score_last_20 10.818, total_time_steps 476, total_learning_steps 14, total_terminations 18, total_truncations 0
episode 18, score 22.0, avg_score_total 26.211, avg_score_last_20 26.211, time_steps_per_episode 22, learning_steps 1, std_score 10.576, std_score_last_20 10.576, total_time_steps 498, total_learning_steps 15, total_terminations 19, total_truncations 0
episode 19, score 10.0, avg_score_total 25.400, avg_score_last_20 25.400, time_steps_per_episode 10, learning_steps 0, std_score 10.897, std_score_last_20 10.897, total_time_steps 508, total_learning_steps 15, total_terminations 20, total_truncations 0
episode 20, score 15.0, avg_score_total 24.905, avg_score_last_20 25.500, time_steps_per_episode 15, learning_steps 0, std_score 10.862, std_score_last_20 10.791, total_time_steps 523, total_learning_steps 15, total_terminations 21, total_truncations 0
episode 21, score 17.0, avg_score_total 24.545, avg_score_last_20 25.450, time_steps_per_episode 17, learning_steps 0, std_score 10.740, std_score_last_20 10.828, total_time_steps 540, total_learning_steps 15, total_terminations 22, total_truncations 0
episode 22, score 24.0, avg_score_total 24.522, avg_score_last_20 25.650, time_steps_per_episode 24, learning_steps 1, std_score 10.504, std_score_last_20 10.762, total_time_steps 564, total_learning_steps 16, total_terminations 23, total_truncations 0
episode 23, score 17.0, avg_score_total 24.208, avg_score_last_20 24.750, time_steps_per_episode 17, learning_steps 0, std_score 10.392, std_score_last_20 10.695, total_time_steps 581, total_learning_steps 16, total_terminations 24, total_truncations 0
