episode 0, score 10.0, avg_score_total 10.000, avg_score_last_20 10.000, time_steps_per_episode 10, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 10, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 13.0, avg_score_total 11.500, avg_score_last_20 11.500, time_steps_per_episode 13, learning_steps 0, std_score 1.500, std_score_last_20 1.500, total_time_steps 23, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 15.0, avg_score_total 12.667, avg_score_last_20 12.667, time_steps_per_episode 15, learning_steps 0, std_score 2.055, std_score_last_20 2.055, total_time_steps 38, total_learning_steps 0, total_terminations 3, total_truncations 0
episode 3, score 11.0, avg_score_total 12.250, avg_score_last_20 12.250, time_steps_per_episode 11, learning_steps 0, std_score 1.920, std_score_last_20 1.920, total_time_steps 49, total_learning_steps 0, total_terminations 4, total_truncations 0
episode 4, score 10.0, avg_score_total 11.800, avg_score_last_20 11.800, time_steps_per_episode 10, learning_steps 0, std_score 1.939, std_score_last_20 1.939, total_time_steps 59, total_learning_steps 0, total_terminations 5, total_truncations 0
episode 5, score 10.0, avg_score_total 11.500, avg_score_last_20 11.500, time_steps_per_episode 10, learning_steps 0, std_score 1.893, std_score_last_20 1.893, total_time_steps 69, total_learning_steps 0, total_terminations 6, total_truncations 0
episode 6, score 15.0, avg_score_total 12.000, avg_score_last_20 12.000, time_steps_per_episode 15, learning_steps 0, std_score 2.138, std_score_last_20 2.138, total_time_steps 84, total_learning_steps 0, total_terminations 7, total_truncations 0
episode 7, score 23.0, avg_score_total 13.375, avg_score_last_20 13.375, time_steps_per_episode 23, learning_steps 1, std_score 4.151, std_score_last_20 4.151, total_time_steps 107, total_learning_steps 1, total_terminations 8, total_truncations 0
episode 8, score 12.0, avg_score_total 13.222, avg_score_last_20 13.222, time_steps_per_episode 12, learning_steps 0, std_score 3.938, std_score_last_20 3.938, total_time_steps 119, total_learning_steps 1, total_terminations 9, total_truncations 0
episode 9, score 25.0, avg_score_total 14.400, avg_score_last_20 14.400, time_steps_per_episode 25, learning_steps 1, std_score 5.142, std_score_last_20 5.142, total_time_steps 144, total_learning_steps 2, total_terminations 10, total_truncations 0
episode 10, score 10.0, avg_score_total 14.000, avg_score_last_20 14.000, time_steps_per_episode 10, learning_steps 0, std_score 5.063, std_score_last_20 5.063, total_time_steps 154, total_learning_steps 2, total_terminations 11, total_truncations 0
episode 11, score 12.0, avg_score_total 13.833, avg_score_last_20 13.833, time_steps_per_episode 12, learning_steps 0, std_score 4.879, std_score_last_20 4.879, total_time_steps 166, total_learning_steps 2, total_terminations 12, total_truncations 0
episode 12, score 14.0, avg_score_total 13.846, avg_score_last_20 13.846, time_steps_per_episode 14, learning_steps 0, std_score 4.688, std_score_last_20 4.688, total_time_steps 180, total_learning_steps 2, total_terminations 13, total_truncations 0
episode 13, score 28.0, avg_score_total 14.857, avg_score_last_20 14.857, time_steps_per_episode 28, learning_steps 1, std_score 5.805, std_score_last_20 5.805, total_time_steps 208, total_learning_steps 3, total_terminations 14, total_truncations 0
episode 14, score 18.0, avg_score_total 15.067, avg_score_last_20 15.067, time_steps_per_episode 18, learning_steps 0, std_score 5.662, std_score_last_20 5.662, total_time_steps 226, total_learning_steps 3, total_terminations 15, total_truncations 0
episode 15, score 26.0, avg_score_total 15.750, avg_score_last_20 15.750, time_steps_per_episode 26, learning_steps 1, std_score 6.088, std_score_last_20 6.088, total_time_steps 252, total_learning_steps 4, total_terminations 16, total_truncations 0
episode 16, score 35.0, avg_score_total 16.882, avg_score_last_20 16.882, time_steps_per_episode 35, learning_steps 1, std_score 7.443, std_score_last_20 7.443, total_time_steps 287, total_learning_steps 5, total_terminations 17, total_truncations 0
episode 17, score 25.0, avg_score_total 17.333, avg_score_last_20 17.333, time_steps_per_episode 25, learning_steps 1, std_score 7.468, std_score_last_20 7.468, total_time_steps 312, total_learning_steps 6, total_terminations 18, total_truncations 0
