episode 0, score 11.0, avg_score_total 11.000, avg_score_last_20 11.000, time_steps_per_episode 11, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 11, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 10.0, avg_score_total 10.500, avg_score_last_20 10.500, time_steps_per_episode 10, learning_steps 0, std_score 0.500, std_score_last_20 0.500, total_time_steps 21, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 11.0, avg_score_total 10.667, avg_score_last_20 10.667, time_steps_per_episode 11, learning_steps 0, std_score 0.471, std_score_last_20 0.471, total_time_steps 32, total_learning_steps 0, total_terminations 3, total_truncations 0
episode 3, score 9.0, avg_score_total 10.250, avg_score_last_20 10.250, time_steps_per_episode 9, learning_steps 0, std_score 0.829, std_score_last_20 0.829, total_time_steps 41, total_learning_steps 0, total_terminations 4, total_truncations 0
episode 4, score 11.0, avg_score_total 10.400, avg_score_last_20 10.400, time_steps_per_episode 11, learning_steps 0, std_score 0.800, std_score_last_20 0.800, total_time_steps 52, total_learning_steps 0, total_terminations 5, total_truncations 0
episode 5, score 14.0, avg_score_total 11.000, avg_score_last_20 11.000, time_steps_per_episode 14, learning_steps 0, std_score 1.528, std_score_last_20 1.528, total_time_steps 66, total_learning_steps 0, total_terminations 6, total_truncations 0
episode 6, score 20.0, avg_score_total 12.286, avg_score_last_20 12.286, time_steps_per_episode 20, learning_steps 1, std_score 3.452, std_score_last_20 3.452, total_time_steps 86, total_learning_steps 1, total_terminations 7, total_truncations 0
episode 7, score 13.0, avg_score_total 12.375, avg_score_last_20 12.375, time_steps_per_episode 13, learning_steps 0, std_score 3.238, std_score_last_20 3.238, total_time_steps 99, total_learning_steps 1, total_terminations 8, total_truncations 0
episode 8, score 18.0, avg_score_total 13.000, avg_score_last_20 13.000, time_steps_per_episode 18, learning_steps 0, std_score 3.528, std_score_last_20 3.528, total_time_steps 117, total_learning_steps 1, total_terminations 9, total_truncations 0
episode 9, score 19.0, avg_score_total 13.600, avg_score_last_20 13.600, time_steps_per_episode 19, learning_steps 0, std_score 3.800, std_score_last_20 3.800, total_time_steps 136, total_learning_steps 1, total_terminations 10, total_truncations 0
episode 10, score 15.0, avg_score_total 13.727, avg_score_last_20 13.727, time_steps_per_episode 15, learning_steps 0, std_score 3.645, std_score_last_20 3.645, total_time_steps 151, total_learning_steps 1, total_terminations 11, total_truncations 0
episode 11, score 23.0, avg_score_total 14.500, avg_score_last_20 14.500, time_steps_per_episode 23, learning_steps 1, std_score 4.330, std_score_last_20 4.330, total_time_steps 174, total_learning_steps 2, total_terminations 12, total_truncations 0
episode 12, score 31.0, avg_score_total 15.769, avg_score_last_20 15.769, time_steps_per_episode 31, learning_steps 1, std_score 6.053, std_score_last_20 6.053, total_time_steps 205, total_learning_steps 3, total_terminations 13, total_truncations 0
episode 13, score 14.0, avg_score_total 15.643, avg_score_last_20 15.643, time_steps_per_episode 14, learning_steps 0, std_score 5.851, std_score_last_20 5.851, total_time_steps 219, total_learning_steps 3, total_terminations 14, total_truncations 0
episode 14, score 18.0, avg_score_total 15.800, avg_score_last_20 15.800, time_steps_per_episode 18, learning_steps 0, std_score 5.683, std_score_last_20 5.683, total_time_steps 237, total_learning_steps 3, total_terminations 15, total_truncations 0
episode 15, score 18.0, avg_score_total 15.938, avg_score_last_20 15.938, time_steps_per_episode 18, learning_steps 0, std_score 5.528, std_score_last_20 5.528, total_time_steps 255, total_learning_steps 3, total_terminations 16, total_truncations 0
episode 16, score 19.0, avg_score_total 16.118, avg_score_last_20 16.118, time_steps_per_episode 19, learning_steps 0, std_score 5.411, std_score_last_20 5.411, total_time_steps 274, total_learning_steps 3, total_terminations 17, total_truncations 0
episode 17, score 13.0, avg_score_total 15.944, avg_score_last_20 15.944, time_steps_per_episode 13, learning_steps 0, std_score 5.307, std_score_last_20 5.307, total_time_steps 287, total_learning_steps 3, total_terminations 18, total_truncations 0
episode 18, score 22.0, avg_score_total 16.263, avg_score_last_20 16.263, time_steps_per_episode 22, learning_steps 1, std_score 5.339, std_score_last_20 5.339, total_time_steps 309, total_learning_steps 4, total_terminations 19, total_truncations 0
episode 19, score 26.0, avg_score_total 16.750, avg_score_last_20 16.750, time_steps_per_episode 26, learning_steps 1, std_score 5.620, std_score_last_20 5.620, total_time_steps 335, total_learning_steps 5, total_terminations 20, total_truncations 0
episode 20, score 18.0, avg_score_total 16.810, avg_score_last_20 17.100, time_steps_per_episode 18, learning_steps 0, std_score 5.491, std_score_last_20 5.467, total_time_steps 353, total_learning_steps 5, total_terminations 21, total_truncations 0
episode 21, score 17.0, avg_score_total 16.818, avg_score_last_20 17.450, time_steps_per_episode 17, learning_steps 0, std_score 5.365, std_score_last_20 5.220, total_time_steps 370, total_learning_steps 5, total_terminations 22, total_truncations 0
episode 22, score 12.0, avg_score_total 16.609, avg_score_last_20 17.500, time_steps_per_episode 12, learning_steps 0, std_score 5.338, std_score_last_20 5.162, total_time_steps 382, total_learning_steps 5, total_terminations 23, total_truncations 0
episode 23, score 19.0, avg_score_total 16.708, avg_score_last_20 18.000, time_steps_per_episode 19, learning_steps 0, std_score 5.248, std_score_last_20 4.785, total_time_steps 401, total_learning_steps 5, total_terminations 24, total_truncations 0
episode 24, score 13.0, avg_score_total 16.560, avg_score_last_20 18.100, time_steps_per_episode 13, learning_steps 0, std_score 5.193, std_score_last_20 4.657, total_time_steps 414, total_learning_steps 5, total_terminations 25, total_truncations 0
episode 25, score 28.0, avg_score_total 17.000, avg_score_last_20 18.800, time_steps_per_episode 28, learning_steps 1, std_score 5.547, std_score_last_20 5.026, total_time_steps 442, total_learning_steps 6, total_terminations 26, total_truncations 0
episode 26, score 13.0, avg_score_total 16.852, avg_score_last_20 18.450, time_steps_per_episode 13, learning_steps 0, std_score 5.495, std_score_last_20 5.172, total_time_steps 455, total_learning_steps 6, total_terminations 27, total_truncations 0
episode 27, score 17.0, avg_score_total 16.857, avg_score_last_20 18.650, time_steps_per_episode 17, learning_steps 0, std_score 5.397, std_score_last_20 5.033, total_time_steps 472, total_learning_steps 6, total_terminations 28, total_truncations 0
episode 28, score 28.0, avg_score_total 17.241, avg_score_last_20 19.150, time_steps_per_episode 28, learning_steps 1, std_score 5.679, std_score_last_20 5.425, total_time_steps 500, total_learning_steps 7, total_terminations 29, total_truncations 0
episode 29, score 23.0, avg_score_total 17.433, avg_score_last_20 19.350, time_steps_per_episode 23, learning_steps 1, std_score 5.679, std_score_last_20 5.489, total_time_steps 523, total_learning_steps 8, total_terminations 30, total_truncations 0
episode 30, score 14.0, avg_score_total 17.323, avg_score_last_20 19.300, time_steps_per_episode 14, learning_steps 0, std_score 5.619, std_score_last_20 5.533, total_time_steps 537, total_learning_steps 8, total_terminations 31, total_truncations 0
episode 31, score 12.0, avg_score_total 17.156, avg_score_last_20 18.750, time_steps_per_episode 12, learning_steps 0, std_score 5.608, std_score_last_20 5.682, total_time_steps 549, total_learning_steps 8, total_terminations 32, total_truncations 0
episode 32, score 28.0, avg_score_total 17.485, avg_score_last_20 18.600, time_steps_per_episode 28, learning_steps 1, std_score 5.826, std_score_last_20 5.389, total_time_steps 577, total_learning_steps 9, total_terminations 33, total_truncations 0
episode 33, score 17.0, avg_score_total 17.471, avg_score_last_20 18.750, time_steps_per_episode 17, learning_steps 0, std_score 5.741, std_score_last_20 5.300, total_time_steps 594, total_learning_steps 9, total_terminations 34, total_truncations 0
episode 34, score 15.0, avg_score_total 17.400, avg_score_last_20 18.600, time_steps_per_episode 15, learning_steps 0, std_score 5.673, std_score_last_20 5.361, total_time_steps 609, total_learning_steps 9, total_terminations 35, total_truncations 0
