episode 0, score 17.0, avg_score_total 17.000, avg_score_last_20 17.000, time_steps_per_episode 17, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 17, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 9.0, avg_score_total 13.000, avg_score_last_20 13.000, time_steps_per_episode 9, learning_steps 0, std_score 4.000, std_score_last_20 4.000, total_time_steps 26, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 24.0, avg_score_total 16.667, avg_score_last_20 16.667, time_steps_per_episode 24, learning_steps 1, std_score 6.128, std_score_last_20 6.128, total_time_steps 50, total_learning_steps 1, total_terminations 3, total_truncations 0
episode 3, score 19.0, avg_score_total 17.250, avg_score_last_20 17.250, time_steps_per_episode 19, learning_steps 0, std_score 5.403, std_score_last_20 5.403, total_time_steps 69, total_learning_steps 1, total_terminations 4, total_truncations 0
episode 4, score 22.0, avg_score_total 18.200, avg_score_last_20 18.200, time_steps_per_episode 22, learning_steps 1, std_score 5.192, std_score_last_20 5.192, total_time_steps 91, total_learning_steps 2, total_terminations 5, total_truncations 0
episode 5, score 22.0, avg_score_total 18.833, avg_score_last_20 18.833, time_steps_per_episode 22, learning_steps 1, std_score 4.947, std_score_last_20 4.947, total_time_steps 113, total_learning_steps 3, total_terminations 6, total_truncations 0
episode 6, score 14.0, avg_score_total 18.143, avg_score_last_20 18.143, time_steps_per_episode 14, learning_steps 0, std_score 4.882, std_score_last_20 4.882, total_time_steps 127, total_learning_steps 3, total_terminations 7, total_truncations 0
episode 7, score 15.0, avg_score_total 17.750, avg_score_last_20 17.750, time_steps_per_episode 15, learning_steps 0, std_score 4.684, std_score_last_20 4.684, total_time_steps 142, total_learning_steps 3, total_terminations 8, total_truncations 0
episode 8, score 9.0, avg_score_total 16.778, avg_score_last_20 16.778, time_steps_per_episode 9, learning_steps 0, std_score 5.202, std_score_last_20 5.202, total_time_steps 151, total_learning_steps 3, total_terminations 9, total_truncations 0
episode 9, score 13.0, avg_score_total 16.400, avg_score_last_20 16.400, time_steps_per_episode 13, learning_steps 0, std_score 5.064, std_score_last_20 5.064, total_time_steps 164, total_learning_steps 3, total_terminations 10, total_truncations 0
episode 10, score 10.0, avg_score_total 15.818, avg_score_last_20 15.818, time_steps_per_episode 10, learning_steps 0, std_score 5.167, std_score_last_20 5.167, total_time_steps 174, total_learning_steps 3, total_terminations 11, total_truncations 0
episode 11, score 13.0, avg_score_total 15.583, avg_score_last_20 15.583, time_steps_per_episode 13, learning_steps 0, std_score 5.008, std_score_last_20 5.008, total_time_steps 187, total_learning_steps 3, total_terminations 12, total_truncations 0
episode 12, score 15.0, avg_score_total 15.538, avg_score_last_20 15.538, time_steps_per_episode 15, learning_steps 0, std_score 4.814, std_score_last_20 4.814, total_time_steps 202, total_learning_steps 3, total_terminations 13, total_truncations 0
episode 13, score 18.0, avg_score_total 15.714, avg_score_last_20 15.714, time_steps_per_episode 18, learning_steps 0, std_score 4.682, std_score_last_20 4.682, total_time_steps 220, total_learning_steps 3, total_terminations 14, total_truncations 0
episode 14, score 24.0, avg_score_total 16.267, avg_score_last_20 16.267, time_steps_per_episode 24, learning_steps 1, std_score 4.973, std_score_last_20 4.973, total_time_steps 244, total_learning_steps 4, total_terminations 15, total_truncations 0
episode 15, score 17.0, avg_score_total 16.312, avg_score_last_20 16.312, time_steps_per_episode 17, learning_steps 0, std_score 4.818, std_score_last_20 4.818, total_time_steps 261, total_learning_steps 4, total_terminations 16, total_truncations 0
episode 16, score 32.0, avg_score_total 17.235, avg_score_last_20 17.235, time_steps_per_episode 32, learning_steps 1, std_score 5.956, std_score_last_20 5.956, total_time_steps 293, total_learning_steps 5, total_terminations 17, total_truncations 0
episode 17, score 12.0, avg_score_total 16.944, avg_score_last_20 16.944, time_steps_per_episode 12, learning_steps 0, std_score 5.911, std_score_last_20 5.911, total_time_steps 305, total_learning_steps 5, total_terminations 18, total_truncations 0
episode 18, score 14.0, avg_score_total 16.789, avg_score_last_20 16.789, time_steps_per_episode 14, learning_steps 0, std_score 5.791, std_score_last_20 5.791, total_time_steps 319, total_learning_steps 5, total_terminations 19, total_truncations 0
episode 19, score 12.0, avg_score_total 16.550, avg_score_last_20 16.550, time_steps_per_episode 12, learning_steps 0, std_score 5.740, std_score_last_20 5.740, total_time_steps 331, total_learning_steps 5, total_terminations 20, total_truncations 0
episode 20, score 9.0, avg_score_total 16.190, avg_score_last_20 16.150, time_steps_per_episode 9, learning_steps 0, std_score 5.828, std_score_last_20 5.969, total_time_steps 340, total_learning_steps 5, total_terminations 21, total_truncations 0
episode 21, score 18.0, avg_score_total 16.273, avg_score_last_20 16.600, time_steps_per_episode 18, learning_steps 0, std_score 5.706, std_score_last_20 5.748, total_time_steps 358, total_learning_steps 5, total_terminations 22, total_truncations 0
episode 22, score 23.0, avg_score_total 16.565, avg_score_last_20 16.550, time_steps_per_episode 23, learning_steps 1, std_score 5.747, std_score_last_20 5.687, total_time_steps 381, total_learning_steps 6, total_terminations 23, total_truncations 0
episode 23, score 19.0, avg_score_total 16.667, avg_score_last_20 16.550, time_steps_per_episode 19, learning_steps 0, std_score 5.647, std_score_last_20 5.687, total_time_steps 400, total_learning_steps 6, total_terminations 24, total_truncations 0
episode 24, score 17.0, avg_score_total 16.680, avg_score_last_20 16.300, time_steps_per_episode 17, learning_steps 0, std_score 5.533, std_score_last_20 5.551, total_time_steps 417, total_learning_steps 6, total_terminations 25, total_truncations 0
episode 25, score 11.0, avg_score_total 16.462, avg_score_last_20 15.750, time_steps_per_episode 11, learning_steps 0, std_score 5.535, std_score_last_20 5.503, total_time_steps 428, total_learning_steps 6, total_terminations 26, total_truncations 0
episode 26, score 24.0, avg_score_total 16.741, avg_score_last_20 16.250, time_steps_per_episode 24, learning_steps 1, std_score 5.615, std_score_last_20 5.770, total_time_steps 452, total_learning_steps 7, total_terminations 27, total_truncations 0
episode 27, score 20.0, avg_score_total 16.857, avg_score_last_20 16.500, time_steps_per_episode 20, learning_steps 1, std_score 5.547, std_score_last_20 5.818, total_time_steps 472, total_learning_steps 8, total_terminations 28, total_truncations 0
episode 28, score 18.0, avg_score_total 16.897, avg_score_last_20 16.950, time_steps_per_episode 18, learning_steps 0, std_score 5.454, std_score_last_20 5.563, total_time_steps 490, total_learning_steps 8, total_terminations 29, total_truncations 0
episode 29, score 16.0, avg_score_total 16.867, avg_score_last_20 17.100, time_steps_per_episode 16, learning_steps 0, std_score 5.365, std_score_last_20 5.495, total_time_steps 506, total_learning_steps 8, total_terminations 30, total_truncations 0
episode 30, score 10.0, avg_score_total 16.645, avg_score_last_20 17.100, time_steps_per_episode 10, learning_steps 0, std_score 5.415, std_score_last_20 5.495, total_time_steps 516, total_learning_steps 8, total_terminations 31, total_truncations 0
episode 31, score 13.0, avg_score_total 16.531, avg_score_last_20 17.100, time_steps_per_episode 13, learning_steps 0, std_score 5.368, std_score_last_20 5.495, total_time_steps 529, total_learning_steps 8, total_terminations 32, total_truncations 0
episode 32, score 10.0, avg_score_total 16.333, avg_score_last_20 16.850, time_steps_per_episode 10, learning_steps 0, std_score 5.403, std_score_last_20 5.695, total_time_steps 539, total_learning_steps 8, total_terminations 33, total_truncations 0
episode 33, score 14.0, avg_score_total 16.265, avg_score_last_20 16.650, time_steps_per_episode 14, learning_steps 0, std_score 5.337, std_score_last_20 5.721, total_time_steps 553, total_learning_steps 8, total_terminations 34, total_truncations 0
episode 34, score 10.0, avg_score_total 16.086, avg_score_last_20 15.950, time_steps_per_episode 10, learning_steps 0, std_score 5.363, std_score_last_20 5.634, total_time_steps 563, total_learning_steps 8, total_terminations 35, total_truncations 0
episode 35, score 25.0, avg_score_total 16.333, avg_score_last_20 16.350, time_steps_per_episode 25, learning_steps 1, std_score 5.487, std_score_last_20 5.969, total_time_steps 588, total_learning_steps 9, total_terminations 36, total_truncations 0
episode 36, score 18.0, avg_score_total 16.378, avg_score_last_20 15.650, time_steps_per_episode 18, learning_steps 0, std_score 5.419, std_score_last_20 4.799, total_time_steps 606, total_learning_steps 9, total_terminations 37, total_truncations 0
episode 37, score 9.0, avg_score_total 16.184, avg_score_last_20 15.500, time_steps_per_episode 9, learning_steps 0, std_score 5.477, std_score_last_20 4.955, total_time_steps 615, total_learning_steps 9, total_terminations 38, total_truncations 0
