episode 0, score 10.0, avg_score_total 10.000, avg_score_last_20 10.000, time_steps_per_episode 10, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 10, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 12.0, avg_score_total 11.000, avg_score_last_20 11.000, time_steps_per_episode 12, learning_steps 0, std_score 1.000, std_score_last_20 1.000, total_time_steps 22, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 14.0, avg_score_total 12.000, avg_score_last_20 12.000, time_steps_per_episode 14, learning_steps 0, std_score 1.633, std_score_last_20 1.633, total_time_steps 36, total_learning_steps 0, total_terminations 3, total_truncations 0
episode 3, score 9.0, avg_score_total 11.250, avg_score_last_20 11.250, time_steps_per_episode 9, learning_steps 0, std_score 1.920, std_score_last_20 1.920, total_time_steps 45, total_learning_steps 0, total_terminations 4, total_truncations 0
episode 4, score 20.0, avg_score_total 13.000, avg_score_last_20 13.000, time_steps_per_episode 20, learning_steps 1, std_score 3.899, std_score_last_20 3.899, total_time_steps 65, total_learning_steps 1, total_terminations 5, total_truncations 0
episode 5, score 19.0, avg_score_total 14.000, avg_score_last_20 14.000, time_steps_per_episode 19, learning_steps 0, std_score 4.203, std_score_last_20 4.203, total_time_steps 84, total_learning_steps 1, total_terminations 6, total_truncations 0
episode 6, score 14.0, avg_score_total 14.000, avg_score_last_20 14.000, time_steps_per_episode 14, learning_steps 0, std_score 3.891, std_score_last_20 3.891, total_time_steps 98, total_learning_steps 1, total_terminations 7, total_truncations 0
episode 7, score 14.0, avg_score_total 14.000, avg_score_last_20 14.000, time_steps_per_episode 14, learning_steps 0, std_score 3.640, std_score_last_20 3.640, total_time_steps 112, total_learning_steps 1, total_terminations 8, total_truncations 0
episode 8, score 20.0, avg_score_total 14.667, avg_score_last_20 14.667, time_steps_per_episode 20, learning_steps 1, std_score 3.916, std_score_last_20 3.916, total_time_steps 132, total_learning_steps 2, total_terminations 9, total_truncations 0
episode 9, score 15.0, avg_score_total 14.700, avg_score_last_20 14.700, time_steps_per_episode 15, learning_steps 0, std_score 3.716, std_score_last_20 3.716, total_time_steps 147, total_learning_steps 2, total_terminations 10, total_truncations 0
episode 10, score 13.0, avg_score_total 14.545, avg_score_last_20 14.545, time_steps_per_episode 13, learning_steps 0, std_score 3.577, std_score_last_20 3.577, total_time_steps 160, total_learning_steps 2, total_terminations 11, total_truncations 0
episode 11, score 15.0, avg_score_total 14.583, avg_score_last_20 14.583, time_steps_per_episode 15, learning_steps 0, std_score 3.427, std_score_last_20 3.427, total_time_steps 175, total_learning_steps 2, total_terminations 12, total_truncations 0
episode 12, score 49.0, avg_score_total 17.231, avg_score_last_20 17.231, time_steps_per_episode 49, learning_steps 2, std_score 9.744, std_score_last_20 9.744, total_time_steps 224, total_learning_steps 4, total_terminations 13, total_truncations 0
episode 13, score 15.0, avg_score_total 17.071, avg_score_last_20 17.071, time_steps_per_episode 15, learning_steps 0, std_score 9.407, std_score_last_20 9.407, total_time_steps 239, total_learning_steps 4, total_terminations 14, total_truncations 0
episode 14, score 14.0, avg_score_total 16.867, avg_score_last_20 16.867, time_steps_per_episode 14, learning_steps 0, std_score 9.120, std_score_last_20 9.120, total_time_steps 253, total_learning_steps 4, total_terminations 15, total_truncations 0
episode 15, score 29.0, avg_score_total 17.625, avg_score_last_20 17.625, time_steps_per_episode 29, learning_steps 1, std_score 9.306, std_score_last_20 9.306, total_time_steps 282, total_learning_steps 5, total_terminations 16, total_truncations 0
episode 16, score 56.0, avg_score_total 19.882, avg_score_last_20 19.882, time_steps_per_episode 56, learning_steps 2, std_score 12.769, std_score_last_20 12.769, total_time_steps 338, total_learning_steps 7, total_terminations 17, total_truncations 0
episode 17, score 14.0, avg_score_total 19.556, avg_score_last_20 19.556, time_steps_per_episode 14, learning_steps 0, std_score 12.482, std_score_last_20 12.482, total_time_steps 352, total_learning_steps 7, total_terminations 18, total_truncations 0
episode 18, score 26.0, avg_score_total 19.895, avg_score_last_20 19.895, time_steps_per_episode 26, learning_steps 1, std_score 12.234, std_score_last_20 12.234, total_time_steps 378, total_learning_steps 8, total_terminations 19, total_truncations 0
episode 19, score 13.0, avg_score_total 19.550, avg_score_last_20 19.550, time_steps_per_episode 13, learning_steps 0, std_score 12.019, std_score_last_20 12.019, total_time_steps 391, total_learning_steps 8, total_terminations 20, total_truncations 0
episode 20, score 12.0, avg_score_total 19.190, avg_score_last_20 19.650, time_steps_per_episode 12, learning_steps 0, std_score 11.839, std_score_last_20 11.947, total_time_steps 403, total_learning_steps 8, total_terminations 21, total_truncations 0
episode 21, score 21.0, avg_score_total 19.273, avg_score_last_20 20.100, time_steps_per_episode 21, learning_steps 1, std_score 11.573, std_score_last_20 11.819, total_time_steps 424, total_learning_steps 9, total_terminations 22, total_truncations 0
episode 22, score 26.0, avg_score_total 19.565, avg_score_last_20 20.700, time_steps_per_episode 26, learning_steps 1, std_score 11.401, std_score_last_20 11.799, total_time_steps 450, total_learning_steps 10, total_terminations 23, total_truncations 0
episode 23, score 19.0, avg_score_total 19.542, avg_score_last_20 21.200, time_steps_per_episode 19, learning_steps 0, std_score 11.162, std_score_last_20 11.500, total_time_steps 469, total_learning_steps 10, total_terminations 24, total_truncations 0
episode 24, score 28.0, avg_score_total 19.880, avg_score_last_20 21.600, time_steps_per_episode 28, learning_steps 1, std_score 11.061, std_score_last_20 11.591, total_time_steps 497, total_learning_steps 11, total_terminations 25, total_truncations 0
episode 25, score 37.0, avg_score_total 20.538, avg_score_last_20 22.500, time_steps_per_episode 37, learning_steps 1, std_score 11.335, std_score_last_20 12.044, total_time_steps 534, total_learning_steps 12, total_terminations 26, total_truncations 0
episode 26, score 9.0, avg_score_total 20.111, avg_score_last_20 22.250, time_steps_per_episode 9, learning_steps 0, std_score 11.334, std_score_last_20 12.267, total_time_steps 543, total_learning_steps 12, total_terminations 27, total_truncations 0
episode 27, score 20.0, avg_score_total 20.107, avg_score_last_20 22.550, time_steps_per_episode 20, learning_steps 1, std_score 11.130, std_score_last_20 12.135, total_time_steps 563, total_learning_steps 13, total_terminations 28, total_truncations 0
episode 28, score 40.0, avg_score_total 20.793, avg_score_last_20 23.550, time_steps_per_episode 40, learning_steps 2, std_score 11.523, std_score_last_20 12.694, total_time_steps 603, total_learning_steps 15, total_terminations 29, total_truncations 0
episode 29, score 19.0, avg_score_total 20.733, avg_score_last_20 23.750, time_steps_per_episode 19, learning_steps 0, std_score 11.334, std_score_last_20 12.589, total_time_steps 622, total_learning_steps 15, total_terminations 30, total_truncations 0
episode 30, score 11.0, avg_score_total 20.419, avg_score_last_20 23.650, time_steps_per_episode 11, learning_steps 0, std_score 11.282, std_score_last_20 12.682, total_time_steps 633, total_learning_steps 15, total_terminations 31, total_truncations 0
episode 31, score 12.0, avg_score_total 20.156, avg_score_last_20 23.500, time_steps_per_episode 12, learning_steps 0, std_score 11.200, std_score_last_20 12.800, total_time_steps 645, total_learning_steps 15, total_terminations 32, total_truncations 0
episode 32, score 29.0, avg_score_total 20.424, avg_score_last_20 22.500, time_steps_per_episode 29, learning_steps 1, std_score 11.133, std_score_last_20 11.483, total_time_steps 674, total_learning_steps 16, total_terminations 33, total_truncations 0
episode 33, score 15.0, avg_score_total 20.265, avg_score_last_20 22.500, time_steps_per_episode 15, learning_steps 0, std_score 11.006, std_score_last_20 11.483, total_time_steps 689, total_learning_steps 16, total_terminations 34, total_truncations 0
episode 34, score 25.0, avg_score_total 20.400, avg_score_last_20 23.050, time_steps_per_episode 25, learning_steps 1, std_score 10.876, std_score_last_20 11.325, total_time_steps 714, total_learning_steps 17, total_terminations 35, total_truncations 0
episode 35, score 11.0, avg_score_total 20.139, avg_score_last_20 22.150, time_steps_per_episode 11, learning_steps 0, std_score 10.835, std_score_last_20 11.529, total_time_steps 725, total_learning_steps 17, total_terminations 36, total_truncations 0
episode 36, score 15.0, avg_score_total 20.000, avg_score_last_20 20.100, time_steps_per_episode 15, learning_steps 0, std_score 10.720, std_score_last_20 8.602, total_time_steps 740, total_learning_steps 17, total_terminations 37, total_truncations 0
episode 37, score 15.0, avg_score_total 19.868, avg_score_last_20 20.150, time_steps_per_episode 15, learning_steps 0, std_score 10.608, std_score_last_20 8.569, total_time_steps 755, total_learning_steps 17, total_terminations 38, total_truncations 0
episode 38, score 28.0, avg_score_total 20.077, avg_score_last_20 20.250, time_steps_per_episode 28, learning_steps 1, std_score 10.550, std_score_last_20 8.648, total_time_steps 783, total_learning_steps 18, total_terminations 39, total_truncations 0
episode 39, score 23.0, avg_score_total 20.150, avg_score_last_20 20.750, time_steps_per_episode 23, learning_steps 1, std_score 10.427, std_score_last_20 8.502, total_time_steps 806, total_learning_steps 19, total_terminations 40, total_truncations 0
episode 40, score 10.0, avg_score_total 19.902, avg_score_last_20 20.650, time_steps_per_episode 10, learning_steps 0, std_score 10.418, std_score_last_20 8.616, total_time_steps 816, total_learning_steps 19, total_terminations 41, total_truncations 0
episode 41, score 10.0, avg_score_total 19.667, avg_score_last_20 20.100, time_steps_per_episode 10, learning_steps 0, std_score 10.403, std_score_last_20 8.921, total_time_steps 826, total_learning_steps 19, total_terminations 42, total_truncations 0
episode 42, score 14.0, avg_score_total 19.535, avg_score_last_20 19.500, time_steps_per_episode 14, learning_steps 0, std_score 10.317, std_score_last_20 8.908, total_time_steps 840, total_learning_steps 19, total_terminations 43, total_truncations 0
episode 43, score 13.0, avg_score_total 19.386, avg_score_last_20 19.200, time_steps_per_episode 13, learning_steps 0, std_score 10.245, std_score_last_20 9.020, total_time_steps 853, total_learning_steps 19, total_terminations 44, total_truncations 0
episode 44, score 13.0, avg_score_total 19.244, avg_score_last_20 18.450, time_steps_per_episode 13, learning_steps 0, std_score 10.174, std_score_last_20 8.880, total_time_steps 866, total_learning_steps 19, total_terminations 45, total_truncations 0
episode 45, score 13.0, avg_score_total 19.109, avg_score_last_20 17.250, time_steps_per_episode 13, learning_steps 0, std_score 10.104, std_score_last_20 7.854, total_time_steps 879, total_learning_steps 19, total_terminations 46, total_truncations 0
episode 46, score 27.0, avg_score_total 19.277, avg_score_last_20 18.150, time_steps_per_episode 27, learning_steps 1, std_score 10.061, std_score_last_20 7.888, total_time_steps 906, total_learning_steps 20, total_terminations 47, total_truncations 0
episode 47, score 12.0, avg_score_total 19.125, avg_score_last_20 17.750, time_steps_per_episode 12, learning_steps 0, std_score 10.010, std_score_last_20 7.987, total_time_steps 918, total_learning_steps 20, total_terminations 48, total_truncations 0
episode 48, score 9.0, avg_score_total 18.918, avg_score_last_20 16.200, time_steps_per_episode 9, learning_steps 0, std_score 10.010, std_score_last_20 6.361, total_time_steps 927, total_learning_steps 20, total_terminations 49, total_truncations 0
episode 49, score 12.0, avg_score_total 18.780, avg_score_last_20 15.850, time_steps_per_episode 12, learning_steps 0, std_score 9.956, std_score_last_20 6.390, total_time_steps 939, total_learning_steps 20, total_terminations 50, total_truncations 0
episode 50, score 50.0, avg_score_total 19.392, avg_score_last_20 17.800, time_steps_per_episode 50, learning_steps 2, std_score 10.767, std_score_last_20 9.704, total_time_steps 989, total_learning_steps 22, total_terminations 51, total_truncations 0
episode 51, score 35.0, avg_score_total 19.692, avg_score_last_20 18.950, time_steps_per_episode 35, learning_steps 1, std_score 10.876, std_score_last_20 10.293, total_time_steps 1024, total_learning_steps 23, total_terminations 52, total_truncations 0
episode 52, score 10.0, avg_score_total 19.509, avg_score_last_20 18.000, time_steps_per_episode 10, learning_steps 0, std_score 10.853, std_score_last_20 10.198, total_time_steps 1034, total_learning_steps 23, total_terminations 53, total_truncations 0
episode 53, score 20.0, avg_score_total 19.519, avg_score_last_20 18.250, time_steps_per_episode 20, learning_steps 1, std_score 10.753, std_score_last_20 10.183, total_time_steps 1054, total_learning_steps 24, total_terminations 54, total_truncations 0
episode 54, score 27.0, avg_score_total 19.655, avg_score_last_20 18.350, time_steps_per_episode 27, learning_steps 1, std_score 10.701, std_score_last_20 10.258, total_time_steps 1081, total_learning_steps 25, total_terminations 55, total_truncations 0
episode 55, score 18.0, avg_score_total 19.625, avg_score_last_20 18.700, time_steps_per_episode 18, learning_steps 0, std_score 10.608, std_score_last_20 10.120, total_time_steps 1099, total_learning_steps 25, total_terminations 56, total_truncations 0
episode 56, score 11.0, avg_score_total 19.474, avg_score_last_20 18.500, time_steps_per_episode 11, learning_steps 0, std_score 10.575, std_score_last_20 10.230, total_time_steps 1110, total_learning_steps 25, total_terminations 57, total_truncations 0
