episode 27, score -147461.17, avg_score_total -166495.46, avg_score_last_20 -166306.65, time_steps_per_episode 200, learning_steps 10, std_score 14335.63, std_score_last_20 11934.50, total_time_steps 5600, total_learning_steps 280, total_terminations 0, total_truncations 28
episode 28, score -175111.23, avg_score_total -166792.56, avg_score_last_20 -166185.08, time_steps_per_episode 200, learning_steps 10, std_score 14173.75, std_score_last_20 11831.37, total_time_steps 5800, total_learning_steps 290, total_terminations 0, total_truncations 29
episode 29, score -184777.94, avg_score_total -167392.07, avg_score_last_20 -166538.44, time_steps_per_episode 200, learning_steps 10, std_score 14304.60, std_score_last_20 12267.81, total_time_steps 6000, total_learning_steps 300, total_terminations 0, total_truncations 30
episode 30, score -154453.67, avg_score_total -166974.70, avg_score_last_20 -165108.22, time_steps_per_episode 200, learning_steps 10, std_score 14256.47, std_score_last_20 11921.02, total_time_steps 6200, total_learning_steps 310, total_terminations 0, total_truncations 31
episode 31, score -187101.93, avg_score_total -167603.68, avg_score_last_20 -167195.28, time_steps_per_episode 200, learning_steps 10, std_score 14462.34, std_score_last_20 11934.96, total_time_steps 6400, total_learning_steps 320, total_terminations 0, total_truncations 32
episode 32, score -174378.29, avg_score_total -167808.97, avg_score_last_20 -167520.72, time_steps_per_episode 200, learning_steps 10, std_score 14288.80, std_score_last_20 12037.21, total_time_steps 6600, total_learning_steps 330, total_terminations 0, total_truncations 33
episode 33, score -148344.31, avg_score_total -167236.48, avg_score_last_20 -167368.74, time_steps_per_episode 200, learning_steps 10, std_score 14456.15, std_score_last_20 12257.18, total_time_steps 6800, total_learning_steps 340, total_terminations 0, total_truncations 34
episode 34, score -143062.55, avg_score_total -166545.80, avg_score_last_20 -166445.99, time_steps_per_episode 200, learning_steps 10, std_score 14806.38, std_score_last_20 13312.20, total_time_steps 7000, total_learning_steps 350, total_terminations 0, total_truncations 35
episode 35, score -163789.33, avg_score_total -166469.23, avg_score_last_20 -166505.50, time_steps_per_episode 200, learning_steps 10, std_score 14606.32, std_score_last_20 13297.52, total_time_steps 7200, total_learning_steps 360, total_terminations 0, total_truncations 36
episode 36, score -182992.27, avg_score_total -166915.80, avg_score_last_20 -167365.33, time_steps_per_episode 200, learning_steps 10, std_score 14654.61, std_score_last_20 13771.36, total_time_steps 7400, total_learning_steps 370, total_terminations 0, total_truncations 37
episode 37, score -172817.36, avg_score_total -167071.10, avg_score_last_20 -167912.99, time_steps_per_episode 200, learning_steps 10, std_score 14491.33, std_score_last_20 13759.49, total_time_steps 7600, total_learning_steps 380, total_terminations 0, total_truncations 38
