episode 0, score 9.0, avg_score_total 9.000, avg_score_last_20 9.000, time_steps_per_episode 9, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 9, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 26.0, avg_score_total 17.500, avg_score_last_20 17.500, time_steps_per_episode 26, learning_steps 1, std_score 8.500, std_score_last_20 8.500, total_time_steps 35, total_learning_steps 1, total_terminations 2, total_truncations 0
episode 2, score 39.0, avg_score_total 24.667, avg_score_last_20 24.667, time_steps_per_episode 39, learning_steps 1, std_score 12.284, std_score_last_20 12.284, total_time_steps 74, total_learning_steps 2, total_terminations 3, total_truncations 0
episode 3, score 12.0, avg_score_total 21.500, avg_score_last_20 21.500, time_steps_per_episode 12, learning_steps 0, std_score 11.969, std_score_last_20 11.969, total_time_steps 86, total_learning_steps 2, total_terminations 4, total_truncations 0
episode 4, score 16.0, avg_score_total 20.400, avg_score_last_20 20.400, time_steps_per_episode 16, learning_steps 0, std_score 10.929, std_score_last_20 10.929, total_time_steps 102, total_learning_steps 2, total_terminations 5, total_truncations 0
episode 5, score 13.0, avg_score_total 19.167, avg_score_last_20 19.167, time_steps_per_episode 13, learning_steps 0, std_score 10.351, std_score_last_20 10.351, total_time_steps 115, total_learning_steps 2, total_terminations 6, total_truncations 0
episode 6, score 15.0, avg_score_total 18.571, avg_score_last_20 18.571, time_steps_per_episode 15, learning_steps 0, std_score 9.693, std_score_last_20 9.693, total_time_steps 130, total_learning_steps 2, total_terminations 7, total_truncations 0
episode 7, score 28.0, avg_score_total 19.750, avg_score_last_20 19.750, time_steps_per_episode 28, learning_steps 1, std_score 9.588, std_score_last_20 9.588, total_time_steps 158, total_learning_steps 3, total_terminations 8, total_truncations 0
episode 8, score 25.0, avg_score_total 20.333, avg_score_last_20 20.333, time_steps_per_episode 25, learning_steps 1, std_score 9.189, std_score_last_20 9.189, total_time_steps 183, total_learning_steps 4, total_terminations 9, total_truncations 0
episode 9, score 48.0, avg_score_total 23.100, avg_score_last_20 23.100, time_steps_per_episode 48, learning_steps 2, std_score 12.037, std_score_last_20 12.037, total_time_steps 231, total_learning_steps 6, total_terminations 10, total_truncations 0
episode 10, score 13.0, avg_score_total 22.182, avg_score_last_20 22.182, time_steps_per_episode 13, learning_steps 0, std_score 11.838, std_score_last_20 11.838, total_time_steps 244, total_learning_steps 6, total_terminations 11, total_truncations 0
episode 11, score 15.0, avg_score_total 21.583, avg_score_last_20 21.583, time_steps_per_episode 15, learning_steps 0, std_score 11.507, std_score_last_20 11.507, total_time_steps 259, total_learning_steps 6, total_terminations 12, total_truncations 0
episode 12, score 17.0, avg_score_total 21.231, avg_score_last_20 21.231, time_steps_per_episode 17, learning_steps 0, std_score 11.123, std_score_last_20 11.123, total_time_steps 276, total_learning_steps 6, total_terminations 13, total_truncations 0
episode 13, score 21.0, avg_score_total 21.214, avg_score_last_20 21.214, time_steps_per_episode 21, learning_steps 1, std_score 10.718, std_score_last_20 10.718, total_time_steps 297, total_learning_steps 7, total_terminations 14, total_truncations 0
episode 14, score 9.0, avg_score_total 20.400, avg_score_last_20 20.400, time_steps_per_episode 9, learning_steps 0, std_score 10.794, std_score_last_20 10.794, total_time_steps 306, total_learning_steps 7, total_terminations 15, total_truncations 0
episode 15, score 16.0, avg_score_total 20.125, avg_score_last_20 20.125, time_steps_per_episode 16, learning_steps 0, std_score 10.505, std_score_last_20 10.505, total_time_steps 322, total_learning_steps 7, total_terminations 16, total_truncations 0
episode 16, score 36.0, avg_score_total 21.059, avg_score_last_20 21.059, time_steps_per_episode 36, learning_steps 1, std_score 10.854, std_score_last_20 10.854, total_time_steps 358, total_learning_steps 8, total_terminations 17, total_truncations 0
episode 17, score 15.0, avg_score_total 20.722, avg_score_last_20 20.722, time_steps_per_episode 15, learning_steps 0, std_score 10.640, std_score_last_20 10.640, total_time_steps 373, total_learning_steps 8, total_terminations 18, total_truncations 0
episode 18, score 21.0, avg_score_total 20.737, avg_score_last_20 20.737, time_steps_per_episode 21, learning_steps 1, std_score 10.356, std_score_last_20 10.356, total_time_steps 394, total_learning_steps 9, total_terminations 19, total_truncations 0
episode 19, score 13.0, avg_score_total 20.350, avg_score_last_20 20.350, time_steps_per_episode 13, learning_steps 0, std_score 10.234, std_score_last_20 10.234, total_time_steps 407, total_learning_steps 9, total_terminations 20, total_truncations 0
episode 20, score 52.0, avg_score_total 21.857, avg_score_last_20 22.500, time_steps_per_episode 52, learning_steps 2, std_score 12.049, std_score_last_20 11.990, total_time_steps 459, total_learning_steps 11, total_terminations 21, total_truncations 0
episode 21, score 16.0, avg_score_total 21.591, avg_score_last_20 22.000, time_steps_per_episode 16, learning_steps 0, std_score 11.835, std_score_last_20 12.042, total_time_steps 475, total_learning_steps 11, total_terminations 22, total_truncations 0
episode 22, score 11.0, avg_score_total 21.130, avg_score_last_20 20.600, time_steps_per_episode 11, learning_steps 0, std_score 11.774, std_score_last_20 11.603, total_time_steps 486, total_learning_steps 11, total_terminations 23, total_truncations 0
episode 23, score 11.0, avg_score_total 20.708, avg_score_last_20 20.550, time_steps_per_episode 11, learning_steps 0, std_score 11.703, std_score_last_20 11.642, total_time_steps 497, total_learning_steps 11, total_terminations 24, total_truncations 0
episode 24, score 13.0, avg_score_total 20.400, avg_score_last_20 20.400, time_steps_per_episode 13, learning_steps 0, std_score 11.565, std_score_last_20 11.719, total_time_steps 510, total_learning_steps 11, total_terminations 25, total_truncations 0
episode 25, score 24.0, avg_score_total 20.538, avg_score_last_20 20.950, time_steps_per_episode 24, learning_steps 1, std_score 11.362, std_score_last_20 11.617, total_time_steps 534, total_learning_steps 12, total_terminations 26, total_truncations 0
episode 26, score 12.0, avg_score_total 20.222, avg_score_last_20 20.800, time_steps_per_episode 12, learning_steps 0, std_score 11.266, std_score_last_20 11.712, total_time_steps 546, total_learning_steps 12, total_terminations 27, total_truncations 0
episode 27, score 19.0, avg_score_total 20.179, avg_score_last_20 20.350, time_steps_per_episode 19, learning_steps 0, std_score 11.065, std_score_last_20 11.599, total_time_steps 565, total_learning_steps 12, total_terminations 28, total_truncations 0
episode 28, score 36.0, avg_score_total 20.724, avg_score_last_20 20.900, time_steps_per_episode 36, learning_steps 1, std_score 11.249, std_score_last_20 12.058, total_time_steps 601, total_learning_steps 13, total_terminations 29, total_truncations 0
