episode 36, score -1515.0584401986393, avg_score_total -1491.563, avg_score_last_20 -1396.485565115887, time_steps_per_episode 200, learning_steps 40, total_time_steps 7400, total_learning_steps 1480
episode 37, score -1234.18813874809, avg_score_total -1484.790, avg_score_last_20 -1384.453287781694, time_steps_per_episode 200, learning_steps 40, total_time_steps 7600, total_learning_steps 1520
episode 38, score -1459.7517109632581, avg_score_total -1484.148, avg_score_last_20 -1386.5987691147336, time_steps_per_episode 200, learning_steps 40, total_time_steps 7800, total_learning_steps 1560
episode 39, score -1375.848075833093, avg_score_total -1481.440, avg_score_last_20 -1387.8853540745372, time_steps_per_episode 200, learning_steps 40, total_time_steps 8000, total_learning_steps 1600
episode 40, score -1496.544199244333, avg_score_total -1481.808, avg_score_last_20 -1386.9924368081126, time_steps_per_episode 200, learning_steps 40, total_time_steps 8200, total_learning_steps 1640
episode 41, score -1259.7011906949815, avg_score_total -1476.520, avg_score_last_20 -1377.5729733072874, time_steps_per_episode 200, learning_steps 40, total_time_steps 8400, total_learning_steps 1680
episode 42, score -1270.8942641671665, avg_score_total -1471.738, avg_score_last_20 -1371.8836804286389, time_steps_per_episode 200, learning_steps 40, total_time_steps 8600, total_learning_steps 1720
episode 43, score -1285.7998587425784, avg_score_total -1467.512, avg_score_last_20 -1365.7144746910612, time_steps_per_episode 200, learning_steps 40, total_time_steps 8800, total_learning_steps 1760
episode 44, score -1498.3830852145504, avg_score_total -1468.198, avg_score_last_20 -1372.921385516221, time_steps_per_episode 200, learning_steps 40, total_time_steps 9000, total_learning_steps 1800
episode 45, score -1518.9698387560093, avg_score_total -1469.302, avg_score_last_20 -1374.130893498755, time_steps_per_episode 200, learning_steps 40, total_time_steps 9200, total_learning_steps 1840
episode 46, score -1120.4223892831446, avg_score_total -1461.879, avg_score_last_20 -1360.231255073693, time_steps_per_episode 200, learning_steps 40, total_time_steps 9400, total_learning_steps 1880
episode 47, score -1507.9932683089926, avg_score_total -1462.840, avg_score_last_20 -1360.5802045610212, time_steps_per_episode 200, learning_steps 40, total_time_steps 9600, total_learning_steps 1920
episode 48, score -1249.9212467767297, avg_score_total -1458.495, avg_score_last_20 -1353.1938798921271, time_steps_per_episode 200, learning_steps 40, total_time_steps 9800, total_learning_steps 1960
episode 49, score -1275.1921309163413, avg_score_total -1454.829, avg_score_last_20 -1344.0179908622079, time_steps_per_episode 200, learning_steps 40, total_time_steps 10000, total_learning_steps 2000
episode 50, score -1205.7292923336202, avg_score_total -1449.944, avg_score_last_20 -1335.5416922943923, time_steps_per_episode 200, learning_steps 40, total_time_steps 10200, total_learning_steps 2040
