episode 29, score 28.0, avg_score_total 30.733, avg_score_last_20 28.000, time_steps_per_episode 28, learning_steps 1, std_score 15.625, std_score_last_20 14.819, total_time_steps 922, total_learning_steps 28, total_terminations 30, total_truncations 0
episode 30, score 43.0, avg_score_total 31.129, avg_score_last_20 28.450, time_steps_per_episode 43, learning_steps 2, std_score 15.523, std_score_last_20 15.128, total_time_steps 965, total_learning_steps 30, total_terminations 31, total_truncations 0
episode 31, score 23.0, avg_score_total 30.875, avg_score_last_20 28.650, time_steps_per_episode 23, learning_steps 1, std_score 15.343, std_score_last_20 15.028, total_time_steps 988, total_learning_steps 31, total_terminations 32, total_truncations 0
episode 32, score 32.0, avg_score_total 30.909, avg_score_last_20 29.600, time_steps_per_episode 32, learning_steps 1, std_score 15.110, std_score_last_20 14.603, total_time_steps 1020, total_learning_steps 32, total_terminations 33, total_truncations 0
episode 33, score 16.0, avg_score_total 30.471, avg_score_last_20 29.500, time_steps_per_episode 16, learning_steps 0, std_score 15.098, std_score_last_20 14.688, total_time_steps 1036, total_learning_steps 32, total_terminations 34, total_truncations 0
episode 34, score 24.0, avg_score_total 30.286, avg_score_last_20 28.600, time_steps_per_episode 24, learning_steps 1, std_score 14.920, std_score_last_20 14.444, total_time_steps 1060, total_learning_steps 33, total_terminations 35, total_truncations 0
episode 35, score 17.0, avg_score_total 29.917, avg_score_last_20 26.000, time_steps_per_episode 17, learning_steps 0, std_score 14.872, std_score_last_20 11.269, total_time_steps 1077, total_learning_steps 33, total_terminations 36, total_truncations 0
episode 36, score 19.0, avg_score_total 29.622, avg_score_last_20 26.250, time_steps_per_episode 19, learning_steps 0, std_score 14.776, std_score_last_20 11.054, total_time_steps 1096, total_learning_steps 33, total_terminations 37, total_truncations 0
episode 37, score 18.0, avg_score_total 29.316, avg_score_last_20 26.000, time_steps_per_episode 18, learning_steps 0, std_score 14.699, std_score_last_20 11.180, total_time_steps 1114, total_learning_steps 33, total_terminations 38, total_truncations 0
episode 38, score 21.0, avg_score_total 29.103, avg_score_last_20 26.450, time_steps_per_episode 21, learning_steps 1, std_score 14.569, std_score_last_20 10.782, total_time_steps 1135, total_learning_steps 34, total_terminations 39, total_truncations 0
episode 39, score 30.0, avg_score_total 29.125, avg_score_last_20 26.150, time_steps_per_episode 30, learning_steps 1, std_score 14.386, std_score_last_20 10.594, total_time_steps 1165, total_learning_steps 35, total_terminations 40, total_truncations 0
episode 40, score 30.0, avg_score_total 29.146, avg_score_last_20 25.900, time_steps_per_episode 30, learning_steps 1, std_score 14.210, std_score_last_20 10.440, total_time_steps 1195, total_learning_steps 36, total_terminations 41, total_truncations 0
episode 41, score 24.0, avg_score_total 29.024, avg_score_last_20 25.950, time_steps_per_episode 24, learning_steps 1, std_score 14.062, std_score_last_20 10.428, total_time_steps 1219, total_learning_steps 37, total_terminations 42, total_truncations 0
episode 42, score 14.0, avg_score_total 28.674, avg_score_last_20 25.950, time_steps_per_episode 14, learning_steps 0, std_score 14.081, std_score_last_20 10.428, total_time_steps 1233, total_learning_steps 37, total_terminations 43, total_truncations 0
episode 43, score 22.0, avg_score_total 28.523, avg_score_last_20 26.200, time_steps_per_episode 22, learning_steps 1, std_score 13.955, std_score_last_20 10.269, total_time_steps 1255, total_learning_steps 38, total_terminations 44, total_truncations 0
episode 44, score 18.0, avg_score_total 28.289, avg_score_last_20 25.400, time_steps_per_episode 18, learning_steps 0, std_score 13.886, std_score_last_20 10.254, total_time_steps 1273, total_learning_steps 38, total_terminations 45, total_truncations 0
episode 45, score 18.0, avg_score_total 28.065, avg_score_last_20 23.450, time_steps_per_episode 18, learning_steps 0, std_score 13.816, std_score_last_20 7.358, total_time_steps 1291, total_learning_steps 38, total_terminations 46, total_truncations 0
episode 46, score 14.0, avg_score_total 27.766, avg_score_last_20 23.250, time_steps_per_episode 14, learning_steps 0, std_score 13.818, std_score_last_20 7.556, total_time_steps 1305, total_learning_steps 38, total_terminations 47, total_truncations 0
episode 47, score 23.0, avg_score_total 27.667, avg_score_last_20 23.500, time_steps_per_episode 23, learning_steps 1, std_score 13.691, std_score_last_20 7.460, total_time_steps 1328, total_learning_steps 39, total_terminations 48, total_truncations 0
episode 48, score 17.0, avg_score_total 27.449, avg_score_last_20 22.550, time_steps_per_episode 17, learning_steps 0, std_score 13.634, std_score_last_20 7.003, total_time_steps 1345, total_learning_steps 39, total_terminations 49, total_truncations 0
episode 49, score 21.0, avg_score_total 27.320, avg_score_last_20 22.200, time_steps_per_episode 21, learning_steps 1, std_score 13.527, std_score_last_20 6.896, total_time_steps 1366, total_learning_steps 40, total_terminations 50, total_truncations 0
episode 50, score 103.0, avg_score_total 28.804, avg_score_last_20 25.200, time_steps_per_episode 103, learning_steps 5, std_score 17.014, std_score_last_20 18.530, total_time_steps 1469, total_learning_steps 45, total_terminations 51, total_truncations 0
episode 51, score 15.0, avg_score_total 28.538, avg_score_last_20 24.800, time_steps_per_episode 15, learning_steps 0, std_score 16.956, std_score_last_20 18.659, total_time_steps 1484, total_learning_steps 45, total_terminations 52, total_truncations 0
episode 52, score 13.0, avg_score_total 28.245, avg_score_last_20 23.850, time_steps_per_episode 13, learning_steps 0, std_score 16.928, std_score_last_20 18.752, total_time_steps 1497, total_learning_steps 45, total_terminations 53, total_truncations 0
episode 53, score 50.0, avg_score_total 28.648, avg_score_last_20 25.550, time_steps_per_episode 50, learning_steps 2, std_score 17.025, std_score_last_20 19.490, total_time_steps 1547, total_learning_steps 47, total_terminations 54, total_truncations 0
episode 54, score 21.0, avg_score_total 28.509, avg_score_last_20 25.400, time_steps_per_episode 21, learning_steps 1, std_score 16.901, std_score_last_20 19.513, total_time_steps 1568, total_learning_steps 48, total_terminations 55, total_truncations 0
episode 55, score 43.0, avg_score_total 28.768, avg_score_last_20 26.700, time_steps_per_episode 43, learning_steps 2, std_score 16.859, std_score_last_20 19.774, total_time_steps 1611, total_learning_steps 50, total_terminations 56, total_truncations 0
episode 56, score 59.0, avg_score_total 29.298, avg_score_last_20 28.700, time_steps_per_episode 59, learning_steps 2, std_score 17.175, std_score_last_20 20.886, total_time_steps 1670, total_learning_steps 52, total_terminations 57, total_truncations 0
episode 57, score 49.0, avg_score_total 29.638, avg_score_last_20 30.250, time_steps_per_episode 49, learning_steps 2, std_score 17.218, std_score_last_20 21.182, total_time_steps 1719, total_learning_steps 54, total_terminations 58, total_truncations 0
episode 58, score 64.0, avg_score_total 30.220, avg_score_last_20 32.400, time_steps_per_episode 64, learning_steps 3, std_score 17.639, std_score_last_20 22.288, total_time_steps 1783, total_learning_steps 57, total_terminations 59, total_truncations 0
episode 59, score 23.0, avg_score_total 30.100, avg_score_last_20 32.050, time_steps_per_episode 23, learning_steps 1, std_score 17.515, std_score_last_20 22.377, total_time_steps 1806, total_learning_steps 58, total_terminations 60, total_truncations 0
episode 60, score 36.0, avg_score_total 30.197, avg_score_last_20 32.350, time_steps_per_episode 36, learning_steps 1, std_score 17.387, std_score_last_20 22.388, total_time_steps 1842, total_learning_steps 59, total_terminations 61, total_truncations 0
episode 61, score 21.0, avg_score_total 30.048, avg_score_last_20 32.200, time_steps_per_episode 21, learning_steps 1, std_score 17.285, std_score_last_20 22.454, total_time_steps 1863, total_learning_steps 60, total_terminations 62, total_truncations 0
episode 62, score 39.0, avg_score_total 30.190, avg_score_last_20 33.450, time_steps_per_episode 39, learning_steps 1, std_score 17.184, std_score_last_20 22.099, total_time_steps 1902, total_learning_steps 61, total_terminations 63, total_truncations 0
episode 63, score 24.0, avg_score_total 30.094, avg_score_last_20 33.550, time_steps_per_episode 24, learning_steps 1, std_score 17.067, std_score_last_20 22.051, total_time_steps 1926, total_learning_steps 62, total_terminations 64, total_truncations 0
episode 64, score 61.0, avg_score_total 30.569, avg_score_last_20 35.700, time_steps_per_episode 61, learning_steps 3, std_score 17.357, std_score_last_20 22.521, total_time_steps 1987, total_learning_steps 65, total_terminations 65, total_truncations 0
episode 65, score 20.0, avg_score_total 30.409, avg_score_last_20 35.800, time_steps_per_episode 20, learning_steps 1, std_score 17.273, std_score_last_20 22.447, total_time_steps 2007, total_learning_steps 66, total_terminations 66, total_truncations 0
episode 66, score 17.0, avg_score_total 30.209, avg_score_last_20 35.950, time_steps_per_episode 17, learning_steps 0, std_score 17.221, std_score_last_20 22.310, total_time_steps 2024, total_learning_steps 66, total_terminations 67, total_truncations 0
episode 67, score 20.0, avg_score_total 30.059, avg_score_last_20 35.800, time_steps_per_episode 20, learning_steps 1, std_score 17.138, std_score_last_20 22.407, total_time_steps 2044, total_learning_steps 67, total_terminations 68, total_truncations 0
episode 68, score 19.0, avg_score_total 29.899, avg_score_last_20 35.900, time_steps_per_episode 19, learning_steps 0, std_score 17.064, std_score_last_20 22.327, total_time_steps 2063, total_learning_steps 67, total_terminations 69, total_truncations 0
episode 69, score 34.0, avg_score_total 29.957, avg_score_last_20 36.550, time_steps_per_episode 34, learning_steps 1, std_score 16.949, std_score_last_20 22.071, total_time_steps 2097, total_learning_steps 68, total_terminations 70, total_truncations 0
episode 70, score 38.0, avg_score_total 30.070, avg_score_last_20 33.300, time_steps_per_episode 38, learning_steps 1, std_score 16.856, std_score_last_20 15.997, total_time_steps 2135, total_learning_steps 69, total_terminations 71, total_truncations 0
episode 71, score 36.0, avg_score_total 30.153, avg_score_last_20 34.350, time_steps_per_episode 36, learning_steps 1, std_score 16.753, std_score_last_20 15.441, total_time_steps 2171, total_learning_steps 70, total_terminations 72, total_truncations 0
episode 72, score 46.0, avg_score_total 30.370, avg_score_last_20 36.000, time_steps_per_episode 46, learning_steps 2, std_score 16.739, std_score_last_20 14.822, total_time_steps 2217, total_learning_steps 72, total_terminations 73, total_truncations 0
episode 73, score 96.0, avg_score_total 31.257, avg_score_last_20 38.300, time_steps_per_episode 96, learning_steps 4, std_score 18.271, std_score_last_20 19.611, total_time_steps 2313, total_learning_steps 76, total_terminations 74, total_truncations 0
episode 74, score 59.0, avg_score_total 31.627, avg_score_last_20 40.200, time_steps_per_episode 59, learning_steps 2, std_score 18.426, std_score_last_20 19.684, total_time_steps 2372, total_learning_steps 78, total_terminations 75, total_truncations 0
episode 75, score 48.0, avg_score_total 31.842, avg_score_last_20 40.450, time_steps_per_episode 48, learning_steps 2, std_score 18.399, std_score_last_20 19.750, total_time_steps 2420, total_learning_steps 80, total_terminations 76, total_truncations 0
episode 76, score 32.0, avg_score_total 31.844, avg_score_last_20 39.100, time_steps_per_episode 32, learning_steps 1, std_score 18.279, std_score_last_20 19.354, total_time_steps 2452, total_learning_steps 81, total_terminations 77, total_truncations 0
episode 77, score 95.0, avg_score_total 32.654, avg_score_last_20 41.400, time_steps_per_episode 95, learning_steps 4, std_score 19.502, std_score_last_20 22.818, total_time_steps 2547, total_learning_steps 85, total_terminations 78, total_truncations 0
episode 78, score 19.0, avg_score_total 32.481, avg_score_last_20 39.150, time_steps_per_episode 19, learning_steps 0, std_score 19.438, std_score_last_20 22.696, total_time_steps 2566, total_learning_steps 85, total_terminations 79, total_truncations 0
episode 79, score 72.0, avg_score_total 32.975, avg_score_last_20 41.600, time_steps_per_episode 72, learning_steps 3, std_score 19.809, std_score_last_20 23.453, total_time_steps 2638, total_learning_steps 88, total_terminations 80, total_truncations 0
episode 80, score 30.0, avg_score_total 32.938, avg_score_last_20 41.300, time_steps_per_episode 30, learning_steps 1, std_score 19.689, std_score_last_20 23.561, total_time_steps 2668, total_learning_steps 89, total_terminations 81, total_truncations 0
episode 81, score 46.0, avg_score_total 33.098, avg_score_last_20 42.550, time_steps_per_episode 46, learning_steps 2, std_score 19.621, std_score_last_20 23.109, total_time_steps 2714, total_learning_steps 91, total_terminations 82, total_truncations 0
episode 82, score 61.0, avg_score_total 33.434, avg_score_last_20 43.650, time_steps_per_episode 61, learning_steps 3, std_score 19.739, std_score_last_20 23.436, total_time_steps 2775, total_learning_steps 94, total_terminations 83, total_truncations 0
episode 83, score 50.0, avg_score_total 33.631, avg_score_last_20 44.950, time_steps_per_episode 50, learning_steps 2, std_score 19.703, std_score_last_20 23.027, total_time_steps 2825, total_learning_steps 96, total_terminations 84, total_truncations 0
episode 84, score 13.0, avg_score_total 33.388, avg_score_last_20 42.550, time_steps_per_episode 13, learning_steps 0, std_score 19.713, std_score_last_20 23.720, total_time_steps 2838, total_learning_steps 96, total_terminations 85, total_truncations 0
episode 85, score 178.0, avg_score_total 35.070, avg_score_last_20 50.450, time_steps_per_episode 178, learning_steps 8, std_score 24.988, std_score_last_20 37.311, total_time_steps 3016, total_learning_steps 104, total_terminations 86, total_truncations 0
episode 86, score 83.0, avg_score_total 35.621, avg_score_last_20 53.750, time_steps_per_episode 83, learning_steps 4, std_score 25.364, std_score_last_20 37.125, total_time_steps 3099, total_learning_steps 108, total_terminations 87, total_truncations 0
episode 87, score 19.0, avg_score_total 35.432, avg_score_last_20 53.700, time_steps_per_episode 19, learning_steps 0, std_score 25.281, std_score_last_20 37.171, total_time_steps 3118, total_learning_steps 108, total_terminations 88, total_truncations 0
episode 88, score 33.0, avg_score_total 35.404, avg_score_last_20 54.400, time_steps_per_episode 33, learning_steps 1, std_score 25.140, std_score_last_20 36.639, total_time_steps 3151, total_learning_steps 109, total_terminations 89, total_truncations 0
episode 89, score 79.0, avg_score_total 35.889, avg_score_last_20 56.650, time_steps_per_episode 79, learning_steps 3, std_score 25.414, std_score_last_20 36.699, total_time_steps 3230, total_learning_steps 112, total_terminations 90, total_truncations 0
episode 90, score 34.0, avg_score_total 35.868, avg_score_last_20 56.450, time_steps_per_episode 34, learning_steps 1, std_score 25.275, std_score_last_20 36.811, total_time_steps 3264, total_learning_steps 113, total_terminations 91, total_truncations 0
episode 91, score 49.0, avg_score_total 36.011, avg_score_last_20 57.100, time_steps_per_episode 49, learning_steps 2, std_score 25.174, std_score_last_20 36.558, total_time_steps 3313, total_learning_steps 115, total_terminations 92, total_truncations 0
episode 92, score 68.0, avg_score_total 36.355, avg_score_last_20 58.200, time_steps_per_episode 68, learning_steps 3, std_score 25.255, std_score_last_20 36.538, total_time_steps 3381, total_learning_steps 118, total_terminations 93, total_truncations 0
episode 93, score 89.0, avg_score_total 36.915, avg_score_last_20 57.850, time_steps_per_episode 89, learning_steps 4, std_score 25.694, std_score_last_20 36.207, total_time_steps 3470, total_learning_steps 122, total_terminations 94, total_truncations 0
episode 94, score 35.0, avg_score_total 36.895, avg_score_last_20 56.650, time_steps_per_episode 35, learning_steps 1, std_score 25.559, std_score_last_20 36.545, total_time_steps 3505, total_learning_steps 123, total_terminations 95, total_truncations 0
episode 95, score 36.0, avg_score_total 36.885, avg_score_last_20 56.050, time_steps_per_episode 36, learning_steps 1, std_score 25.426, std_score_last_20 36.780, total_time_steps 3541, total_learning_steps 124, total_terminations 96, total_truncations 0
episode 96, score 203.0, avg_score_total 38.598, avg_score_last_20 64.600, time_steps_per_episode 203, learning_steps 10, std_score 30.354, std_score_last_20 48.275, total_time_steps 3744, total_learning_steps 134, total_terminations 97, total_truncations 0
episode 97, score 15.0, avg_score_total 38.357, avg_score_last_20 60.600, time_steps_per_episode 15, learning_steps 0, std_score 30.292, std_score_last_20 48.900, total_time_steps 3759, total_learning_steps 134, total_terminations 98, total_truncations 0
episode 98, score 71.0, avg_score_total 38.687, avg_score_last_20 63.200, time_steps_per_episode 71, learning_steps 3, std_score 30.314, std_score_last_20 47.993, total_time_steps 3830, total_learning_steps 137, total_terminations 99, total_truncations 0
episode 99, score 136.0, avg_score_total 39.660, avg_score_last_20 66.400, time_steps_per_episode 136, learning_steps 6, std_score 31.678, std_score_last_20 50.539, total_time_steps 3966, total_learning_steps 143, total_terminations 100, total_truncations 0
episode 100, score 98.0, avg_score_total 40.238, avg_score_last_20 69.800, time_steps_per_episode 98, learning_steps 4, std_score 32.046, std_score_last_20 50.263, total_time_steps 4064, total_learning_steps 147, total_terminations 101, total_truncations 0
episode 101, score 136.0, avg_score_total 41.176, avg_score_last_20 74.300, time_steps_per_episode 136, learning_steps 6, std_score 33.255, std_score_last_20 51.932, total_time_steps 4200, total_learning_steps 153, total_terminations 102, total_truncations 0
episode 102, score 53.0, avg_score_total 41.291, avg_score_last_20 73.900, time_steps_per_episode 53, learning_steps 2, std_score 33.114, std_score_last_20 52.063, total_time_steps 4253, total_learning_steps 155, total_terminations 103, total_truncations 0
episode 103, score 112.0, avg_score_total 41.971, avg_score_last_20 77.000, time_steps_per_episode 112, learning_steps 5, std_score 33.669, std_score_last_20 52.393, total_time_steps 4365, total_learning_steps 160, total_terminations 104, total_truncations 0
episode 104, score 50.0, avg_score_total 42.048, avg_score_last_20 78.850, time_steps_per_episode 50, learning_steps 2, std_score 33.517, std_score_last_20 50.727, total_time_steps 4415, total_learning_steps 162, total_terminations 105, total_truncations 0
episode 105, score 155.0, avg_score_total 43.113, avg_score_last_20 77.700, time_steps_per_episode 155, learning_steps 7, std_score 35.100, std_score_last_20 48.686, total_time_steps 4570, total_learning_steps 169, total_terminations 106, total_truncations 0
episode 106, score 189.0, avg_score_total 44.477, avg_score_last_20 83.000, time_steps_per_episode 189, learning_steps 9, std_score 37.650, std_score_last_20 54.408, total_time_steps 4759, total_learning_steps 178, total_terminations 107, total_truncations 0
episode 107, score 133.0, avg_score_total 45.296, avg_score_last_20 88.700, time_steps_per_episode 133, learning_steps 6, std_score 38.423, std_score_last_20 53.366, total_time_steps 4892, total_learning_steps 184, total_terminations 108, total_truncations 0
episode 108, score 276.0, avg_score_total 47.413, avg_score_last_20 100.850, time_steps_per_episode 276, learning_steps 13, std_score 44.120, std_score_last_20 65.568, total_time_steps 5168, total_learning_steps 197, total_terminations 109, total_truncations 0
episode 109, score 149.0, avg_score_total 48.336, avg_score_last_20 104.350, time_steps_per_episode 149, learning_steps 7, std_score 44.965, std_score_last_20 66.174, total_time_steps 5317, total_learning_steps 204, total_terminations 110, total_truncations 0
episode 110, score 129.0, avg_score_total 49.063, avg_score_last_20 109.100, time_steps_per_episode 129, learning_steps 6, std_score 45.406, std_score_last_20 64.338, total_time_steps 5446, total_learning_steps 210, total_terminations 111, total_truncations 0
episode 111, score 23.0, avg_score_total 48.830, avg_score_last_20 107.800, time_steps_per_episode 23, learning_steps 1, std_score 45.270, std_score_last_20 65.786, total_time_steps 5469, total_learning_steps 211, total_terminations 112, total_truncations 0
episode 112, score 486.0, avg_score_total 52.699, avg_score_last_20 128.700, time_steps_per_episode 486, learning_steps 24, std_score 60.890, std_score_last_20 104.707, total_time_steps 5955, total_learning_steps 235, total_terminations 113, total_truncations 0
episode 113, score 500.0, avg_score_total 56.623, avg_score_last_20 149.250, time_steps_per_episode 500, learning_steps 25, std_score 73.585, std_score_last_20 131.741, total_time_steps 6455, total_learning_steps 260, total_terminations 113, total_truncations 1
episode 114, score 500.0, avg_score_total 60.478, avg_score_last_20 172.500, time_steps_per_episode 500, learning_steps 25, std_score 84.037, std_score_last_20 149.378, total_time_steps 6955, total_learning_steps 285, total_terminations 113, total_truncations 2
episode 115, score 219.0, avg_score_total 61.845, avg_score_last_20 181.650, time_steps_per_episode 219, learning_steps 10, std_score 84.947, std_score_last_20 146.309, total_time_steps 7174, total_learning_steps 295, total_terminations 114, total_truncations 2
episode 116, score 102.0, avg_score_total 62.188, avg_score_last_20 176.600, time_steps_per_episode 102, learning_steps 5, std_score 84.664, std_score_last_20 147.225, total_time_steps 7276, total_learning_steps 300, total_terminations 115, total_truncations 2
episode 117, score 245.0, avg_score_total 63.737, avg_score_last_20 188.100, time_steps_per_episode 245, learning_steps 12, std_score 85.954, std_score_last_20 143.078, total_time_steps 7521, total_learning_steps 312, total_terminations 116, total_truncations 2
