episode 0, score 18.0, avg_score_total 18.000, avg_score_last_20 18.000, time_steps_per_episode 18, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 18, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 12.0, avg_score_total 15.000, avg_score_last_20 15.000, time_steps_per_episode 12, learning_steps 0, std_score 3.000, std_score_last_20 3.000, total_time_steps 30, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 20.0, avg_score_total 16.667, avg_score_last_20 16.667, time_steps_per_episode 20, learning_steps 1, std_score 3.399, std_score_last_20 3.399, total_time_steps 50, total_learning_steps 1, total_terminations 3, total_truncations 0
episode 3, score 16.0, avg_score_total 16.500, avg_score_last_20 16.500, time_steps_per_episode 16, learning_steps 0, std_score 2.958, std_score_last_20 2.958, total_time_steps 66, total_learning_steps 1, total_terminations 4, total_truncations 0
episode 4, score 20.0, avg_score_total 17.200, avg_score_last_20 17.200, time_steps_per_episode 20, learning_steps 1, std_score 2.993, std_score_last_20 2.993, total_time_steps 86, total_learning_steps 2, total_terminations 5, total_truncations 0
episode 5, score 17.0, avg_score_total 17.167, avg_score_last_20 17.167, time_steps_per_episode 17, learning_steps 0, std_score 2.734, std_score_last_20 2.734, total_time_steps 103, total_learning_steps 2, total_terminations 6, total_truncations 0
episode 6, score 52.0, avg_score_total 22.143, avg_score_last_20 22.143, time_steps_per_episode 52, learning_steps 2, std_score 12.449, std_score_last_20 12.449, total_time_steps 155, total_learning_steps 4, total_terminations 7, total_truncations 0
episode 7, score 33.0, avg_score_total 23.500, avg_score_last_20 23.500, time_steps_per_episode 33, learning_steps 1, std_score 12.186, std_score_last_20 12.186, total_time_steps 188, total_learning_steps 5, total_terminations 8, total_truncations 0
episode 8, score 34.0, avg_score_total 24.667, avg_score_last_20 24.667, time_steps_per_episode 34, learning_steps 1, std_score 11.954, std_score_last_20 11.954, total_time_steps 222, total_learning_steps 6, total_terminations 9, total_truncations 0
episode 9, score 22.0, avg_score_total 24.400, avg_score_last_20 24.400, time_steps_per_episode 22, learning_steps 1, std_score 11.368, std_score_last_20 11.368, total_time_steps 244, total_learning_steps 7, total_terminations 10, total_truncations 0
episode 10, score 17.0, avg_score_total 23.727, avg_score_last_20 23.727, time_steps_per_episode 17, learning_steps 0, std_score 11.046, std_score_last_20 11.046, total_time_steps 261, total_learning_steps 7, total_terminations 11, total_truncations 0
episode 11, score 17.0, avg_score_total 23.167, avg_score_last_20 23.167, time_steps_per_episode 17, learning_steps 0, std_score 10.738, std_score_last_20 10.738, total_time_steps 278, total_learning_steps 7, total_terminations 12, total_truncations 0
episode 12, score 15.0, avg_score_total 22.538, avg_score_last_20 22.538, time_steps_per_episode 15, learning_steps 0, std_score 10.544, std_score_last_20 10.544, total_time_steps 293, total_learning_steps 7, total_terminations 13, total_truncations 0
episode 13, score 38.0, avg_score_total 23.643, avg_score_last_20 23.643, time_steps_per_episode 38, learning_steps 1, std_score 10.913, std_score_last_20 10.913, total_time_steps 331, total_learning_steps 8, total_terminations 14, total_truncations 0
episode 14, score 15.0, avg_score_total 23.067, avg_score_last_20 23.067, time_steps_per_episode 15, learning_steps 0, std_score 10.761, std_score_last_20 10.761, total_time_steps 346, total_learning_steps 8, total_terminations 15, total_truncations 0
episode 15, score 10.0, avg_score_total 22.250, avg_score_last_20 22.250, time_steps_per_episode 10, learning_steps 0, std_score 10.889, std_score_last_20 10.889, total_time_steps 356, total_learning_steps 8, total_terminations 16, total_truncations 0
episode 16, score 14.0, avg_score_total 21.765, avg_score_last_20 21.765, time_steps_per_episode 14, learning_steps 0, std_score 10.740, std_score_last_20 10.740, total_time_steps 370, total_learning_steps 8, total_terminations 17, total_truncations 0
episode 17, score 29.0, avg_score_total 22.167, avg_score_last_20 22.167, time_steps_per_episode 29, learning_steps 1, std_score 10.569, std_score_last_20 10.569, total_time_steps 399, total_learning_steps 9, total_terminations 18, total_truncations 0
episode 18, score 13.0, avg_score_total 21.684, avg_score_last_20 21.684, time_steps_per_episode 13, learning_steps 0, std_score 10.488, std_score_last_20 10.488, total_time_steps 412, total_learning_steps 9, total_terminations 19, total_truncations 0
episode 19, score 19.0, avg_score_total 21.550, avg_score_last_20 21.550, time_steps_per_episode 19, learning_steps 0, std_score 10.240, std_score_last_20 10.240, total_time_steps 431, total_learning_steps 9, total_terminations 20, total_truncations 0
episode 20, score 24.0, avg_score_total 21.667, avg_score_last_20 21.850, time_steps_per_episode 24, learning_steps 1, std_score 10.006, std_score_last_20 10.219, total_time_steps 455, total_learning_steps 10, total_terminations 21, total_truncations 0
